config_idx,network_type,branch_factors,depth,branch_product,ie,seed,test_acc,valid_acc,train_acc
0,dendritic_additive,"[2, 2]",2,4,0,42,0.3440000116825104,0.3460000157356262,0.33912500739097595
1,dendritic_additive,"[2, 2]",2,4,0,43,0.35600000619888306,0.359000027179718,0.33512502908706665
10,dendritic_additive,"[2, 2]",2,4,20,43,0.35600000619888306,0.359000027179718,0.33512502908706665
100,dendritic_shunting,"[3, 3]",2,9,20,43,0.35600000619888306,0.359000027179718,0.33512502908706665
101,dendritic_shunting,"[3, 3]",2,9,20,44,0.32500001788139343,0.3370000123977661,0.34287500381469727
102,dendritic_shunting,"[3, 3]",2,9,40,42,0.3160000145435333,0.34700000286102295,0.3218750059604645
103,dendritic_shunting,"[3, 3]",2,9,40,43,0.35600000619888306,0.359000027179718,0.33512502908706665
104,dendritic_shunting,"[3, 3]",2,9,40,44,0.32500001788139343,0.3370000123977661,0.34287500381469727
105,dendritic_shunting,"[4, 4]",2,16,0,42,0.6480000019073486,0.6480000019073486,0.6663750410079956
106,dendritic_shunting,"[4, 4]",2,16,0,43,0.6730000376701355,0.6490000486373901,0.6640000343322754
107,dendritic_shunting,"[4, 4]",2,16,0,44,0.6630000472068787,0.6720000505447388,0.6647500395774841
108,dendritic_shunting,"[4, 4]",2,16,5,42,0.3160000145435333,0.34700000286102295,0.3218750059604645
109,dendritic_shunting,"[4, 4]",2,16,5,43,0.35600000619888306,0.359000027179718,0.33512502908706665
11,dendritic_additive,"[2, 2]",2,4,20,44,0.32500001788139343,0.3370000123977661,0.34287500381469727
110,dendritic_shunting,"[4, 4]",2,16,5,44,0.6720000505447388,0.6760000586509705,0.6660000085830688
111,dendritic_shunting,"[4, 4]",2,16,10,42,0.3440000116825104,0.3460000157356262,0.33912500739097595
112,dendritic_shunting,"[4, 4]",2,16,10,43,0.35600000619888306,0.359000027179718,0.33512502908706665
113,dendritic_shunting,"[4, 4]",2,16,10,44,0.6780000329017639,0.6890000104904175,0.6730000376701355
114,dendritic_shunting,"[4, 4]",2,16,20,42,0.3160000145435333,0.34700000286102295,0.3218750059604645
115,dendritic_shunting,"[4, 4]",2,16,20,43,0.35600000619888306,0.359000027179718,0.33512502908706665
116,dendritic_shunting,"[4, 4]",2,16,20,44,0.32500001788139343,0.3370000123977661,0.34287500381469727
117,dendritic_shunting,"[4, 4]",2,16,40,42,0.3160000145435333,0.34700000286102295,0.3218750059604645
118,dendritic_shunting,"[4, 4]",2,16,40,43,0.35600000619888306,0.359000027179718,0.33512502908706665
119,dendritic_shunting,"[4, 4]",2,16,40,44,0.32500001788139343,0.3370000123977661,0.34287500381469727
12,dendritic_additive,"[2, 2]",2,4,40,42,0.3160000145435333,0.34700000286102295,0.3218750059604645
120,dendritic_shunting,"[2, 2, 2]",3,8,0,42,0.3440000116825104,0.3460000157356262,0.33912500739097595
121,dendritic_shunting,"[2, 2, 2]",3,8,0,43,0.6690000295639038,0.690000057220459,0.6521250605583191
122,dendritic_shunting,"[2, 2, 2]",3,8,0,44,0.6530000567436218,0.656000018119812,0.656000018119812
123,dendritic_shunting,"[2, 2, 2]",3,8,5,42,0.6710000038146973,0.6740000247955322,0.7063750624656677
124,dendritic_shunting,"[2, 2, 2]",3,8,5,43,0.35600000619888306,0.359000027179718,0.33512502908706665
125,dendritic_shunting,"[2, 2, 2]",3,8,5,44,0.5480000376701355,0.5490000247955322,0.5355000495910645
126,dendritic_shunting,"[2, 2, 2]",3,8,10,42,0.3440000116825104,0.3460000157356262,0.33912500739097595
127,dendritic_shunting,"[2, 2, 2]",3,8,10,43,0.35600000619888306,0.359000027179718,0.33512502908706665
128,dendritic_shunting,"[2, 2, 2]",3,8,10,44,0.5879999995231628,0.5670000314712524,0.5732500553131104
129,dendritic_shunting,"[2, 2, 2]",3,8,20,42,0.3440000116825104,0.3460000157356262,0.33912500739097595
13,dendritic_additive,"[2, 2]",2,4,40,43,0.35600000619888306,0.359000027179718,0.33512502908706665
130,dendritic_shunting,"[2, 2, 2]",3,8,20,43,0.35600000619888306,0.359000027179718,0.33512502908706665
