seed,task,phase,step,optimizer,rule,rate,selected_rate,common_rate,validation_nmse,test_nmse,gradient_clipped_steps,projected_steps
1102,gated_conflict,fresh,64,sgd,calibrated_broadcast,0.3,True,True,0.017165144769533052,0.017958035101390525,0,0
1102,gated_conflict,fresh,256,adam,exact,0.03,True,True,0.02838246942719838,0.03057149638520976,0,0
1102,gated_conflict,fresh,256,adam,unit_broadcast,0.03,True,True,0.024719284108040508,0.02677169662058494,20,0
1102,gated_conflict,fresh,256,adam,calibrated_broadcast,0.03,True,True,0.0233770590803425,0.025371779991527347,0,0
1102,gated_conflict,fresh,256,sgd,exact,0.3,True,True,0.014717439534938393,0.015537390396770013,0,0
1102,gated_conflict,fresh,256,sgd,unit_broadcast,0.3,True,True,0.0022329515885795657,0.002294195303454553,1,0
1102,gated_conflict,fresh,256,sgd,calibrated_broadcast,0.3,True,True,0.010202025989560446,0.01063889780643449,0,0
1102,gated_conflict,fresh,1024,adam,exact,0.03,True,True,0.001411294454449668,0.001447384534398512,0,0
1102,gated_conflict,fresh,1024,adam,unit_broadcast,0.03,True,True,0.01242988113386246,0.012744041985878935,20,0
1102,gated_conflict,fresh,1024,adam,calibrated_broadcast,0.03,True,True,0.014906804988780832,0.01576174182038666,0,0
1102,gated_conflict,fresh,1024,sgd,exact,0.3,True,True,0.00180077427470542,0.0018956937637645349,0,0
1102,gated_conflict,fresh,1024,sgd,unit_broadcast,0.3,True,True,0.0004808853977896722,0.0005184235795168085,1,0
1102,gated_conflict,fresh,1024,sgd,calibrated_broadcast,0.3,True,True,0.0020725658562838886,0.00214611193482425,0,0
1102,gated_conflict,fresh,2048,adam,exact,0.03,True,True,0.000325709287344454,0.00035552697282114883,0,0
1102,gated_conflict,fresh,2048,adam,unit_broadcast,0.03,True,True,0.0006274611406028764,0.0006721972967824164,20,0
1102,gated_conflict,fresh,2048,adam,calibrated_broadcast,0.03,True,True,0.001321613571758901,0.0013524903724228458,0,0
1102,gated_conflict,fresh,2048,sgd,exact,0.3,True,True,0.00029174224654496457,0.0003112413965933426,0,0
1102,gated_conflict,fresh,2048,sgd,unit_broadcast,0.3,True,True,0.0004315191821529471,0.000465220647415101,1,0
1102,gated_conflict,fresh,2048,sgd,calibrated_broadcast,0.3,True,True,0.0004512262644012196,0.0004683443586130598,0,0
1102,gated_conflict,fresh,4096,adam,exact,0.03,True,True,0.0002736008261088585,0.0003016405693818468,0,0
1102,gated_conflict,fresh,4096,adam,unit_broadcast,0.03,True,True,0.0005110885238648218,0.0005545409996081562,20,0
1102,gated_conflict,fresh,4096,adam,calibrated_broadcast,0.03,True,True,0.0005324129662376245,0.0005774379768417086,0,0
1102,gated_conflict,fresh,4096,sgd,exact,0.3,True,True,7.528046686024877e-05,8.215215762059894e-05,0,0
1102,gated_conflict,fresh,4096,sgd,unit_broadcast,0.3,True,True,0.00043616432827950385,0.0004710689618304268,1,0
1102,gated_conflict,fresh,4096,sgd,calibrated_broadcast,0.3,True,True,0.00013440603802180118,0.00014395129944649607,0,0
