seed,task,phase,optimizer,rule,rate,selected_rate,common_rate,best_step,validation_nmse,test_nmse,path_rank_one_capture,path_effective_rank,path_unit_oracle_capture,path_calibrated_oracle_capture,credit_rank_one_capture,credit_effective_rank,credit_unit_oracle_capture,credit_calibrated_oracle_capture,eligibility_calibrated_oracle_capture,loss_eligibility_calibrated_oracle_capture
1109,ungated_independent,fresh,adam,exact,0.03,True,True,4096,0.000620488516735443,0.0006140949491767539,1.0000000000000022,0.9999999999999957,0.6741167335849109,0.8995490618192438,1.0,1.0,0.674116733584911,0.8995490618192444,0.9623268903520092,0.9547845459348469
1109,ungated_independent,fresh,adam,unit_broadcast,0.03,True,True,4096,1.2165117426300755e-05,1.2146507412672404e-05,1.0000000000000009,0.9999999999999984,0.6687712054962613,0.9116574497194858,1.0000000000000002,0.9999999999999996,0.6687712054962615,0.9116574497194856,0.9652310011613466,0.9564883627902575
1109,ungated_independent,fresh,adam,calibrated_broadcast,0.03,True,True,4096,1.5808379938934398e-05,1.5499865166707907e-05,1.0000000000000022,0.9999999999999957,0.6686514536292169,0.9109465036791584,1.0,1.0,0.6686514536292167,0.9109465036791589,0.9650312696158375,0.9567221218050151
1109,ungated_independent,fresh,sgd,exact,0.3,True,True,4096,0.0002196536114297701,0.00021510015068855527,1.0,1.0,0.6691466259987826,0.9087513684311543,1.0,1.0,0.6691466259987828,0.908751368431154,0.9631640425066602,0.9595520687644683
1109,ungated_independent,fresh,sgd,unit_broadcast,0.3,True,True,4096,4.558126427166833e-05,4.366860265678389e-05,1.0000000000000007,0.9999999999999989,0.6706508489378075,0.9113887298435471,0.9999999999999998,1.0000000000000004,0.6706508489378071,0.9113887298435469,0.9638585557188659,0.9624217302124369
1109,ungated_independent,fresh,sgd,calibrated_broadcast,0.3,True,True,4096,0.00023233824560130726,0.00022579620337833875,1.0000000000000007,0.9999999999999987,0.6681327448675427,0.9030599766193904,1.0000000000000002,0.9999999999999993,0.6681327448675429,0.9030599766193904,0.961209901274704,0.9572632979928646
1109,gated_conflict,fresh,adam,exact,0.03,True,True,4096,0.00039493270225095614,0.0003879796604297201,0.893256199122951,1.2356343966600327,0.5392716014518508,0.7758794266668086,0.8968470550226288,1.227031247839548,0.5388183793792021,0.8006931534903267,0.9557763686698626,0.9587859471757849
1109,gated_conflict,fresh,adam,unit_broadcast,0.03,True,True,4096,0.0004932613110851186,0.0004952527953503654,0.9038856623150099,1.2102914620253513,0.5334701191417769,0.819528723616751,0.9137878181433433,1.1870271461883222,0.5349149543995803,0.8470946969787345,0.9538664467626243,0.9725783796900208
1109,gated_conflict,fresh,adam,calibrated_broadcast,0.03,True,True,4096,0.0005717828262985693,0.0005655623588791028,0.9072632329139765,1.2023180474087931,0.5327455796625757,0.8197577725160753,0.9151420873060941,1.1838720093690505,0.5343000573929434,0.843359091670393,0.9540455032765964,0.9711856252170598
1109,gated_conflict,fresh,sgd,exact,0.3,True,True,4096,0.00010798917095269511,0.00011203546188673229,0.8814720076991622,1.264155722950151,0.537227952639741,0.7871367554976727,0.8889940142105822,1.2458999206164834,0.538091733404827,0.8198931310539895,0.9658515105802102,0.9718925391898942
1109,gated_conflict,fresh,sgd,unit_broadcast,0.3,True,True,2048,0.00044115661522780685,0.0004286353157629652,0.8857216582239348,1.2538203982040872,0.5442437958151625,0.8173838714496005,0.8857994917845784,1.2536316208045641,0.5442226440454874,0.8165343138992992,0.9618594400792624,0.9774825254391499
1109,gated_conflict,fresh,sgd,calibrated_broadcast,0.3,True,True,4096,0.0001378422169406874,0.00014259477282932146,0.8814987390582555,1.264090539449746,0.5378869036779821,0.791585368560989,0.8814294684716957,1.2642594578365935,0.5379007491756778,0.7921095897002373,0.9653487310198323,0.9792546802788965
