seed,task,phase,step,optimizer,rule,rate,selected_rate,common_rate,validation_nmse,test_nmse,gradient_clipped_steps,projected_steps
1112,ungated_independent,fresh,0,adam,exact,0.03,True,True,17.971044900702914,18.346375200861388,0,0
1112,ungated_independent,fresh,0,adam,unit_broadcast,0.03,True,True,17.971044900702914,18.346375200861388,0,0
1112,ungated_independent,fresh,0,adam,calibrated_broadcast,0.03,True,True,17.971044900702914,18.346375200861388,0,0
1112,ungated_independent,fresh,0,sgd,exact,0.3,True,True,17.971044900702914,18.346375200861388,0,0
1112,ungated_independent,fresh,0,sgd,unit_broadcast,0.3,True,True,17.971044900702914,18.346375200861388,0,0
1112,ungated_independent,fresh,0,sgd,calibrated_broadcast,0.3,True,True,17.971044900702914,18.346375200861388,0,0
1112,ungated_independent,fresh,64,adam,exact,0.03,True,True,0.1842304514989675,0.18288414100083858,0,0
1112,ungated_independent,fresh,64,adam,unit_broadcast,0.03,True,True,0.07961732688538127,0.0776190291703515,21,0
1112,ungated_independent,fresh,64,adam,calibrated_broadcast,0.03,True,True,0.17673332474168868,0.17608492876670545,0,0
1112,ungated_independent,fresh,64,sgd,exact,0.3,True,True,0.042826663048169206,0.04303762867347134,0,0
1112,ungated_independent,fresh,64,sgd,unit_broadcast,0.3,True,True,0.007008179800618515,0.007071983462501743,1,0
1112,ungated_independent,fresh,64,sgd,calibrated_broadcast,0.3,True,True,0.019015613130620116,0.018896461960089567,0,0
1112,ungated_independent,fresh,256,adam,exact,0.03,True,True,0.033911901230626366,0.03356786518371965,0,0
1112,ungated_independent,fresh,256,adam,unit_broadcast,0.03,True,True,0.014861739925849226,0.014710723185839176,21,0
1112,ungated_independent,fresh,256,adam,calibrated_broadcast,0.03,True,True,0.01630068652252407,0.01607558893750389,0,0
1112,ungated_independent,fresh,256,sgd,exact,0.3,True,True,0.015027570717111935,0.014985146208913976,0,0
1112,ungated_independent,fresh,256,sgd,unit_broadcast,0.3,True,True,0.0028772323419992913,0.002914614728498267,1,0
1112,ungated_independent,fresh,256,sgd,calibrated_broadcast,0.3,True,True,0.007531622483842271,0.007420097559318989,0,0
1112,ungated_independent,fresh,1024,adam,exact,0.03,True,True,0.006230942929613394,0.0062364126482511795,0,0
1112,ungated_independent,fresh,1024,adam,unit_broadcast,0.03,True,True,0.003351371310406807,0.0033575084993955054,21,0
1112,ungated_independent,fresh,1024,adam,calibrated_broadcast,0.03,True,True,0.004275163641181421,0.004275157878875849,0,0
1112,ungated_independent,fresh,1024,sgd,exact,0.3,True,True,0.0018254990764652512,0.0018156295705227673,0,0
1112,ungated_independent,fresh,1024,sgd,unit_broadcast,0.3,True,True,0.0004398405948676641,0.00043093050562055573,1,0
1112,ungated_independent,fresh,1024,sgd,calibrated_broadcast,0.3,True,True,0.0012445930189430403,0.0012391601155902034,0,0
1112,ungated_independent,fresh,2048,adam,exact,0.03,True,True,0.001376805811069538,0.001380900532584514,0,0
1112,ungated_independent,fresh,2048,adam,unit_broadcast,0.03,True,True,0.000551321185952382,0.0005436186410665969,21,0
1112,ungated_independent,fresh,2048,adam,calibrated_broadcast,0.03,True,True,0.0009647167774966165,0.0009605998119897595,0,0
1112,ungated_independent,fresh,2048,sgd,exact,0.3,True,True,0.0006392589234784758,0.0006379806935823853,0,0
1112,ungated_independent,fresh,2048,sgd,unit_broadcast,0.3,True,True,5.92373060006182e-05,5.6296097434185114e-05,1,0
1112,ungated_independent,fresh,2048,sgd,calibrated_broadcast,0.3,True,True,0.0005070244537003162,0.0005058583661150246,0,0
1112,ungated_independent,fresh,4096,adam,exact,0.03,True,True,0.00010042765029771037,0.00010416995523567254,0,0
1112,ungated_independent,fresh,4096,adam,unit_broadcast,0.03,True,True,3.670347187801996e-05,3.712416088970175e-05,21,0
1112,ungated_independent,fresh,4096,adam,calibrated_broadcast,0.03,True,True,4.4936955782732776e-05,4.4573390880101075e-05,0,0
1112,ungated_independent,fresh,4096,sgd,exact,0.3,True,True,0.00032096773190720056,0.0003181636649406006,0,0
1112,ungated_independent,fresh,4096,sgd,unit_broadcast,0.3,True,True,6.77031008677049e-06,6.823751252023024e-06,1,0
1112,ungated_independent,fresh,4096,sgd,calibrated_broadcast,0.3,True,True,0.00027091627446378536,0.00026876240402837036,0,0
1112,gated_conflict,fresh,0,adam,exact,0.03,True,True,13.677459811434204,14.92174429175103,0,0
1112,gated_conflict,fresh,0,adam,unit_broadcast,0.03,True,True,13.677459811434204,14.92174429175103,0,0
1112,gated_conflict,fresh,0,adam,calibrated_broadcast,0.03,True,True,13.677459811434204,14.92174429175103,0,0
1112,gated_conflict,fresh,0,sgd,exact,0.3,True,True,13.677459811434204,14.92174429175103,0,0
1112,gated_conflict,fresh,0,sgd,unit_broadcast,0.3,True,True,13.677459811434204,14.92174429175103,0,0
1112,gated_conflict,fresh,0,sgd,calibrated_broadcast,0.3,True,True,13.677459811434204,14.92174429175103,0,0
1112,gated_conflict,fresh,64,adam,exact,0.03,True,True,0.23770653309738074,0.26145038361932776,0,0
1112,gated_conflict,fresh,64,adam,unit_broadcast,0.03,True,True,0.08583931378465869,0.09487214041133948,22,0
1112,gated_conflict,fresh,64,adam,calibrated_broadcast,0.03,True,True,0.281944247294428,0.31100122596761076,0,0
1112,gated_conflict,fresh,64,sgd,exact,0.3,True,True,0.046505547369640375,0.0502896881534442,0,0
1112,gated_conflict,fresh,64,sgd,unit_broadcast,0.3,True,True,0.008582405805506309,0.009200677139596174,1,0
1112,gated_conflict,fresh,64,sgd,calibrated_broadcast,0.3,True,True,0.024857025154316564,0.02663818743153895,0,0
1112,gated_conflict,fresh,256,adam,exact,0.03,True,True,0.030424246387523477,0.03349342538454718,0,0
1112,gated_conflict,fresh,256,adam,unit_broadcast,0.03,True,True,0.024829631003106922,0.02790212968926432,22,0
1112,gated_conflict,fresh,256,adam,calibrated_broadcast,0.03,True,True,0.02421675266805892,0.027324400721322733,0,0
1112,gated_conflict,fresh,256,sgd,exact,0.3,True,True,0.015392008921404353,0.016578385515419104,0,0
1112,gated_conflict,fresh,256,sgd,unit_broadcast,0.3,True,True,0.002062649611210559,0.002176778399189757,1,0
1112,gated_conflict,fresh,256,sgd,calibrated_broadcast,0.3,True,True,0.009444946365695237,0.010021443762084118,0,0
1112,gated_conflict,fresh,1024,adam,exact,0.03,True,True,0.002835676308301161,0.002941811889676941,0,0
1112,gated_conflict,fresh,1024,adam,unit_broadcast,0.03,True,True,0.004072272928535976,0.004191611291204753,22,0
