seed,task,phase,step,optimizer,rule,rate,selected_rate,common_rate,path_rank_one_capture,path_effective_rank,path_unit_oracle_capture,path_calibrated_oracle_capture,credit_rank_one_capture,credit_effective_rank,credit_unit_oracle_capture,credit_calibrated_oracle_capture,eligibility_calibrated_oracle_capture,loss_eligibility_calibrated_oracle_capture
1113,ungated_independent,fresh,0,adam,exact,0.03,True,True,1.0000000000000018,0.9999999999999963,0.6706677760930558,1.0000000000000002,1.0,1.0,0.6706677760930556,1.0,1.0,1.0
1113,ungated_independent,fresh,0,adam,unit_broadcast,0.03,True,True,1.0000000000000018,0.9999999999999963,0.6706677760930558,1.0000000000000002,1.0,1.0,0.6706677760930556,1.0,1.0,1.0
1113,ungated_independent,fresh,0,adam,calibrated_broadcast,0.03,True,True,1.0000000000000018,0.9999999999999963,0.6706677760930558,1.0000000000000002,1.0,1.0,0.6706677760930556,1.0,1.0,1.0
1113,ungated_independent,fresh,0,sgd,exact,0.3,True,True,1.0000000000000018,0.9999999999999963,0.6706677760930558,1.0000000000000002,1.0,1.0,0.6706677760930556,1.0,1.0,1.0
1113,ungated_independent,fresh,0,sgd,unit_broadcast,0.3,True,True,1.0000000000000018,0.9999999999999963,0.6706677760930558,1.0000000000000002,1.0,1.0,0.6706677760930556,1.0,1.0,1.0
1113,ungated_independent,fresh,0,sgd,calibrated_broadcast,0.3,True,True,1.0000000000000018,0.9999999999999963,0.6706677760930558,1.0000000000000002,1.0,1.0,0.6706677760930556,1.0,1.0,1.0
1113,ungated_independent,fresh,64,adam,exact,0.03,True,True,1.0000000000000002,0.9999999999999997,0.7961599840992897,0.8877176365788458,0.9999999999999999,1.0000000000000002,0.7961599840992896,0.8877176365788458,0.8955726487420574,0.8699812792088405
1113,ungated_independent,fresh,64,adam,unit_broadcast,0.03,True,True,1.0000000000000018,0.9999999999999966,0.7719762122925592,0.9143559525861994,1.0000000000000002,0.9999999999999997,0.7719762122925595,0.9143559525862001,0.8977566921774096,0.856277841041882
1113,ungated_independent,fresh,64,adam,calibrated_broadcast,0.03,True,True,1.0000000000000027,0.9999999999999944,0.7728873440654759,0.9229698484527488,0.9999999999999998,1.0000000000000004,0.7728873440654755,0.922969848452749,0.9046420079352884,0.8819792368435372
1113,ungated_independent,fresh,64,sgd,exact,0.3,True,True,1.0000000000000007,0.9999999999999986,0.6797594811486456,0.98901290659566,0.9999999999999998,1.0000000000000004,0.6797594811486457,0.98901290659566,0.9951263344895901,0.9939585853447497
1113,ungated_independent,fresh,64,sgd,unit_broadcast,0.3,True,True,1.0,1.0,0.6829379701820476,0.9891401719159444,1.0,1.0,0.6829379701820477,0.9891401719159443,0.9953067601555116,0.9945315911352517
1113,ungated_independent,fresh,64,sgd,calibrated_broadcast,0.3,True,True,0.9999999999999986,1.000000000000003,0.675024429214007,0.999326497665602,0.9999999999999998,1.0000000000000004,0.6750244292140066,0.9993264976656021,0.9996562475987691,0.9995814668829418
1113,ungated_independent,fresh,256,adam,exact,0.03,True,True,0.999999999999999,1.0000000000000018,0.7906501341565532,0.8987596284372256,1.0000000000000002,0.9999999999999996,0.790650134156553,0.8987596284372253,0.9444295666115315,0.9407251312473427
1113,ungated_independent,fresh,256,adam,unit_broadcast,0.03,True,True,1.000000000000001,0.9999999999999978,0.6951600036896523,0.9870413137051415,1.0000000000000007,0.9999999999999989,0.6951600036896521,0.9870413137051411,0.993422518325201,0.9921884145059519
1113,ungated_independent,fresh,256,adam,calibrated_broadcast,0.03,True,True,1.000000000000001,0.9999999999999976,0.702131568717201,0.9821963461581995,1.0000000000000002,0.9999999999999996,0.7021315687172011,0.9821963461581997,0.9889077392850997,0.9872158828961515
1113,ungated_independent,fresh,256,sgd,exact,0.3,True,True,0.9999999999999983,1.0000000000000036,0.674548341935368,0.9974743574975952,1.0000000000000002,0.9999999999999997,0.6745483419353678,0.9974743574975946,0.9990241108315836,0.9988395120252147
1113,ungated_independent,fresh,256,sgd,unit_broadcast,0.3,True,True,1.0000000000000009,0.9999999999999982,0.6760917091579519,0.9995686970355416,0.9999999999999997,1.0000000000000007,0.6760917091579521,0.9995686970355415,0.9998092657471117,0.999788442342431
1113,ungated_independent,fresh,256,sgd,calibrated_broadcast,0.3,True,True,0.9999999999999992,1.0000000000000018,0.6700818855486269,0.9998494790440785,1.0000000000000002,0.9999999999999996,0.6700818855486267,0.9998494790440784,0.9999047018224574,0.9999242152012637
1113,ungated_independent,fresh,1024,adam,exact,0.03,True,True,1.0000000000000009,0.9999999999999982,0.7067276213429879,0.988746223393314,0.9999999999999999,1.0000000000000002,0.706727621342988,0.9887462233933142,0.9961708244630743,0.9948959229186808
1113,ungated_independent,fresh,1024,adam,unit_broadcast,0.03,True,True,0.9999999999999994,1.000000000000001,0.6752213771132042,0.9979143339187071,0.9999999999999999,1.0000000000000002,0.6752213771132042,0.9979143339187075,0.9995345744194589,0.9994289599220839
1113,ungated_independent,fresh,1024,adam,calibrated_broadcast,0.03,True,True,1.0000000000000002,0.9999999999999997,0.6756820299486184,0.9961473383206974,0.9999999999999998,1.0000000000000002,0.6756820299486186,0.9961473383206978,0.9989485810643371,0.9986758622236368
1113,ungated_independent,fresh,1024,sgd,exact,0.3,True,True,1.0000000000000007,0.9999999999999986,0.6666455076843237,0.9998993248817348,1.0000000000000002,0.9999999999999997,0.6666455076843237,0.9998993248817353,0.9997789405451626,0.9998577588600351
1113,ungated_independent,fresh,1024,sgd,unit_broadcast,0.3,True,True,1.0000000000000044,0.9999999999999913,0.672093129749749,0.9999260373234294,1.0,1.0,0.672093129749749,0.9999260373234291,0.9999712328957446,0.9999748407531187
1113,ungated_independent,fresh,1024,sgd,calibrated_broadcast,0.3,True,True,1.0000000000000024,0.999999999999995,0.665392313901291,0.9998435211536301,1.0,1.0,0.6653923139012909,0.9998435211536304,0.9997060973754229,0.9997777015173811
1113,ungated_independent,fresh,2048,adam,exact,0.03,True,True,0.9999999999999994,1.000000000000001,0.6838750586359553,0.9975291115406195,1.0000000000000002,0.9999999999999996,0.6838750586359554,0.9975291115406196,0.9995344384073361,0.9993997685795016
1113,ungated_independent,fresh,2048,adam,unit_broadcast,0.03,True,True,0.9999999999999991,1.0000000000000018,0.6732209104075678,0.9992225582370234,1.0,1.0,0.6732209104075684,0.9992225582370239,0.9997812522742335,0.9998138561971353
