run_dir,seed,network_type,strategy,broadcast_mode,train_accuracy,valid_accuracy,test_accuracy
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/fashion_mnist_competence_activation_corrected_20260402130900/results/config_0,42,dendritic_shunting,local_ca,per_soma,0.8731666803359985,0.8536666631698608,0.8394999504089355
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/fashion_mnist_competence_activation_corrected_20260402130900/results/config_1,43,dendritic_shunting,local_ca,per_soma,0.864145815372467,0.8485000133514404,0.8349999785423279
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/fashion_mnist_competence_activation_corrected_20260402130900/results/config_10,42,dendritic_additive,local_ca,per_soma,0.8612708449363708,0.8413333296775818,0.8339999914169312
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/fashion_mnist_competence_activation_corrected_20260402130900/results/config_11,43,dendritic_additive,local_ca,per_soma,0.8538125157356262,0.8320000171661377,0.824999988079071
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/fashion_mnist_competence_activation_corrected_20260402130900/results/config_12,44,dendritic_additive,local_ca,per_soma,0.8688958287239075,0.8489166498184204,0.8345999717712402
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/fashion_mnist_competence_activation_corrected_20260402130900/results/config_13,45,dendritic_additive,local_ca,per_soma,0.8589375019073486,0.8387500047683716,0.8279999494552612
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/fashion_mnist_competence_activation_corrected_20260402130900/results/config_14,46,dendritic_additive,local_ca,per_soma,0.8633124828338623,0.8423333168029785,0.8345999717712402
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/fashion_mnist_competence_activation_corrected_20260402130900/results/config_15,42,dendritic_additive,standard,per_soma,0.9204375147819519,0.8865833282470703,0.8758999705314636
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/fashion_mnist_competence_activation_corrected_20260402130900/results/config_16,43,dendritic_additive,standard,per_soma,0.924958348274231,0.8834999799728394,0.8766999840736389
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/fashion_mnist_competence_activation_corrected_20260402130900/results/config_17,44,dendritic_additive,standard,per_soma,0.9210833311080933,0.8880000114440918,0.8757999539375305
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/fashion_mnist_competence_activation_corrected_20260402130900/results/config_18,45,dendritic_additive,standard,per_soma,0.9201666712760925,0.8866666555404663,0.8746999502182007
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/fashion_mnist_competence_activation_corrected_20260402130900/results/config_19,46,dendritic_additive,standard,per_soma,0.9204166531562805,0.8825833201408386,0.8750999569892883
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/fashion_mnist_competence_activation_corrected_20260402130900/results/config_2,44,dendritic_shunting,local_ca,per_soma,0.8678749799728394,0.8489999771118164,0.8361999988555908
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/fashion_mnist_competence_activation_corrected_20260402130900/results/config_3,45,dendritic_shunting,local_ca,per_soma,0.8688749670982361,0.8535000085830688,0.8371999859809875
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/fashion_mnist_competence_activation_corrected_20260402130900/results/config_4,46,dendritic_shunting,local_ca,per_soma,0.8718124628067017,0.8485000133514404,0.8412999510765076
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/fashion_mnist_competence_activation_corrected_20260402130900/results/config_5,42,dendritic_shunting,standard,per_soma,0.9286041855812073,0.8931666612625122,0.8887999653816223
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/fashion_mnist_competence_activation_corrected_20260402130900/results/config_6,43,dendritic_shunting,standard,per_soma,0.918916642665863,0.8964166641235352,0.8869999647140503
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/fashion_mnist_competence_activation_corrected_20260402130900/results/config_7,44,dendritic_shunting,standard,per_soma,0.929520845413208,0.8972499966621399,0.8903999924659729
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/fashion_mnist_competence_activation_corrected_20260402130900/results/config_8,45,dendritic_shunting,standard,per_soma,0.9284791350364685,0.8940833210945129,0.8881999850273132
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/fashion_mnist_competence_activation_corrected_20260402130900/results/config_9,46,dendritic_shunting,standard,per_soma,0.9315208196640015,0.8920000195503235,0.8883000016212463
