seed,network_type,branch_numel_weighted_cosine,branch_macro_cosine,branch_concatenated_cosine,branch_local_exact_norm_ratio,soma_exact_energy_fraction
42,dendritic_shunting,0.155416,0.190352,0.107246,0.241226,0.000330
43,dendritic_shunting,0.181036,0.174614,0.169728,0.323372,0.001495
44,dendritic_shunting,0.086624,0.118627,0.078171,0.333641,0.000835
45,dendritic_shunting,0.146723,0.130713,0.160697,0.300893,0.000971
46,dendritic_shunting,0.206094,0.217186,0.198846,0.365457,0.001087
42,dendritic_additive,0.203915,0.233449,0.194588,0.254491,0.028345
43,dendritic_additive,0.180026,0.182543,0.149167,0.224911,0.038474
44,dendritic_additive,0.116251,0.186706,0.046837,0.263716,0.013585
45,dendritic_additive,0.210390,0.243850,0.189415,0.252226,0.020783
46,dendritic_additive,0.110603,0.206213,0.090899,0.322952,0.028561
