epoch,rule_variant,error_broadcast_mode,parameter_name,component,numel,cosine_similarity,local_grad_norm,backprop_grad_norm,norm_ratio
0,5f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1.branch_inhibition.pre_w,inhibitory_synapse,47040,0.06655395427312363,0.00011941813136218116,7.231296331156045e-05,1.6514069434032337
0,5f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1.branches_to_output.log_weight,dendritic_conductance,180,0.0847146118843645,4.028669718536548e-05,2.097188371408265e-05,1.9209860122067575
0,5f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1.reactivation.b,reactivation,60,0.09721603005726002,0.020378325134515762,0.012140044011175632,1.678603892545834
0,5f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1.reactivation.log_m,reactivation,60,0.1592063410203649,0.002713404828682542,0.0013115075416862965,2.068920490632336
0,5f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.2.branches_to_output.log_weight,dendritic_conductance,60,0.9991681509427065,4.68609323434066e-05,2.603811299195513e-05,1.7997053226621942
0,5f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.2.reactivation.b,reactivation,20,0.9999998262491266,0.07784107327461243,0.029194725677371025,2.6662717825186197
0,5f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.2.reactivation.log_m,reactivation,20,0.9999998984961658,0.005927036516368389,0.0022229680325835943,2.666271591325384
2,3f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.0.branch_excitation.pre_w,excitatory_synapse,141120,0.1587344831294564,0.0007106045377440751,0.0005333638982847333,1.3323071522032706
2,3f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.0.branch_inhibition.pre_w,inhibitory_synapse,141120,-0.16793607945599442,0.0002513339277356863,0.00013894267613068223,1.8089037358859492
2,3f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.0.reactivation.b,reactivation,180,-0.293989341627491,0.0016375234117731452,0.006641004700213671,0.24657766188207653
2,3f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.0.reactivation.log_m,reactivation,180,0.8096928695979353,0.0027795108035206795,0.0017641176236793399,1.5755813357546982
2,3f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1.branch_excitation.pre_w,excitatory_synapse,47040,0.2339039034184139,7.553212981292745e-06,2.114862945745699e-05,0.3571490360327086
2,3f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1.branch_inhibition.pre_w,inhibitory_synapse,47040,-0.17405540898923075,2.55531158472877e-05,6.165588274598122e-05,0.4144473210791221
2,3f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1.branches_to_output.log_weight,dendritic_conductance,180,0.21321641427270852,9.627391591493506e-06,2.8356420443742536e-05,0.3395136304696868
2,3f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1.reactivation.b,reactivation,60,-0.13841181107288014,0.0010979537619277835,0.015385887585580349,0.07136109345329056
2,3f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1.reactivation.log_m,reactivation,60,0.8513658692565911,0.001180762774311006,0.0032473388127982616,0.3636093558497281
2,3f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.2.branches_to_output.log_weight,dendritic_conductance,60,0.9987966487087346,3.7824196624569595e-05,2.9166605600039475e-05,1.2968322692883445
2,3f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.2.reactivation.b,reactivation,20,0.9999999673110807,0.07041507214307785,0.035207536071538925,1.999999999943194
2,3f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.2.reactivation.log_m,reactivation,20,1.000000018107879,0.01127921137958765,0.005639605689793825,1.9999999996453652
2,4f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.0.branch_excitation.pre_w,excitatory_synapse,141120,0.15873448880875438,0.0007103297393769026,0.0005333638982847333,1.331791934792529
2,4f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.0.branch_inhibition.pre_w,inhibitory_synapse,141120,-0.16793607873939395,0.00025123675004579127,0.00013894267613068223,1.8082043273823716
2,4f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.0.reactivation.b,reactivation,180,-0.2939892566763112,0.0016368903452530503,0.006641004700213671,0.24648233496264532
