seed,matched_loss_reduction
7000,0.04018994936
7001,0.150322687
7002,0.03242197547
7003,0.07251738369
7004,0.1501244322
7005,0.03740554
7006,0.04541848561
7007,0.06717454489
7008,0.1040832191
7009,0.1216835166
7010,0.06836543383
7011,0.08137159383
7012,0.1131395576
7013,0.1169359543
7014,0.03725658598
7015,0.05981292038
7016,0.199073671
7017,0.1202937443
7018,0.06508881734
7019,0.07580685486
7020,0.1472439518
7021,0.1384956038
7022,0.1407663837
7023,0.07577703177
7024,-0.001215321644
7025,0.1203237094
7026,0.06278926644
7027,0.130875839
7028,0.1277426611
7029,0.2239025634
7030,0.01750327048
7031,0.007306406208
7032,0.1942604826
7033,0.04918632849
7034,0.05585767487
7035,0.09364185242
7036,0.0403768153
7037,0.03437348442
7038,0.08576940295
7039,0.139787643
7040,0.2279909114
7041,0.1654465536
7042,0.08717013891
7043,0.06163656655
7044,0.03467660191
7045,0.2133764417
7046,-0.05796391173
7047,0.2129059692
7048,0.05750116566
7049,0.1377605413
