seed,task_depth,final_population_loss,best_mismatched_loss,matched_loss_reduction
7000,1,0.02340365975,0.1153120388,0.09190837905
7000,2,0.0386324273,0.04189846288,0.00326603558
7000,3,0.1057213806,0.1866840831,0.0809627025
7000,4,0.2338832003,0.2185058806,-0.0153773197
7001,1,0.005785955143,0.2686894457,0.2629034906
7001,2,0.05409933459,0.2882726318,0.2341732972
7001,3,0.1149270939,0.1824881417,0.0675610478
7001,4,0.3084969363,0.3451498488,0.0366529125
7002,1,0.02279727636,0.1566796404,0.133882364
7002,2,0.02705406925,0.1059001061,0.07884603685
7002,3,0.1165101591,0.1325127418,0.0160025827
7002,4,0.289822984,0.1907799023,-0.0990430817
7003,1,0.01361240864,0.2520060804,0.2383936718
7003,2,0.1272138745,0.05543096936,-0.07178290514
7003,3,0.08724863556,0.1610928469,0.07384421134
7003,4,0.08221851381,0.1318330706,0.04961455679
7004,1,0.03883039518,0.3156391721,0.2768087769
7004,2,0.03349314459,0.2122006851,0.1787075405
7004,3,0.06550343168,0.2546818335,0.1891784018
7004,4,0.2716906478,0.2274936572,-0.0441969906
7005,1,0.01990757379,0.03360990528,0.01370233149
7005,2,0.1571046379,0.2082992458,0.0511946079
7005,3,0.2116515886,0.2325844536,0.020932865
7005,4,0.3727823348,0.4365746904,0.0637923556
7006,1,0.04021753086,0.1173770694,0.07715953854
7006,2,0.1145941824,0.1777304437,0.0631362613
7006,3,0.04439088487,0.07956570805,0.03517482318
7006,4,0.1604493946,0.166652714,0.0062033194
7007,1,0.0724449993,0.106048272,0.0336032727
7007,2,0.04606028883,0.123909452,0.07784916317
7007,3,0.1029406954,0.2069199277,0.1039792323
7007,4,0.07958090192,0.1328474133,0.05326651138
7008,1,0.02443573795,0.3914441257,0.3670083877
7008,2,0.08730792877,0.08934918097,0.0020412522
7008,3,0.1081516837,0.1680681469,0.0599164632
7008,4,0.1955610887,0.1829278618,-0.0126332269
7009,1,0.04381568357,0.2835243044,0.2397086208
7009,2,0.03481594524,0.1323919284,0.09757598316
7009,3,0.1022220181,0.163277182,0.0610551639
7009,4,0.1461130032,0.2345073018,0.0883942986
7010,1,0.02406656305,0.3248646074,0.3007980444
7010,2,0.03150752729,0.02661241335,-0.00489511394
7010,3,0.1376657883,0.2001359165,0.0624701282
7010,4,0.3981905834,0.3132792601,-0.0849113233
7011,1,0.08236575123,0.4629337332,0.380567982
7011,2,0.01744015194,0.05773804917,0.04029789723
7011,3,0.1593567369,0.134393581,-0.0249631559
7011,4,0.1908636823,0.1204473343,-0.070416348
7012,1,0.002240033871,0.09664065416,0.09440062029
7012,2,0.02288256401,0.2609543661,0.2380718021
7012,3,0.07415494672,0.1377646249,0.06360967818
7012,4,0.1432747648,0.1997508946,0.0564761298
7013,1,0.04326782966,0.2257411557,0.182473326
7013,2,0.0103564362,0.2416098634,0.2312534272
7013,3,0.1824352178,0.1887416996,0.0063064818
7013,4,0.1501644563,0.1978750383,0.047710582
7014,1,0.06335926963,0.1652912602,0.1019319906
7014,2,0.007134219973,0.0729482276,0.06581400763
7014,3,0.0767518837,0.06607769222,-0.01067419148
7014,4,0.239563785,0.2315183222,-0.0080454628
7015,1,0.01241513968,0.1494255836,0.1370104439
7015,2,0.02500684523,0.1926103328,0.1676034876
7015,3,0.08442828828,0.139689193,0.05526090472
7015,4,0.3063899585,0.1857668038,-0.1206231547
7016,1,0.04941178921,0.1717040682,0.122292279
7016,2,0.02312981107,0.2543223851,0.231192574
7016,3,0.04152484837,0.498099362,0.4565745136
7016,4,0.1522261967,0.1384615139,-0.0137646828
7017,1,0.005426931361,0.2065518195,0.2011248881
7017,2,0.01135209164,0.08521797717,0.07386588553
7017,3,0.1131034197,0.3320631339,0.2189597142
7017,4,0.1859090961,0.1731335855,-0.0127755106
7018,1,0.01082698615,0.1192472515,0.1084202654
7018,2,0.059859041,0.07572252185,0.01586348085
7018,3,0.08261517385,0.1828098714,0.1001946975
7018,4,0.06642384009,0.1023006657,0.03587682561
7019,1,0.04597998491,0.1932214363,0.1472414514
7019,2,0.08590188817,0.07609222362,-0.00980966455
7019,3,0.1462483319,0.3285187598,0.1822704279
7019,4,0.1852658804,0.1687910851,-0.0164747953
7020,1,0.06188049979,0.3195667756,0.2576862758
7020,2,0.04147678881,0.05444709329,0.01297030448
