signal_retention,noise_retention,method,n_seeds,mean_population_loss_after_one_step,ci95_low_population_loss_after_one_step,ci95_high_population_loss_after_one_step,mean_expected_population_loss,ci95_low_expected_population_loss,ci95_high_expected_population_loss
0.25,0.1,bp_plus_route_projection,50,0.4215749481,0.4143593514,0.4296437246,0.425,0.425,0.425
0.25,0.1,full_stochastic_bp,50,0.4892785037,0.4292742359,0.5525796031,0.5,0.5,0.5
0.25,0.1,routed_localca,50,0.4392235347,0.4306891086,0.4486346839,0.45,0.45,0.45
0.25,0.25,bp_plus_route_projection,50,0.4861895707,0.4704595657,0.5035768181,0.5,0.5,0.5
0.25,0.25,full_stochastic_bp,50,0.480197676,0.4327868867,0.5273304796,0.5,0.5,0.5
0.25,0.25,routed_localca,50,0.5148822865,0.4963043828,0.5349460603,0.525,0.525,0.525
0.25,0.5,bp_plus_route_projection,50,0.6202837833,0.5872055178,0.6551758943,0.625,0.625,0.625
0.25,0.5,full_stochastic_bp,50,0.4825525968,0.4412174934,0.5255487612,0.5,0.5,0.5
0.25,0.5,routed_localca,50,0.6569829257,0.6173554895,0.6997967791,0.65,0.65,0.65
0.25,0.75,bp_plus_route_projection,50,0.7347750496,0.6904920092,0.7790475484,0.75,0.75,0.75
0.25,0.75,full_stochastic_bp,50,0.4868353665,0.4365232997,0.5379047397,0.5,0.5,0.5
0.25,0.75,routed_localca,50,0.7580604007,0.7101711829,0.8064579303,0.775,0.775,0.775
0.25,1,bp_plus_route_projection,50,0.8944271256,0.8254817748,0.9677263572,0.875,0.875,0.875
0.25,1,full_stochastic_bp,50,0.5194271256,0.4503516855,0.5919113045,0.5,0.5,0.5
0.25,1,routed_localca,50,0.9124722945,0.8409576025,0.9897281782,0.9,0.9,0.9
0.5,0.1,bp_plus_route_projection,50,0.2971704176,0.2910087266,0.3036706751,0.3,0.3,0.3
0.5,0.1,full_stochastic_bp,50,0.4946517979,0.4334307818,0.5594768099,0.5,0.5,0.5
0.5,0.1,routed_localca,50,0.3173896039,0.3083577828,0.3270115742,0.325,0.325,0.325
0.5,0.25,bp_plus_route_projection,50,0.3747104866,0.3586877237,0.3912213596,0.375,0.375,0.375
0.5,0.25,full_stochastic_bp,50,0.503540978,0.4479121231,0.5630435582,0.5,0.5,0.5
0.5,0.25,routed_localca,50,0.4010526363,0.3807184198,0.4224134543,0.4,0.4,0.4
0.5,0.5,bp_plus_route_projection,50,0.5068700003,0.4744485815,0.5403840938,0.5,0.5,0.5
0.5,0.5,full_stochastic_bp,50,0.4974565705,0.4507874546,0.5466781964,0.5,0.5,0.5
0.5,0.5,routed_localca,50,0.5371272861,0.5008998007,0.5743747603,0.525,0.525,0.525
0.5,0.75,bp_plus_route_projection,50,0.660657763,0.6132589158,0.7106408105,0.625,0.625,0.625
0.5,0.75,full_stochastic_bp,50,0.5286426409,0.4806350686,0.5812476775,0.5,0.5,0.5
0.5,0.75,routed_localca,50,0.6805076787,0.6309117349,0.7328916773,0.65,0.65,0.65
0.5,1,bp_plus_route_projection,50,0.6827455569,0.6244800678,0.7452371671,0.75,0.75,0.75
0.5,1,full_stochastic_bp,50,0.4327455569,0.3741921192,0.4951620346,0.5,0.5,0.5
0.5,1,routed_localca,50,0.6960283834,0.6331068934,0.764257767,0.775,0.775,0.775
0.75,0.1,bp_plus_route_projection,50,0.1727449695,0.1665887924,0.1792847318,0.175,0.175,0.175
0.75,0.1,full_stochastic_bp,50,0.4936128278,0.4316696239,0.5587881079,0.5,0.5,0.5
0.75,0.1,routed_localca,50,0.1992120915,0.1894914079,0.2094881292,0.2,0.2,0.2
0.75,0.25,bp_plus_route_projection,50,0.2544408243,0.2380850266,0.2712639085,0.25,0.25,0.25
0.75,0.25,full_stochastic_bp,50,0.4773736384,0.4308218987,0.5257180909,0.5,0.5,0.5
0.75,0.25,routed_localca,50,0.2717734436,0.2517769963,0.2925649785,0.275,0.275,0.275
0.75,0.5,bp_plus_route_projection,50,0.389985503,0.3565763317,0.4252028109,0.375,0.375,0.375
0.75,0.5,full_stochastic_bp,50,0.5217788158,0.4662978445,0.58097739,0.5,0.5,0.5
0.75,0.5,routed_localca,50,0.423357934,0.3811045027,0.4679554664,0.4,0.4,0.4
0.75,0.75,bp_plus_route_projection,50,0.450585979,0.4108296822,0.4924575229,0.5,0.5,0.5
0.75,0.75,full_stochastic_bp,50,0.4426162756,0.400370304,0.4885236804,0.5,0.5,0.5
0.75,0.75,routed_localca,50,0.4760185665,0.4288893905,0.5273704728,0.525,0.525,0.525
0.75,1,bp_plus_route_projection,50,0.6657927693,0.5934041625,0.7411519463,0.625,0.625,0.625
0.75,1,full_stochastic_bp,50,0.5407927693,0.4692183912,0.6171117991,0.5,0.5,0.5
0.75,1,routed_localca,50,0.6758868908,0.5988012094,0.758687133,0.65,0.65,0.65
0.9,0.1,bp_plus_route_projection,50,0.1011731122,0.09473646535,0.1086170141,0.1,0.1,0.1
0.9,0.1,full_stochastic_bp,50,0.4586094894,0.4020415409,0.5192981757,0.5,0.5,0.5
0.9,0.1,routed_localca,50,0.1225933707,0.1140355216,0.1317294032,0.125,0.125,0.125
0.9,0.25,bp_plus_route_projection,50,0.1684622342,0.1510420164,0.1877582045,0.175,0.175,0.175
0.9,0.25,full_stochastic_bp,50,0.5363900616,0.4825716358,0.5919839738,0.5,0.5,0.5
0.9,0.25,routed_localca,50,0.1968444278,0.1772533409,0.2184302029,0.2,0.2,0.2
0.9,0.5,bp_plus_route_projection,50,0.3121822227,0.2736697974,0.3545458797,0.3,0.3,0.3
0.9,0.5,full_stochastic_bp,50,0.4938236551,0.4428686254,0.5494880046,0.5,0.5,0.5
0.9,0.5,routed_localca,50,0.3326438904,0.2922354676,0.377078759,0.325,0.325,0.325
0.9,0.75,bp_plus_route_projection,50,0.4766794314,0.4263433017,0.5320306822,0.425,0.425,0.425
0.9,0.75,full_stochastic_bp,50,0.5399029963,0.486205956,0.5977601173,0.5,0.5,0.5
0.9,0.75,routed_localca,50,0.510559849,0.4549602221,0.5731195901,0.45,0.45,0.45
0.9,1,bp_plus_route_projection,50,0.545623453,0.4826480485,0.6127504376,0.55,0.55,0.55
0.9,1,full_stochastic_bp,50,0.495623453,0.4340452209,0.5626206068,0.5,0.5,0.5
0.9,1,routed_localca,50,0.5796028488,0.510360805,0.6530725031,0.575,0.575,0.575
1,0.1,bp_plus_route_projection,50,0.0484225788,0.04180554153,0.05593494689,0.05,0.05,0.05
1,0.1,full_stochastic_bp,50,0.4739008817,0.4225964629,0.526044392,0.5,0.5,0.5
1,0.1,routed_localca,50,0.07400166876,0.06452035385,0.08412305924,0.075,0.075,0.075
1,0.25,bp_plus_route_projection,50,0.1228486648,0.1050367979,0.1417019991,0.125,0.125,0.125
1,0.25,full_stochastic_bp,50,0.4732155457,0.4222020417,0.5244591461,0.5,0.5,0.5
1,0.25,routed_localca,50,0.1472324664,0.1275059952,0.1675890137,0.15,0.15,0.15
1,0.5,bp_plus_route_projection,50,0.2476441285,0.2150665338,0.2802567483,0.25,0.25,0.25
1,0.5,full_stochastic_bp,50,0.4797429473,0.4265688368,0.5349745063,0.5,0.5,0.5
1,0.5,routed_localca,50,0.2757236543,0.2410691641,0.3122164014,0.275,0.275,0.275
1,0.75,bp_plus_route_projection,50,0.3363818263,0.2881009351,0.3883265777,0.375,0.375,0.375
1,0.75,full_stochastic_bp,50,0.4682591717,0.4180306041,0.5207258583,0.5,0.5,0.5
1,0.75,routed_localca,50,0.3633421816,0.3109318789,0.4163999011,0.4,0.4,0.4
1,1,bp_plus_route_projection,50,0.5392972696,0.4625841292,0.6227554322,0.5,0.5,0.5
