seed,budget_k,ancestry_minus_random_at_rho0,ancestry_minus_random_at_rho1,raw_affine_crossover,minimum_alignment_for_ancestry_advantage,ancestry_already_favored_at_rho0
7000,1,-0.00373873352,0.05524149532,0.06338960688,0.06338960688,False
7001,1,-0.0549710167,0.0707260688,0.4373292864,0.4373292864,False
7002,1,0.01025172425,0.0203017647,-1.020067959,0,True
7003,1,0.06210476317,0.06795529359,-10.61523635,0,True
7004,1,0.01330326813,0.05798863979,-0.2977096897,0,True
7005,1,-0.00327909917,0.09017281067,0.03508862661,0.03508862661,False
7006,1,-0.05071474332,0.09730902869,0.3426121537,0.3426121537,False
7007,1,0.02605051958,0.1019338918,-0.3432968096,0,True
7008,1,0.01456054417,0.1086807143,-0.1547016345,0,True
7009,1,0.08403375889,0.06625684553,4.727128787,0,True
7010,1,0.06185736399,0.09965762881,-1.636426736,0,True
7011,1,-0.0165379623,0.1208082662,0.1204107494,0.1204107494,False
7012,1,0.0596250616,0.07590133142,-3.663312433,0,True
7013,1,0.04943342744,0.102487833,-0.9317497187,0,True
7014,1,-0.00353285278,0.07996314667,0.04231164132,0.04231164132,False
7015,1,-0.0740029137,0.05769602533,0.5619097181,0.5619097181,False
7016,1,-0.05952588721,0.09745129583,0.379200888,0.379200888,False
7017,1,-0.0936079263,0.1012466163,0.4803989942,0.4803989942,False
7018,1,-0.04739854785,0.1002732239,0.3209722974,0.3209722974,False
7019,1,-0.01296579263,0.1093427288,0.1060089067,0.1060089067,False
7020,1,-0.08205269658,0.0866961528,0.4862415174,0.4862415174,False
7021,1,-0.03094736827,0.05937504972,0.3426321943,0.3426321943,False
7022,1,0.0569439004,0.0975919192,-1.400902235,0,True
7023,1,0.07105604881,0.0903547547,-3.681907441,0,True
7024,1,-0.01312380753,0.0467662923,0.219131502,0.219131502,False
7025,1,-0.01013818567,0.0726263688,0.122494294,0.122494294,False
7026,1,0.01282945649,0.08841331935,-0.1697380367,0,True
7027,1,-0.01776573243,0.08485612694,0.1731184032,0.1731184032,False
7028,1,-0.0622305129,0.05521817534,0.5298527709,0.5298527709,False
7029,1,0.02208187806,0.05425457132,-0.6863546636,0,True
7030,1,-0.02870818382,0.1067545401,0.2119268165,0.2119268165,False
7031,1,-0.02528858995,0.0461850335,0.3538170968,0.3538170968,False
7032,1,-0.02812525803,0.06370099485,0.3062877679,0.3062877679,False
7033,1,0.03168140659,0.09687040567,-0.4859931436,0,True
7034,1,-0.00257807953,0.0653009227,0.037980516,0.037980516,False
7035,1,0.01386377049,0.1248126837,-0.1249563434,0,True
7036,1,-0.03083502342,0.1147067507,0.211863732,0.211863732,False
7037,1,0.02586939704,0.0020407954,1.085644782,0,True
7038,1,-0.0565337586,0.1068913066,0.3459307697,0.3459307697,False
7039,1,-0.0002360568,0.08394953739,0.002804004679,0.002804004679,False
7040,1,-0.03278487222,0.06011577493,0.3529025171,0.3529025171,False
7041,1,-0.1316979681,0.1325804767,0.4983303431,0.4983303431,False
7042,1,0.05379916155,0.1317872927,-0.6898378095,0,True
7043,1,0.06619739688,0.08615342057,-3.317163675,0,True
7044,1,-0.00259978374,0.05931370283,0.04199058855,0.04199058855,False
7045,1,-0.01002524469,0.07954491935,0.111926162,0.111926162,False
7046,1,-0.09313790482,0.1080209899,0.4630066443,0.4630066443,False
7047,1,0.01910606453,0.0862749712,-0.2844480501,0,True
7048,1,-0.05771684967,0.09373446451,0.3810917719,0.3810917719,False
7049,1,0.0287208608,0.09991652377,-0.4034074493,0,True
7000,2,0.0176502535,0.4224755259,-0.04359968289,0,True
7001,2,-0.07150880226,0.2492727963,0.2229205247,0.2229205247,False
7002,2,-0.0788805915,0.3487825524,0.1844456148,0.1844456148,False
7003,2,0.0113106544,0.3919212112,-0.02971713264,0,True
7004,2,0.04444888192,0.3705235495,-0.1363150417,0,True
7005,2,0.05788430933,0.393406704,-0.1725199577,0,True
7006,2,0.03093390465,0.3958627845,-0.08476694051,0,True
7007,2,-0.01120981195,0.3710554421,0.02932469491,0.02932469491,False
7008,2,0.05732429626,0.3329539929,-0.2079757623,0,True
7009,2,0.0937146557,0.3584652651,-0.3539733333,0,True
7010,2,0.0312013363,0.4018095254,-0.08418954901,0,True
7011,2,-0.0867544727,0.3853988725,0.1837421541,0.1837421541,False
7012,2,0.1191874746,0.4368988733,-0.3751438413,0,True
7013,2,0.1631839149,0.4479259942,-0.5730937813,0,True
7014,2,-0.1138577225,0.3770616976,0.2319275177,0.2319275177,False
7015,2,-0.08720065294,0.3671787888,0.191911528,0.191911528,False
7016,2,-0.01459532065,0.3572450502,0.0392515762,0.0392515762,False
7017,2,-0.07518966214,0.4033345041,0.1571282444,0.1571282444,False
7018,2,0.00459390468,0.3143071479,-0.01483276799,0,True
7019,2,-0.02851898187,0.3363881222,0.07815408785,0.07815408785,False
7020,2,-0.06965017443,0.3830286587,0.1538622293,0.1538622293,False
7021,2,-0.08063591807,0.4124324165,0.1635390318,0.1635390318,False
7022,2,0.1538831488,0.3644073519,-0.7309522922,0,True
7023,2,0.0823208841,0.3461485047,-0.3120252683,0,True
7024,2,0.0231440716,0.4196517057,-0.05836980076,0,True
7025,2,-0.02362108129,0.3866470515,0.05757474052,0.05757474052,False
7026,2,-0.06716474411,0.4106641683,0.1405623276,0.1405623276,False
7027,2,-0.04305280892,0.3783977584,0.1021538758,0.1021538758,False
7028,2,0.03815369272,0.437111639,-0.09563336958,0,True
7029,2,0.0408482117,0.3193049216,-0.1466950167,0,True
7030,2,-0.0286653356,0.4009396225,0.06672487145,0.06672487145,False
7031,2,-0.041516654,0.4509909817,0.08429646769,0.08429646769,False
7032,2,0.045064069,0.4014361216,-0.1264523092,0,True
7033,2,-0.039002807,0.3974004446,0.08937331896,0.08937331896,False
7034,2,-0.08590223119,0.3782009268,0.1850929685,0.1850929685,False
7035,2,0.00578656322,0.3682459287,-0.01596472259,0,True
7036,2,-0.02724086563,0.4220458751,0.06063135891,0.06063135891,False
7037,2,-0.01469305598,0.3915378698,0.03616922063,0.03616922063,False
7038,2,-0.1165159925,0.3464672053,0.2516635443,0.2516635443,False
7039,2,0.0438810767,0.3915932965,-0.1261994092,0,True
7040,2,-0.0153527073,0.3781689306,0.03901362929,0.03901362929,False
7041,2,-0.0060711764,0.3074590156,0.01936392907,0.01936392907,False
7042,2,-0.0863345485,0.3900839543,0.1812157756,0.1812157756,False
7043,2,0.028435169,0.3556726423,-0.08689459894,0,True
7044,2,0.01285518343,0.3370752245,-0.0396495645,0,True
7045,2,-0.033778532,0.3871907837,0.08023989099,0.08023989099,False
7046,2,-0.0715644897,0.3321655173,0.1772582876,0.1772582876,False
7047,2,-0.1034546641,0.3925685275,0.2085681997,0.2085681997,False
7048,2,0.0402136309,0.4074879031,-0.1094920988,0,True
7049,2,0.01423589388,0.4549526446,-0.03230168551,0,True
7000,4,0.0276656338,0.5278822664,-0.05530730487,0,True
7001,4,-0.0020118853,0.4623333055,0.004332736378,0.004332736378,False
7002,4,-0.0193915105,0.5849667772,0.03208611662,0.03208611662,False
7003,4,0.0820584323,0.5865195975,-0.1626655092,0,True
7004,4,-0.0536230429,0.491297637,0.09840522644,0.09840522644,False
7005,4,-0.0866894901,0.684091866,0.112469625,0.112469625,False
7006,4,-0.0031701573,0.6471465514,0.004874789864,0.004874789864,False
7007,4,-0.0443738954,0.5145455738,0.07939228788,0.07939228788,False
7008,4,-0.0087359798,0.6183212213,0.01393171115,0.01393171115,False
7009,4,0.1354678989,0.5642225938,-0.3159566543,0,True
7010,4,3.58953e-05,0.6061238639,-5.922457112e-05,0,True
7011,4,-0.0494610954,0.6398313031,0.07175633375,0.07175633375,False
7012,4,0.0426012148,0.610874597,-0.07496605707,0,True
7013,4,0.1109677241,0.5347651294,-0.2618414429,0,True
7014,4,0.0008351392,0.5915176104,-0.00141385472,0,True
7015,4,-0.0523494878,0.577200036,0.08315388356,0.08315388356,False
7016,4,0.0208195717,0.6497644593,-0.03310237846,0,True
7017,4,-0.022314808,0.5105055455,0.04188054727,0.04188054727,False
7018,4,-0.037978591,0.4320646758,0.08079807474,0.08079807474,False
7019,4,-0.0279551583,0.5856269418,0.04556058316,0.04556058316,False
7020,4,-0.1007420216,0.4028802429,0.2000348847,0.2000348847,False
7021,4,-0.2279826442,0.456414006,0.3331147868,0.3331147868,False
7022,4,0.0806514921,0.5241946457,-0.1818346004,0,True
7023,4,0.0330561609,0.5620665374,-0.06248679113,0,True
7024,4,0.0405576736,0.5386525582,-0.08142559752,0,True
7025,4,-0.0576551137,0.5698849638,0.09187479138,0.09187479138,False
7026,4,-0.0958772092,0.5328265794,0.1524998114,0.1524998114,False
7027,4,8.07928e-05,0.5706073789,-0.0001416109292,0,True
7028,4,0.0668692632,0.5067349294,-0.1520220111,0,True
7029,4,0.0773469986,0.6007772682,-0.1477694415,0,True
7030,4,-0.0844772861,0.5695005192,0.129174546,0.129174546,False
7031,4,-0.1110269534,0.4488376456,0.1983103658,0.1983103658,False
7032,4,-0.011656969,0.5500759342,0.02075180025,0.02075180025,False
7033,4,-7.67979e-05,0.6159659425,0.000124663266,0.000124663266,False
7034,4,-0.0856141431,0.5164899634,0.1421915947,0.1421915947,False
7035,4,-0.1052222013,0.5097712194,0.1710948406,0.1710948406,False
7036,4,-0.0150818848,0.6165098697,0.02387916671,0.02387916671,False
7037,4,-0.0131430306,0.5635564386,0.02279008617,0.02279008617,False
7038,4,0.179406386,0.467447239,-0.6228504885,0,True
7039,4,0.0839422898,0.4985941061,-0.2024404247,0,True
7040,4,0.0096291491,0.572204846,-0.01711618393,0,True
7041,4,0.0181258134,0.587603705,-0.03182882719,0,True
7042,4,-0.0051926869,0.4703086161,0.01092044726,0.01092044726,False
7043,4,-0.0557259952,0.5261616461,0.09576762118,0.09576762118,False
7044,4,-0.087610624,0.4965387722,0.1499798246,0.1499798246,False
7045,4,-0.068073171,0.554075582,0.1094162299,0.1094162299,False
7046,4,-0.012807262,0.5857334572,0.02139747822,0.02139747822,False
7047,4,0.0402420839,0.6184622017,-0.06959647833,0,True
7048,4,-0.0079970454,0.5821274099,0.01355145568,0.01355145568,False
7049,4,-0.0344443252,0.5631468459,0.05763861125,0.05763861125,False
7000,8,-0.0182564621,0.5453936856,0.03238970516,0.03238970516,False
7001,8,0.0200924881,0.5448039692,-0.0382924499,0,True
7002,8,-0.1042250165,0.527004982,0.1651141688,0.1651141688,False
7003,8,0.147412195,0.5054396495,-0.4117343325,0,True
7004,8,-0.0691515848,0.5680980227,0.1085156962,0.1085156962,False
7005,8,0.0613533167,0.4669292998,-0.1512745312,0,True
