seed,signal_retention,noise_retention,method,population_loss_after_one_step,expected_population_loss,projected_bp_predicted_better_than_full
7000,0.25,0.1,full_stochastic_bp,0.6593337782,0.5,True
7000,0.25,0.1,bp_plus_route_projection,0.4709333789,0.425,True
7000,0.25,0.1,routed_localca,0.4797446022,0.45,True
7000,0.25,0.25,full_stochastic_bp,0.2079427333,0.5,False
7000,0.25,0.25,bp_plus_route_projection,0.4309617801,0.5,False
7000,0.25,0.25,routed_localca,0.4807731206,0.525,False
7000,0.25,0.5,full_stochastic_bp,0.6450678454,0.5,False
7000,0.25,0.5,bp_plus_route_projection,0.6634634466,0.625,False
7000,0.25,0.5,routed_localca,0.662185654,0.65,False
7000,0.25,0.75,full_stochastic_bp,0.5330360953,0.5,False
7000,0.25,0.75,bp_plus_route_projection,0.8532018211,0.75,False
7000,0.25,0.75,routed_localca,0.9693687668,0.775,False
7000,0.25,1,full_stochastic_bp,0.3377063337,0.5,False
7000,0.25,1,bp_plus_route_projection,0.7127063337,0.875,False
7000,0.25,1,routed_localca,0.7647323971,0.9,False
7000,0.5,0.1,full_stochastic_bp,1.271045917,0.5,True
7000,0.5,0.1,bp_plus_route_projection,0.2735812181,0.3,True
7000,0.5,0.1,routed_localca,0.3062309369,0.325,True
7000,0.5,0.25,full_stochastic_bp,0.3709511795,0.5,True
7000,0.5,0.25,bp_plus_route_projection,0.3096224039,0.375,True
7000,0.5,0.25,routed_localca,0.3485954413,0.4,True
7000,0.5,0.5,full_stochastic_bp,0.3479329899,0.5,False
7000,0.5,0.5,bp_plus_route_projection,0.3787522317,0.5,False
7000,0.5,0.5,routed_localca,0.3617779932,0.525,False
7000,0.5,0.75,full_stochastic_bp,0.4555295475,0.5,False
7000,0.5,0.75,bp_plus_route_projection,0.6619649341,0.625,False
7000,0.5,0.75,routed_localca,0.5674766313,0.65,False
7000,0.5,1,full_stochastic_bp,0.1974369424,0.5,False
7000,0.5,1,bp_plus_route_projection,0.4474369424,0.75,False
7000,0.5,1,routed_localca,0.4407809449,0.775,False
7000,0.75,0.1,full_stochastic_bp,0.4502290429,0.5,True
7000,0.75,0.1,bp_plus_route_projection,0.1887262628,0.175,True
7000,0.75,0.1,routed_localca,0.2516445145,0.2,True
7000,0.75,0.25,full_stochastic_bp,0.5122849603,0.5,True
7000,0.75,0.25,bp_plus_route_projection,0.3371273334,0.25,True
7000,0.75,0.25,routed_localca,0.3781006213,0.275,True
7000,0.75,0.5,full_stochastic_bp,0.3930174064,0.5,True
7000,0.75,0.5,bp_plus_route_projection,0.3365803933,0.375,True
7000,0.75,0.5,routed_localca,0.3574582586,0.4,True
7000,0.75,0.75,full_stochastic_bp,0.2966659162,0.5,False
7000,0.75,0.75,bp_plus_route_projection,0.3534589201,0.5,False
7000,0.75,0.75,routed_localca,0.3160691595,0.525,False
7000,0.75,1,full_stochastic_bp,0.4654747699,0.5,False
7000,0.75,1,bp_plus_route_projection,0.5904747699,0.625,False
7000,0.75,1,routed_localca,0.5191773627,0.65,False
7000,0.9,0.1,full_stochastic_bp,0.3681832296,0.5,True
7000,0.9,0.1,bp_plus_route_projection,0.08932587009,0.1,True
7000,0.9,0.1,routed_localca,0.1063249888,0.125,True
7000,0.9,0.25,full_stochastic_bp,0.5151962173,0.5,True
7000,0.9,0.25,bp_plus_route_projection,0.1169446273,0.175,True
7000,0.9,0.25,routed_localca,0.1570173028,0.2,True
7000,0.9,0.5,full_stochastic_bp,0.8351643906,0.5,True
7000,0.9,0.5,bp_plus_route_projection,0.5128279237,0.3,True
7000,0.9,0.5,routed_localca,0.617694182,0.325,True
7000,0.9,0.75,full_stochastic_bp,0.5760733342,0.5,True
7000,0.9,0.75,bp_plus_route_projection,0.5456797814,0.425,True
7000,0.9,0.75,routed_localca,0.4687070941,0.45,True
7000,0.9,1,full_stochastic_bp,0.3796979541,0.5,False
7000,0.9,1,bp_plus_route_projection,0.4296979541,0.55,False
7000,0.9,1,routed_localca,0.4432208241,0.575,False
7000,1,0.1,full_stochastic_bp,0.3522942517,0.5,True
7000,1,0.1,bp_plus_route_projection,0.0279997584,0.05,True
7000,1,0.1,routed_localca,0.0551126447,0.075,True
7000,1,0.25,full_stochastic_bp,0.6854385907,0.5,True
7000,1,0.25,bp_plus_route_projection,0.03800779602,0.125,True
7000,1,0.25,routed_localca,0.03886643577,0.15,True
7000,1,0.5,full_stochastic_bp,0.4886170852,0.5,True
7000,1,0.5,bp_plus_route_projection,0.2679563232,0.25,True
7000,1,0.5,routed_localca,0.2515217156,0.275,True
7000,1,0.75,full_stochastic_bp,0.2561044121,0.5,True
7000,1,0.75,bp_plus_route_projection,0.1490404642,0.375,True
7000,1,0.75,routed_localca,0.1255294734,0.4,True
7000,1,1,full_stochastic_bp,0.4936060067,0.5,False
7000,1,1,bp_plus_route_projection,0.4936060067,0.5,False
7000,1,1,routed_localca,0.5206988248,0.525,False
7001,0.25,0.1,full_stochastic_bp,0.2700979125,0.5,True
7001,0.25,0.1,bp_plus_route_projection,0.4008560344,0.425,True
7001,0.25,0.1,routed_localca,0.4339934063,0.45,True
7001,0.25,0.25,full_stochastic_bp,0.5588805595,0.5,False
7001,0.25,0.25,bp_plus_route_projection,0.4682973923,0.5,False
7001,0.25,0.25,routed_localca,0.4722539193,0.525,False
7001,0.25,0.5,full_stochastic_bp,0.3479675168,0.5,False
7001,0.25,0.5,bp_plus_route_projection,0.4585139978,0.625,False
7001,0.25,0.5,routed_localca,0.4762525574,0.65,False
7001,0.25,0.75,full_stochastic_bp,0.2310970243,0.5,False
7001,0.25,0.75,bp_plus_route_projection,0.565348021,0.75,False
7001,0.25,0.75,routed_localca,0.5949742535,0.775,False
