seed,task_depth,model_depth,method,route_rank,final_population_loss,target_signal_capture,admitted_noise,initial_maximum_guaranteed_decrease
7001,4,1,aligned_tree,2,0.4101643645,0.2030002085,0.845,0.01966081891
7001,4,1,rewired_tree,2,0.4966329742,0.02399625483,0.845,0.0003313134221
7001,4,2,aligned_tree,4,0.3451498488,0.3756832782,1.69,0.03416252797
7001,4,2,rewired_tree,4,0.5002356359,0.05352532099,1.69,0.0008215997647
7001,4,3,aligned_tree,8,0.367608936,0.4015401832,3.38,0.02131863089
7001,4,3,rewired_tree,8,0.5504907206,0.2279140747,3.38,0.007198733721
7001,4,4,aligned_tree,16,0.3084969363,1,6.76,0.06443298969
7001,4,4,rewired_tree,16,0.3084969363,1,6.76,0.06443298969
7001,4,4,full_stochastic_bp,16,0.3084969363,1,6.76,0.06443298969
7002,1,1,aligned_tree,2,0.02279727636,1,0.845,0.27100271
7002,1,1,rewired_tree,2,1.742721709,0.1620586632,11.04441406,0.001171778622
7002,1,2,aligned_tree,4,0.1566796404,1,6.12625,0.07016312928
7002,1,2,rewired_tree,4,2.305565908,0.6648234653,26.76273438,0.008057411502
7002,1,3,aligned_tree,8,0.351562789,1,33.16625,0.01463432481
7002,1,3,rewired_tree,8,3.645294001,0.7765489769,65.0121875,0.004583066538
7002,1,4,aligned_tree,16,5.392062815,1,135.41125,0.003665386836
7002,1,4,rewired_tree,16,5.392062815,1,135.41125,0.003665386836
7002,1,4,full_stochastic_bp,16,5.392062815,1,135.41125,0.003665386836
7002,2,1,aligned_tree,2,0.1059001061,0.8207170191,0.845,0.2021881321
7002,2,1,rewired_tree,2,0.6093499624,0.1332235048,5.875390625,0.001476921454
7002,2,2,aligned_tree,4,0.02705406925,1,1.69,0.1858736059
7002,2,2,rewired_tree,4,0.9597154791,0.6667118415,13.8896875,0.01526835961
7002,2,3,aligned_tree,8,0.3692732854,1,12.2525,0.03772873043
7002,2,3,rewired_tree,8,1.451385666,0.7498567612,32.61171875,0.008427137413
7002,2,4,aligned_tree,16,4.164814447,1,66.3325,0.007425834478
7002,2,4,rewired_tree,16,4.164814447,1,66.3325,0.007425834478
7002,2,4,full_stochastic_bp,16,4.164814447,1,66.3325,0.007425834478
7002,3,1,aligned_tree,2,0.1325127418,0.7429459535,0.845,0.1737995832
7002,3,1,rewired_tree,2,0.4610020271,0.1251911652,2.50859375,0.002975343158
7002,3,2,aligned_tree,4,0.1742850692,0.7686328049,1.69,0.1201473412
7002,3,2,rewired_tree,4,0.3770368605,0.4138627302,5.57171875,0.01430791311
7002,3,3,aligned_tree,8,0.1165101591,1,3.38,0.1141552511
7002,3,3,rewired_tree,8,0.3388397903,0.7225375993,12.2525,0.02011788322
7002,3,4,aligned_tree,16,0.7830840669,1,24.505,0.01960399922
7002,3,4,rewired_tree,16,0.7830840669,1,24.505,0.01960399922
7002,3,4,full_stochastic_bp,16,0.7830840669,1,24.505,0.01960399922
7002,4,1,aligned_tree,2,0.1907799023,0.6556846114,0.845,0.1432420598
7002,4,1,rewired_tree,2,0.2041718681,0.595078737,0.845,0.1229511603
7002,4,2,aligned_tree,4,0.2178227179,0.68121652,1.69,0.09785187122
7002,4,2,rewired_tree,4,0.1579596579,0.724370597,1.69,0.108664503
7002,4,3,aligned_tree,8,0.2656826964,0.7842794476,3.38,0.07385362338
7002,4,3,rewired_tree,8,0.1085895572,0.8497438326,3.38,0.08535559239
7002,4,4,aligned_tree,16,0.289822984,1,6.76,0.06443298969
7002,4,4,rewired_tree,16,0.289822984,1,6.76,0.06443298969
7002,4,4,full_stochastic_bp,16,0.289822984,1,6.76,0.06443298969
7003,1,1,aligned_tree,2,0.01361240864,1,0.845,0.27100271
7003,1,1,rewired_tree,2,0.7046260536,0.2983077312,8.6084375,0.004995511839
7003,1,2,aligned_tree,4,0.2520060804,1,6.12625,0.07016312928
7003,1,2,rewired_tree,4,1.118413061,0.4152564427,26.84195313,0.003163161525
7003,1,3,aligned_tree,8,1.354998685,1,33.16625,0.01463432481
7003,1,3,rewired_tree,8,1.697739252,0.5322051541,66.5965625,0.00210969407
7003,1,4,aligned_tree,16,7.509223479,1,135.41125,0.003665386836
7003,1,4,rewired_tree,16,7.509223479,1,135.41125,0.003665386836
7003,1,4,full_stochastic_bp,16,7.509223479,1,135.41125,0.003665386836
7003,2,1,aligned_tree,2,0.05543096936,0.994056329,0.845,0.2686562585
7003,2,1,rewired_tree,2,0.6291346159,0.8279627794,4.56828125,0.06351847325
7003,2,2,aligned_tree,4,0.1272138745,1,1.69,0.1858736059
7003,2,2,rewired_tree,4,0.8934187993,0.855725855,13.414375,0.02565737784
7003,2,3,aligned_tree,8,0.2028765434,1,12.2525,0.03772873043
7003,2,3,rewired_tree,8,1.379816946,0.883650565,33.16625,0.01146608813
7003,2,4,aligned_tree,16,1.665033683,1,66.3325,0.007425834478
7003,2,4,rewired_tree,16,1.665033683,1,66.3325,0.007425834478
7003,2,4,full_stochastic_bp,16,1.665033683,1,66.3325,0.007425834478
7003,3,1,aligned_tree,2,0.1610928469,0.6950804777,0.845,0.1568544234
7003,3,1,rewired_tree,2,0.3108072559,0.700564088,1.9540625,0.09244050437
7003,3,2,aligned_tree,4,0.1629896693,0.7161753877,1.69,0.1065814214
7003,3,2,rewired_tree,4,0.3762926272,0.8327216683,5.0171875,0.05926804647
7003,3,3,aligned_tree,8,0.08724863556,1,3.38,0.1141552511
7003,3,3,rewired_tree,8,0.4013713883,0.8879237093,12.2525,0.0299993566
7003,3,4,aligned_tree,16,0.7344027855,1,24.505,0.01960399922
7003,3,4,rewired_tree,16,0.7344027855,1,24.505,0.01960399922
7003,3,4,full_stochastic_bp,16,0.7344027855,1,24.505,0.01960399922
7003,4,1,aligned_tree,2,0.3416331376,0.3355873117,0.845,0.04769610967
7003,4,1,rewired_tree,2,0.2996830879,0.4121748892,0.845,0.06756742469
7003,4,2,aligned_tree,4,0.2779418964,0.4729652208,1.69,0.0517105171
7003,4,2,rewired_tree,4,0.2922314483,0.4387561561,1.69,0.04521583272
7003,4,3,aligned_tree,8,0.1318330706,0.8361548772,3.38,0.08291381591
7003,4,3,rewired_tree,8,0.2363805319,0.6008863828,3.38,0.0453497551
7003,4,4,aligned_tree,16,0.08221851381,1,6.76,0.06443298969
7003,4,4,rewired_tree,16,0.08221851381,1,6.76,0.06443298969
7003,4,4,full_stochastic_bp,16,0.08221851381,1,6.76,0.06443298969
7004,1,1,aligned_tree,2,0.03883039518,1,0.845,0.27100271
7004,1,1,rewired_tree,2,1.717996473,0.06616003663,8.509414062,0.0002552103449
7004,1,2,aligned_tree,4,0.3156391721,1,6.12625,0.07016312928
7004,1,2,rewired_tree,4,1.611013598,0.3774400244,22.7621875,0.003078290087
7004,1,3,aligned_tree,8,0.6193335823,1,33.16625,0.01463432481
7004,1,3,rewired_tree,8,2.658835917,0.7509760098,59.9421875,0.00464603371
7004,1,4,aligned_tree,16,3.569109,1,135.41125,0.003665386836
7004,1,4,rewired_tree,16,3.569109,1,135.41125,0.003665386836
7004,1,4,full_stochastic_bp,16,3.569109,1,135.41125,0.003665386836
7004,2,1,aligned_tree,2,0.2122006851,0.6274369833,0.845,0.1336821788
7004,2,1,rewired_tree,2,0.4734531186,0.2553521149,4.291015625,0.007171076596
7004,2,2,aligned_tree,4,0.03349314459,1,1.69,0.1858736059
7004,2,2,rewired_tree,4,0.6672732338,0.3682581854,10.99820312,0.005965537004
7004,2,3,aligned_tree,8,0.2218411704,1,12.2525,0.03772873043
7004,2,3,rewired_tree,8,1.912574185,0.525640518,29.44296875,0.004609789392
7004,2,4,aligned_tree,16,3.076322662,1,66.3325,0.007425834478
7004,2,4,rewired_tree,16,3.076322662,1,66.3325,0.007425834478
7004,2,4,full_stochastic_bp,16,3.076322662,1,66.3325,0.007425834478
7004,3,1,aligned_tree,2,0.4037589861,0.2135547349,0.845,0.02154145804
7004,3,1,rewired_tree,2,0.5145516663,0.1892180474,1.9540625,0.008352492519
7004,3,2,aligned_tree,4,0.2546818335,0.5337094204,1.69,0.06404742968
7004,3,2,rewired_tree,4,0.5344617364,0.3822974795,4.46265625,0.01508284403
7004,3,3,aligned_tree,8,0.06550343168,1,3.38,0.1141552511
7004,3,3,rewired_tree,8,0.7430497629,0.503845718,11.1434375,0.01089784213
7004,3,4,aligned_tree,16,1.255374311,1,24.505,0.01960399922
7004,3,4,rewired_tree,16,1.255374311,1,24.505,0.01960399922
7004,3,4,full_stochastic_bp,16,1.255374311,1,24.505,0.01960399922
7004,4,1,aligned_tree,2,0.2736344911,0.7242020849,0.845,0.1671131669
7004,4,1,rewired_tree,2,0.5700501383,0.001484434266,0.845,1.301586302e-06
7004,4,2,aligned_tree,4,0.2368178596,0.8052779679,1.69,0.1299399534
7004,4,2,rewired_tree,4,0.5537006503,0.1813672056,1.69,0.00878877838
7004,4,3,aligned_tree,8,0.2274936572,0.9005443726,3.38,0.0947286252
7004,4,3,rewired_tree,8,0.4679087514,0.5429678412,3.38,0.03757538788
7004,4,4,aligned_tree,16,0.2716906478,1,6.76,0.06443298969
7004,4,4,rewired_tree,16,0.2716906478,1,6.76,0.06443298969
7004,4,4,full_stochastic_bp,16,0.2716906478,1,6.76,0.06443298969
7005,1,1,aligned_tree,2,0.01990757379,1,0.845,0.27100271
7005,1,1,rewired_tree,2,0.4816072153,0.7333043928,9.677890625,0.0258248612
7005,1,2,aligned_tree,4,0.03360990528,1,6.12625,0.07016312928
7005,1,2,rewired_tree,4,0.8442520855,0.7999782946,30.12953125,0.0103455451
7005,1,3,aligned_tree,8,1.158794651,1,33.16625,0.01463432481
7005,1,3,rewired_tree,8,1.948141102,0.8666521964,63.50703125,0.005833797208
7005,1,4,aligned_tree,16,4.580510488,1,135.41125,0.003665386836
7005,1,4,rewired_tree,16,4.580510488,1,135.41125,0.003665386836
7005,1,4,full_stochastic_bp,16,4.580510488,1,135.41125,0.003665386836
7005,2,1,aligned_tree,2,0.2082992458,0.7093137893,0.845,0.161848288
7005,2,1,rewired_tree,2,0.5843247953,0.05242242174,4.845546875,0.0002805356807
7005,2,2,aligned_tree,4,0.1571046379,1,1.69,0.1858736059
7005,2,2,rewired_tree,4,0.4830560928,0.263463408,15.4740625,0.002205332902
7005,2,3,aligned_tree,8,0.7327304236,1,12.2525,0.03772873043
7005,2,3,rewired_tree,8,1.453077803,0.4473439696,31.50265625,0.003131715583
7005,2,4,aligned_tree,16,1.572057445,1,66.3325,0.007425834478
7005,2,4,rewired_tree,16,1.572057445,1,66.3325,0.007425834478
7005,2,4,full_stochastic_bp,16,1.572057445,1,66.3325,0.007425834478
7005,3,1,aligned_tree,2,0.2325844536,0.5940750506,0.845,0.1226222238
7005,3,1,rewired_tree,2,0.4026045524,0.3071971318,1.9540625,0.02086670555
7005,3,2,aligned_tree,4,0.2736317632,0.6250101141,1.69,0.08437061254
7005,3,2,rewired_tree,4,0.432238436,0.3181115654,6.12625,0.007851434701
7005,3,3,aligned_tree,8,0.2116515886,1,3.38,0.1141552511
7005,3,3,rewired_tree,8,0.8233579652,0.4551682744,12.2525,0.00815169839
7005,3,4,aligned_tree,16,1.015228622,1,24.505,0.01960399922
7005,3,4,rewired_tree,16,1.015228622,1,24.505,0.01960399922
7005,3,4,full_stochastic_bp,16,1.015228622,1,24.505,0.01960399922
7005,4,1,aligned_tree,2,0.4904302453,0.05789108852,0.845,0.001855914945
7005,4,1,rewired_tree,2,0.4469440918,0.1637714812,0.845,0.01329394146
7005,4,2,aligned_tree,4,0.4758523837,0.1889313543,1.69,0.0094987655
7005,4,2,rewired_tree,4,0.4233130665,0.2410379335,1.69,0.01504353808
7005,4,3,aligned_tree,8,0.4365746904,0.435283464,3.38,0.0248306182
7005,4,3,rewired_tree,8,0.4208110798,0.4523933931,3.38,0.02670130139
7005,4,4,aligned_tree,16,0.3727823348,1,6.76,0.06443298969
7005,4,4,rewired_tree,16,0.3727823348,1,6.76,0.06443298969
7005,4,4,full_stochastic_bp,16,0.3727823348,1,6.76,0.06443298969
7006,1,1,aligned_tree,2,0.04021753086,1,0.845,0.27100271
7006,1,1,rewired_tree,2,0.5372121274,0.8027181117,9.677890625,0.0307404075
7006,1,2,aligned_tree,4,0.1173770694,1,6.12625,0.07016312928
7006,1,2,rewired_tree,4,0.7141934624,0.8520385837,24.10890625,0.01454211275
7006,1,3,aligned_tree,8,0.439768777,1,33.16625,0.01463432481
7006,1,3,rewired_tree,8,0.8091679024,0.9013590558,54.47609375,0.007335549997
7006,1,4,aligned_tree,16,5.321942075,1,135.41125,0.003665386836
7006,1,4,rewired_tree,16,5.321942075,1,135.41125,0.003665386836
7006,1,4,full_stochastic_bp,16,5.321942075,1,135.41125,0.003665386836
7006,2,1,aligned_tree,2,0.1912106101,0.6738374018,0.845,0.1494751326
7006,2,1,rewired_tree,2,0.4113295606,0.3872910404,4.845546875,0.01433202713
7006,2,2,aligned_tree,4,0.1145941824,1,1.69,0.1858736059
7006,2,2,rewired_tree,4,0.483125255,0.4412193854,11.3546875,0.008251783774
7006,2,3,aligned_tree,8,0.1777304437,1,12.2525,0.03772873043
7006,2,3,rewired_tree,8,0.7127445067,0.7411857688,25.32359375,0.01053828872
7006,2,4,aligned_tree,16,1.991530553,1,66.3325,0.007425834478
7006,2,4,rewired_tree,16,1.991530553,1,66.3325,0.007425834478
7006,2,4,full_stochastic_bp,16,1.991530553,1,66.3325,0.007425834478
7006,3,1,aligned_tree,2,0.502075537,0.01196741681,0.845,8.356155807e-05
7006,3,1,rewired_tree,2,0.4402713832,0.1661968197,1.9540625,0.006513680334
7006,3,2,aligned_tree,4,0.07956570805,0.8903265109,1.69,0.1536009673
7006,3,2,rewired_tree,4,0.4436035818,0.2212605544,3.908125,0.005927786629
7006,3,3,aligned_tree,8,0.04439088487,1,3.38,0.1141552511
7006,3,3,rewired_tree,8,0.2597346966,0.7095861578,8.9253125,0.02612962176
7006,3,4,aligned_tree,16,0.5612126633,1,24.505,0.01960399922
7006,3,4,rewired_tree,16,0.5612126633,1,24.505,0.01960399922
7006,3,4,full_stochastic_bp,16,0.5612126633,1,24.505,0.01960399922
7006,4,1,aligned_tree,2,0.4233136083,0.1842350012,0.845,0.01648920588
7006,4,1,rewired_tree,2,0.413520343,0.1971309587,0.845,0.01864478478
7006,4,2,aligned_tree,4,0.4210056721,0.2354787236,1.69,0.01439907608
7006,4,2,rewired_tree,4,0.3395107271,0.3627479317,1.69,0.03205119828
7006,4,3,aligned_tree,8,0.166652714,0.885227525,3.38,0.09186236449
7006,4,3,rewired_tree,8,0.2550736811,0.617476714,3.38,0.04768977027
7006,4,4,aligned_tree,16,0.1604493946,1,6.76,0.06443298969
7006,4,4,rewired_tree,16,0.1604493946,1,6.76,0.06443298969
7006,4,4,full_stochastic_bp,16,0.1604493946,1,6.76,0.06443298969
7007,1,1,aligned_tree,2,0.0724449993,1,0.845,0.27100271
7007,1,1,rewired_tree,2,0.5443397792,0.08133734123,8.509414062,0.0003850514797
7007,1,2,aligned_tree,4,0.106048272,1,6.12625,0.07016312928
7007,1,2,rewired_tree,4,3.28398121,0.1425815185,28.38671875,0.0003562914131
7007,1,3,aligned_tree,8,1.759419363,1,33.16625,0.01463432481
7007,1,3,rewired_tree,8,4.415816844,0.265069873,66.12125,0.0005291906352
7007,1,4,aligned_tree,16,5.3771137,1,135.41125,0.003665386836
7007,1,4,rewired_tree,16,5.3771137,1,135.41125,0.003665386836
7007,1,4,full_stochastic_bp,16,5.3771137,1,135.41125,0.003665386836
7007,2,1,aligned_tree,2,0.4719320998,0.09075017309,0.845,0.004400530266
7007,2,1,rewired_tree,2,0.5570886055,0.06987766802,4.291015625,0.0005598495721
7007,2,2,aligned_tree,4,0.04606028883,1,1.69,0.1858736059
7007,2,2,rewired_tree,4,0.708158292,0.08413442657,14.16695313,0.0002483530365
7007,2,3,aligned_tree,8,0.123909452,1,12.2525,0.03772873043
7007,2,3,rewired_tree,8,1.671289053,0.3331697947,32.61171875,0.001684663646
7007,2,4,aligned_tree,16,3.372943047,1,66.3325,0.007425834478
7007,2,4,rewired_tree,16,3.372943047,1,66.3325,0.007425834478
7007,2,4,full_stochastic_bp,16,3.372943047,1,66.3325,0.007425834478
7007,3,1,aligned_tree,2,0.2069199277,0.6090458403,0.845,0.1275533499
7007,3,1,rewired_tree,2,0.4285635567,0.2079874076,1.9540625,0.01000410803
7007,3,2,aligned_tree,4,0.2111749374,0.6364095344,1.69,0.08704767788
7007,3,2,rewired_tree,4,0.4596105422,0.235541373,5.57171875,0.004776756785
7007,3,3,aligned_tree,8,0.1029406954,1,3.38,0.1141552511
7007,3,3,rewired_tree,8,0.4355001759,0.516488019,12.2525,0.01044561532
7007,3,4,aligned_tree,16,0.7304234627,1,24.505,0.01960399922
7007,3,4,rewired_tree,16,0.7304234627,1,24.505,0.01960399922
7007,3,4,full_stochastic_bp,16,0.7304234627,1,24.505,0.01960399922
7007,4,1,aligned_tree,2,0.2913017891,0.4213668665,0.845,0.07010213269
7007,4,1,rewired_tree,2,0.5114047417,0.006875685229,0.845,2.774762103e-05
7007,4,2,aligned_tree,4,0.2323030427,0.5907220662,1.69,0.07650045673
7007,4,2,rewired_tree,4,0.4490593904,0.138067937,1.69,0.005213907769
7007,4,3,aligned_tree,8,0.1328474133,0.8325336435,3.38,0.08226786136
7007,4,3,rewired_tree,8,0.3186638196,0.4252189182,3.38,0.0237583083
7007,4,4,aligned_tree,16,0.07958090192,1,6.76,0.06443298969
7007,4,4,rewired_tree,16,0.07958090192,1,6.76,0.06443298969
7007,4,4,full_stochastic_bp,16,0.07958090192,1,6.76,0.06443298969
7008,1,1,aligned_tree,2,0.02443573795,1,0.845,0.27100271
7008,1,1,rewired_tree,2,0.7151999141,0.2756557532,11.04441406,0.003356255548
7008,1,2,aligned_tree,4,0.3914441257,1,6.12625,0.07016312928
7008,1,2,rewired_tree,4,1.113088553,0.3239453696,28.38671875,0.001827554425
7008,1,3,aligned_tree,8,1.501189411,1,33.16625,0.01463432481
7008,1,3,rewired_tree,8,2.703143932,0.4205246025,63.1109375,0.001391758788
7008,1,4,aligned_tree,16,6.216027209,1,135.41125,0.003665386836
7008,1,4,rewired_tree,16,6.216027209,1,135.41125,0.003665386836
7008,1,4,full_stochastic_bp,16,6.216027209,1,135.41125,0.003665386836
7008,2,1,aligned_tree,2,0.08934918097,0.8267921675,0.845,0.204446851
7008,2,1,rewired_tree,2,0.1516816873,0.8262926966,5.875390625,0.05093941236
7008,2,2,aligned_tree,4,0.08730792877,1,1.69,0.1858736059
7008,2,2,rewired_tree,4,0.5300959062,0.8410326303,14.16695313,0.02356531705
7008,2,3,aligned_tree,8,0.3291066741,1,12.2525,0.03772873043
7008,2,3,rewired_tree,8,0.84778824,0.9094967375,30.55203125,0.01314596538
7008,2,4,aligned_tree,16,1.644284357,1,66.3325,0.007425834478
7008,2,4,rewired_tree,16,1.644284357,1,66.3325,0.007425834478
7008,2,4,full_stochastic_bp,16,1.644284357,1,66.3325,0.007425834478
7008,3,1,aligned_tree,2,0.2614293243,0.5259419147,0.845,0.1008849808
7008,3,1,rewired_tree,2,0.504437001,0.1564830787,2.50859375,0.004594042777
7008,3,2,aligned_tree,4,0.1680681469,0.7936797284,1.69,0.1268133536
7008,3,2,rewired_tree,4,0.5023923557,0.2740012204,5.57171875,0.006421507458
7008,3,3,aligned_tree,8,0.1081516837,1,3.38,0.1141552511
7008,3,3,rewired_tree,8,0.7529658249,0.5021712455,11.1434375,0.01082708364
7008,3,4,aligned_tree,16,1.243923972,1,24.505,0.01960399922
7008,3,4,rewired_tree,16,1.243923972,1,24.505,0.01960399922
7008,3,4,full_stochastic_bp,16,1.243923972,1,24.505,0.01960399922
7008,4,1,aligned_tree,2,0.2676636988,0.4892245129,0.845,0.08969278472
7008,4,1,rewired_tree,2,0.5053646193,0.01808566979,0.845,0.0001894895624
7008,4,2,aligned_tree,4,0.2060907299,0.6298677618,1.69,0.08550776124
7008,4,2,rewired_tree,4,0.5797518007,0.05800557137,1.69,0.0009624243667
7008,4,3,aligned_tree,8,0.1829278618,0.712183177,3.38,0.06197240638
7008,4,3,rewired_tree,8,0.4525346076,0.3735988612,3.38,0.01859230491
7008,4,4,aligned_tree,16,0.1955610887,1,6.76,0.06443298969
7008,4,4,rewired_tree,16,0.1955610887,1,6.76,0.06443298969
7008,4,4,full_stochastic_bp,16,0.1955610887,1,6.76,0.06443298969
7009,1,1,aligned_tree,2,0.04381568357,1,0.845,0.27100271
7009,1,1,rewired_tree,2,1.909279777,0.08210686715,7.004257813,0.0004756696796
7009,1,2,aligned_tree,4,0.2835243044,1,6.12625,0.07016312928
7009,1,2,rewired_tree,4,3.063675489,0.1432997427,28.90164063,0.0003535007473
7009,1,3,aligned_tree,8,2.446409243,1,33.16625,0.01463432481
7009,1,3,rewired_tree,8,6.365606708,0.5104569958,61.5265625,0.00210008755
7009,1,4,aligned_tree,16,9.507836124,1,135.41125,0.003665386836
7009,1,4,rewired_tree,16,9.507836124,1,135.41125,0.003665386836
7009,1,4,full_stochastic_bp,16,9.507836124,1,135.41125,0.003665386836
7009,2,1,aligned_tree,2,0.2208244222,0.6196215527,0.845,0.1310682845
7009,2,1,rewired_tree,2,0.3366977158,0.5978842154,3.261171875,0.04631515151
7009,2,2,aligned_tree,4,0.03481594524,1,1.69,0.1858736059
7009,2,2,rewired_tree,4,0.414323873,0.6083552236,14.44421875,0.01229344824
7009,2,3,aligned_tree,8,0.1323919284,1,12.2525,0.03772873043
7009,2,3,rewired_tree,8,0.54340587,0.777385763,29.9975,0.009818535625
7009,2,4,aligned_tree,16,0.8756496321,1,66.3325,0.007425834478
7009,2,4,rewired_tree,16,0.8756496321,1,66.3325,0.007425834478
7009,2,4,full_stochastic_bp,16,0.8756496321,1,66.3325,0.007425834478
7009,3,1,aligned_tree,2,0.3614398581,0.3616095511,0.845,0.05418549327
7009,3,1,rewired_tree,2,0.3421504374,0.4232046109,1.39953125,0.04913003209
7009,3,2,aligned_tree,4,0.163277182,0.7834925956,1.69,0.124087828
7009,3,2,rewired_tree,4,0.3192024346,0.4929805358,5.57171875,0.02003642697
7009,3,3,aligned_tree,8,0.1022220181,1,3.38,0.1141552511
7009,3,3,rewired_tree,8,0.611603519,0.7146099656,11.1434375,0.02153252483
7009,3,4,aligned_tree,16,0.7967115706,1,24.505,0.01960399922
7009,3,4,rewired_tree,16,0.7967115706,1,24.505,0.01960399922
7009,3,4,full_stochastic_bp,16,0.7967115706,1,24.505,0.01960399922
7009,4,1,aligned_tree,2,0.5518029923,0.06761361789,0.845,0.002504675163
7009,4,1,rewired_tree,2,0.4668238196,0.07175272735,0.845,0.002807983947
7009,4,2,aligned_tree,4,0.3709689624,0.4327381451,1.69,0.04410866753
