seed,task_depth,model_depth,method,route_rank,final_population_loss,target_signal_capture,admitted_noise,initial_maximum_guaranteed_decrease
7000,1,1,aligned_tree,2,0.02340365975,1,0.845,0.27100271
7000,1,1,rewired_tree,2,0.3546057638,0.2993659492,9.539257813,0.004554497343
7000,1,2,aligned_tree,4,0.1153120388,1,6.12625,0.07016312928
7000,1,2,rewired_tree,4,0.3372266358,0.5329106328,27.8321875,0.005006041954
7000,1,3,aligned_tree,8,1.643195341,1,33.16625,0.01463432481
7000,1,3,rewired_tree,8,2.453764324,0.6263285063,63.50703125,0.003058372423
7000,1,4,aligned_tree,16,6.06437337,1,135.41125,0.003665386836
7000,1,4,rewired_tree,16,6.06437337,1,135.41125,0.003665386836
7000,1,4,full_stochastic_bp,16,6.06437337,1,135.41125,0.003665386836
7000,2,1,aligned_tree,2,0.04189846288,0.9336442346,0.845,0.2450438204
7000,2,1,rewired_tree,2,0.4385791785,0.1597168308,4.845546875,0.00254826394
7000,2,2,aligned_tree,4,0.0386324273,1,1.69,0.1858736059
7000,2,2,rewired_tree,4,0.7319412781,0.3943457547,14.16695312,0.005339790617
7000,2,3,aligned_tree,8,0.2496454012,1,12.2525,0.03772873043
7000,2,3,rewired_tree,8,0.7833563484,0.499150515,31.50265625,0.003892768281
7000,2,4,aligned_tree,16,1.134341897,1,66.3325,0.007425834478
7000,2,4,rewired_tree,16,1.134341897,1,66.3325,0.007425834478
7000,2,4,full_stochastic_bp,16,1.134341897,1,66.3325,0.007425834478
7000,3,1,aligned_tree,2,0.1940514924,0.6808030311,0.845,0.1518848625
7000,3,1,rewired_tree,2,0.2808340005,0.485549697,1.9540625,0.04831884932
7000,3,2,aligned_tree,4,0.1866840831,0.7143378015,1.69,0.1061162234
7000,3,2,rewired_tree,4,0.4086445264,0.5251285917,5.57171875,0.02261496986
7000,3,3,aligned_tree,8,0.1057213806,1,3.38,0.1141552511
7000,3,3,rewired_tree,8,0.4342950796,0.599072524,12.2525,0.0139628006
7000,3,4,aligned_tree,16,0.5375255883,1,24.505,0.01960399922
7000,3,4,rewired_tree,16,0.5375255883,1,24.505,0.01960399922
7000,3,4,full_stochastic_bp,16,0.5375255883,1,24.505,0.01960399922
7000,4,1,aligned_tree,2,0.2398279999,0.524763523,0.845,0.1005198162
7000,4,1,rewired_tree,2,0.4966655351,0.007361726643,0.845,3.179109143e-05
7000,4,2,aligned_tree,4,0.2185058806,0.6020623626,1.69,0.0790726933
7000,4,2,rewired_tree,4,0.4186816048,0.1983335386,1.69,0.01041558383
7000,4,3,aligned_tree,8,0.2538399864,0.767797423,3.38,0.0710633648
7000,4,3,rewired_tree,8,0.370890102,0.5019415469,3.38,0.03245094155
7000,4,4,aligned_tree,16,0.2338832003,1,6.76,0.06443298969
7000,4,4,rewired_tree,16,0.2338832003,1,6.76,0.06443298969
7000,4,4,full_stochastic_bp,16,0.2338832003,1,6.76,0.06443298969
7001,1,1,aligned_tree,2,0.005785955143,1,0.845,0.27100271
7001,1,1,rewired_tree,2,0.1056292543,0.9946126331,9.16296875,0.04869536618
7001,1,2,aligned_tree,4,0.2686894457,1,6.12625,0.07016312928
7001,1,2,rewired_tree,4,1.819479726,0.9959594748,22.52453125,0.02108661947
7001,1,3,aligned_tree,8,0.8494159115,1,33.16625,0.01463432481
7001,1,3,rewired_tree,8,2.877529548,0.9973063165,63.50703125,0.007709713226
7001,1,4,aligned_tree,16,4.098965976,1,135.41125,0.003665386836
7001,1,4,rewired_tree,16,4.098965976,1,135.41125,0.003665386836
7001,1,4,full_stochastic_bp,16,4.098965976,1,135.41125,0.003665386836
7001,2,1,aligned_tree,2,0.3573089872,0.3129360993,0.845,0.04228601315
7001,2,1,rewired_tree,2,0.429806783,0.2750779553,4.56828125,0.007811508324
7001,2,2,aligned_tree,4,0.05409933459,1,1.69,0.1858736059
7001,2,2,rewired_tree,4,0.3407273455,0.6386788412,10.7209375,0.01795442073
7001,2,3,aligned_tree,8,0.2882726318,1,12.2525,0.03772873043
7001,2,3,rewired_tree,8,1.549669983,0.7577978437,31.50265625,0.008900333057
7001,2,4,aligned_tree,16,2.474847953,1,66.3325,0.007425834478
7001,2,4,rewired_tree,16,2.474847953,1,66.3325,0.007425834478
7001,2,4,full_stochastic_bp,16,2.474847953,1,66.3325,0.007425834478
7001,3,1,aligned_tree,2,0.314947292,0.4359640201,0.845,0.07418812076
7001,3,1,rewired_tree,2,0.4412605493,0.2109244568,1.9540625,0.01027468696
7001,3,2,aligned_tree,4,0.1824881417,0.7085822702,1.69,0.1046636673
7001,3,2,rewired_tree,4,0.664127724,0.5315661102,4.46265625,0.02828894162
7001,3,3,aligned_tree,8,0.1149270939,1,3.38,0.1141552511
7001,3,3,rewired_tree,8,1.131248913,0.7306717071,12.2525,0.02056050539
7001,3,4,aligned_tree,16,1.755324665,1,24.505,0.01960399922
7001,3,4,rewired_tree,16,1.755324665,1,24.505,0.01960399922
7001,3,4,full_stochastic_bp,16,1.755324665,1,24.505,0.01960399922
