budget_k,n_seeds,mean_minimum_alignment,ci95_low_mean_minimum_alignment,ci95_high_mean_minimum_alignment,median_minimum_alignment,already_favored_at_rho0,favored_at_rho1,maximum_ky_fan_violation,mean_ky_fan_regret_at_rho1
1,50,0.1616592456,0.1110762358,0.2145829411,0.0528506241,20,50,-0.2,0.2
2,50,0.06832219221,0.04661353197,0.09135976861,0.03274695777,23,50,0,0
4,50,0.05226309843,0.03362706261,0.07299790778,0.0173417557,19,50,0,0
8,50,0.0624287734,0.04011721501,0.08664713996,0.02562320215,24,50,0,0
16,50,0,0,0,0,50,0,0,0
