architecture,arm,multiplier,seed,validation_loss
shunting,strict_scalar,0.3,50200,1.0560024013519287
shunting,strict_scalar,0.3,50201,0.9899956207275391
shunting,strict_scalar,0.3,50202,0.5112059690157572
shunting,strict_scalar,1.0,50200,0.4623396788438161
shunting,strict_scalar,1.0,50201,0.4736856756210327
shunting,strict_scalar,1.0,50202,0.4020184712409973
shunting,strict_scalar,3.0,50200,0.3954215926329295
shunting,strict_scalar,3.0,50201,0.4387426881790161
shunting,strict_scalar,3.0,50202,0.3620157005786896
shunting,neuron_shared,0.3,50200,0.11356775643428167
shunting,neuron_shared,0.3,50201,0.1034362154006958
shunting,neuron_shared,0.3,50202,0.10661846508582433
shunting,neuron_shared,1.0,50200,0.10201192732652029
shunting,neuron_shared,1.0,50201,0.09442149347066879
shunting,neuron_shared,1.0,50202,0.09803317513068517
shunting,neuron_shared,3.0,50200,0.10303452173868816
shunting,neuron_shared,3.0,50201,0.0949968800743421
shunting,neuron_shared,3.0,50202,0.1018464918533961
shunting,subtree_k3,0.3,50200,0.10037840217351914
shunting,subtree_k3,0.3,50201,0.09260051198800405
shunting,subtree_k3,0.3,50202,0.100472067852815
shunting,subtree_k3,1.0,50200,0.09873970595995585
shunting,subtree_k3,1.0,50201,0.09053343093395233
shunting,subtree_k3,1.0,50202,0.09676867081721624
shunting,subtree_k3,3.0,50200,0.09802348067363104
shunting,subtree_k3,3.0,50201,0.09125342695911726
shunting,subtree_k3,3.0,50202,0.09552193611860275
shunting,exact_path,0.3,50200,0.10309985792636871
shunting,exact_path,0.3,50201,0.09201476907730102
shunting,exact_path,0.3,50202,0.09814089858531952
shunting,exact_path,1.0,50200,0.09892159152030945
shunting,exact_path,1.0,50201,0.08798052193721136
shunting,exact_path,1.0,50202,0.0960680571993192
shunting,exact_path,3.0,50200,0.09792759654919306
shunting,exact_path,3.0,50201,0.09248647479216257
shunting,exact_path,3.0,50202,0.09685356589158375
shunting,decoder_only,0.3,50200,1.9121905132929484
shunting,decoder_only,0.3,50201,1.9211959193547568
shunting,decoder_only,0.3,50202,1.9235515451431275
shunting,decoder_only,1.0,50200,1.3889495690663656
shunting,decoder_only,1.0,50201,1.4096334088643392
shunting,decoder_only,1.0,50202,1.413831041653951
shunting,decoder_only,3.0,50200,0.9021340794563294
shunting,decoder_only,3.0,50201,0.9227621243794759
shunting,decoder_only,3.0,50202,0.9218937026659647
additive,strict_scalar,0.3,50200,0.39039377037684125
additive,strict_scalar,0.3,50201,0.4127906902631124
additive,strict_scalar,0.3,50202,0.48374340041478475
additive,strict_scalar,1.0,50200,0.375044827858607
additive,strict_scalar,1.0,50201,0.3906759850184123
additive,strict_scalar,1.0,50202,0.3736481932799021
additive,strict_scalar,3.0,50200,0.34663594635327655
additive,strict_scalar,3.0,50201,0.3785266971588135
additive,strict_scalar,3.0,50202,0.3552806578477224
additive,neuron_shared,0.3,50200,0.09754269123077393
additive,neuron_shared,0.3,50201,0.09655902264515559
additive,neuron_shared,0.3,50202,0.0942419183254242
additive,neuron_shared,1.0,50200,0.09731580976645152
additive,neuron_shared,1.0,50201,0.0999471021493276
additive,neuron_shared,1.0,50202,0.09488621483246486
additive,neuron_shared,3.0,50200,0.09766584639747937
additive,neuron_shared,3.0,50201,0.0987531528075536
additive,neuron_shared,3.0,50202,0.09566141619284947
additive,subtree_k3,0.3,50200,0.09940703900655111
additive,subtree_k3,0.3,50201,0.09187684186299643
additive,subtree_k3,0.3,50202,0.0886143600344658
additive,subtree_k3,1.0,50200,0.10091986793279648
additive,subtree_k3,1.0,50201,0.09248952903350194
additive,subtree_k3,1.0,50202,0.08763384399811427
additive,subtree_k3,3.0,50200,0.09152687519788742
additive,subtree_k3,3.0,50201,0.09159681989749273
additive,subtree_k3,3.0,50202,0.08977296555042266
additive,exact_path,0.3,50200,0.09880591036876042
additive,exact_path,0.3,50201,0.08986363160610199
additive,exact_path,0.3,50202,0.08850418202082316
additive,exact_path,1.0,50200,0.0934235091606776
additive,exact_path,1.0,50201,0.09182377461592356
additive,exact_path,1.0,50202,0.08611513529221217
additive,exact_path,3.0,50200,0.09081274810433387
additive,exact_path,3.0,50201,0.09317426826556524
additive,exact_path,3.0,50202,0.08868860081831614
additive,decoder_only,0.3,50200,0.3756818228562673
additive,decoder_only,0.3,50201,0.3596646529833476
additive,decoder_only,0.3,50202,0.3707463874816895
additive,decoder_only,1.0,50200,0.37260760577519736
additive,decoder_only,1.0,50201,0.35261379965146383
additive,decoder_only,1.0,50202,0.36541965381304425
additive,decoder_only,3.0,50200,0.37303719846407574
additive,decoder_only,3.0,50201,0.35308498962720236
additive,decoder_only,3.0,50202,0.3665855151017507
