architecture,arm,multiplier,validation_loss
additive,decoder_only,0.3,0.3686976211071014
additive,decoder_only,1.0,0.36354701974656844
additive,decoder_only,3.0,0.36423590106434295
additive,exact_path,0.3,0.09239124133189519
additive,exact_path,1.0,0.09045413968960443
additive,exact_path,3.0,0.09089187239607176
additive,neuron_shared,0.3,0.0961145440671179
additive,neuron_shared,1.0,0.09738304224941467
additive,neuron_shared,3.0,0.09736013846596081
additive,strict_scalar,0.3,0.42897595368491276
additive,strict_scalar,1.0,0.37978966871897385
additive,strict_scalar,3.0,0.3601477671199375
additive,subtree_k3,0.3,0.0932994136346711
additive,subtree_k3,1.0,0.09368108032147089
additive,subtree_k3,3.0,0.09096555354860093
shunting,decoder_only,0.3,1.9189793259302776
shunting,decoder_only,1.0,1.4041380065282185
shunting,decoder_only,3.0,0.9155966355005901
shunting,exact_path,0.3,0.09775184186299642
shunting,exact_path,1.0,0.09432339021894666
shunting,exact_path,3.0,0.09575587907764645
shunting,neuron_shared,0.3,0.10787414564026726
shunting,neuron_shared,1.0,0.0981555319759581
shunting,neuron_shared,3.0,0.09995929788880879
shunting,strict_scalar,0.3,0.8524013303650749
shunting,strict_scalar,1.0,0.4460146085686154
shunting,strict_scalar,3.0,0.3987266604635451
shunting,subtree_k3,0.3,0.09781699400477939
shunting,subtree_k3,1.0,0.09534726923704147
shunting,subtree_k3,3.0,0.09493294791711702
