architecture	seed	checkpoint	multiplier	path	sha256	bytes	config_path	config_sha256	original_config_sha256	scientific_config_sha256
additive	50305	trained	1.0	checkpoints/additive/seed_50305/trained_model.pt	e8e734e80ff38555ad1ea8d777a8ed9c53579ba9e50dd378bc45b8416ec0e64f	9669010	checkpoints/additive/seed_50305/config.json	6280a665d398f80909fcd92cf5a81f157d7bc038776a90aa3e11260d54a71bdc	a6a934e7ba7a3b42cc8948b9b1f1e83b44e61936d823eae37e108c03d9d6d20a	8774b1c7645be7bb2b3cfcc98de9d13155ba1825846c74e36879aa1d642e3524
additive	50306	initial	1.0	checkpoints/additive/seed_50306/initial_model.pt	2056f9ddde9196759c5af70427f86da470c38fcb0d2a18192c8ae9e1fb3aab3f	9669068	checkpoints/additive/seed_50306/config.json	901e5f3ab38a9f069d19528f2fb1f09e611737a06c80e4b296f0944594c7214c	707315d89fa3076058d13e054e974090f4473591af6ae2e777dd003170bd67f9	a6a2177278f8625f71ae939e798eba86395264739158947287b65dcd4220b87e
additive	50306	trained	1.0	checkpoints/additive/seed_50306/trained_model.pt	168f255cea6b151586eef1a3c2886c18697a8a3fa04adf634239b3a3e335b992	9669010	checkpoints/additive/seed_50306/config.json	901e5f3ab38a9f069d19528f2fb1f09e611737a06c80e4b296f0944594c7214c	707315d89fa3076058d13e054e974090f4473591af6ae2e777dd003170bd67f9	a6a2177278f8625f71ae939e798eba86395264739158947287b65dcd4220b87e
additive	50307	initial	1.0	checkpoints/additive/seed_50307/initial_model.pt	39b6947af30f3fff76e2a6e971e9288647d767c2fe9ee276beed23ca4c9b32f2	9669068	checkpoints/additive/seed_50307/config.json	ed727ff8901b3c9b0645ddc6d5e8cf3c56a82f7c94d80adf41a7ee3bc25a297e	a23d9a5b92e2d045107ae92c7cbb3868127edb6cd8ea0ead749e34d1f8c00e6a	eac01b8b4a9d424c9ce421a4db00fac276b3258ffa634c76906fbc38b093ebe1
additive	50307	trained	1.0	checkpoints/additive/seed_50307/trained_model.pt	41ec388afe48cf27b69dd97f80fd6af214b8b12aef5c1d51133eaf7753eaa812	9669010	checkpoints/additive/seed_50307/config.json	ed727ff8901b3c9b0645ddc6d5e8cf3c56a82f7c94d80adf41a7ee3bc25a297e	a23d9a5b92e2d045107ae92c7cbb3868127edb6cd8ea0ead749e34d1f8c00e6a	eac01b8b4a9d424c9ce421a4db00fac276b3258ffa634c76906fbc38b093ebe1
additive	50308	initial	1.0	checkpoints/additive/seed_50308/initial_model.pt	745c01ede27a010fa68977a5343580c6a5a55c62eb002c6e0c17127179de5120	9669068	checkpoints/additive/seed_50308/config.json	fab0e31525f1165909dbe5c9a6402f7c99d73fa7a5f0637346c471d7f5244292	53ba1839ae827fa27bc66781ad9e15f67acff53ed56528560539c8df7fa8f3bc	fa4df31d43f40a6d68383965ccc115a24f4c2090ca21c375e7ad260f65bc64b0
additive	50308	trained	1.0	checkpoints/additive/seed_50308/trained_model.pt	8cd223f7853d4cabcc4b51eda972a76a3328d67760820cbb97b048e6d8dd472e	9669010	checkpoints/additive/seed_50308/config.json	fab0e31525f1165909dbe5c9a6402f7c99d73fa7a5f0637346c471d7f5244292	53ba1839ae827fa27bc66781ad9e15f67acff53ed56528560539c8df7fa8f3bc	fa4df31d43f40a6d68383965ccc115a24f4c2090ca21c375e7ad260f65bc64b0
additive	50309	initial	1.0	checkpoints/additive/seed_50309/initial_model.pt	ac2661ffeb28b74beeccbe4a090f952c6391624c7b4d8c232d407b91ed7d3e89	9669068	checkpoints/additive/seed_50309/config.json	eccd90f62262914c1433e7c1865e03cb41927691fb97ca0f31460d09b8a29281	d192fdcd04a8ba30178b6aac0dd1ffaf7b4a760f75a903fca5dd9dc62f11e75a	a6e8e81d66c733bb9598a18e264f21e0ebf4022caf20de4d7fbee6dcfa5e8e96
additive	50309	trained	1.0	checkpoints/additive/seed_50309/trained_model.pt	7ae4129ac11cd4ef247d5435da764f59f0611935a7647eadd8669e2d221fa523	9669010	checkpoints/additive/seed_50309/config.json	eccd90f62262914c1433e7c1865e03cb41927691fb97ca0f31460d09b8a29281	d192fdcd04a8ba30178b6aac0dd1ffaf7b4a760f75a903fca5dd9dc62f11e75a	a6e8e81d66c733bb9598a18e264f21e0ebf4022caf20de4d7fbee6dcfa5e8e96
shunting	50300	initial	1.0	checkpoints/shunting/seed_50300/initial_model.pt	9e2a4c5f2d430eddeb231d2f1bd4ae29145f379aac56321d4ba2e3791b815372	9669068	checkpoints/shunting/seed_50300/config.json	7da57ae3fe3f5e6d7fa1d41d821d92a1915b377226bd1fd92765bac84d882ec1	3c5ed5811e603b1629dec4c51ddc14e7ddea72c5c5c277115eeab4c91c1c9e68	4544ee45d95df1b7d6e8eb28156a7083e517f97edc8739fe9b61cb03292c8727
