seed,network_type,branch_numel_weighted_cosine,branch_macro_cosine,branch_concatenated_cosine,branch_local_exact_norm_ratio,soma_exact_energy_fraction,test_accuracy,cohort
42,dendritic_additive,0.12675891782004992,0.12588852023084954,0.126568504500978,0.08946556884882023,0.1615454557592955,0.9092999696731567,original
42,dendritic_shunting,0.12597305566349506,0.10136816337083769,0.12507429275584764,1.4433879121313977,0.0110503301858086,0.8987999558448792,original
43,dendritic_additive,0.1445537329289028,0.1392894128958384,0.14101374736164649,0.10125210974884787,0.14990068145333724,0.9071999788284302,original
43,dendritic_shunting,0.21666831824171587,0.21670190642277398,0.1629318351961431,1.5511557358460992,0.011070256011423599,0.9055999517440796,original
44,dendritic_additive,0.14077112497333902,0.14344564291338122,0.1452901451629313,0.09208913781420901,0.14368186683266218,0.9126999974250793,original
44,dendritic_shunting,0.1841287227329188,0.1805829877654711,0.14081870327238324,1.4232962549687587,0.011002009759110365,0.8996999859809875,original
45,dendritic_additive,0.11322638302803988,0.10982546806335443,0.11116483890764613,0.0764084854902555,0.14951592497369334,0.9077000021934509,original
45,dendritic_shunting,0.21142156897867181,0.20565480093161262,0.187707153785264,1.7478789844730762,0.0106853832580151,0.9001999497413635,original
46,dendritic_additive,0.09285839323266092,0.08913478180766103,0.09127595897911933,0.06201411621397986,0.13878685665621182,0.9074999690055847,original
46,dendritic_shunting,0.20152735998391472,0.2103561326861381,0.16852541793083267,1.5315985697943575,0.012444053542133534,0.9004999995231628,original
47,dendritic_additive,0.1048346298184013,0.09842807066937283,0.09767897917205241,0.07597489678076093,0.15859150843919206,0.9098999500274658,extension
47,dendritic_shunting,0.19325127623906013,0.2180472984910011,0.13718470338870345,1.4986800419508508,0.011558496299644934,0.9053999781608582,extension
48,dendritic_additive,0.09318919852079144,0.09699918379386263,0.09851960882397313,0.06955643409499113,0.14594889168067762,0.9078999757766724,extension
48,dendritic_shunting,0.2223324627831954,0.22411268154780065,0.17191601656437738,1.5367448919418003,0.011540288480749466,0.9068999886512756,extension
49,dendritic_additive,0.10681142122879284,0.10532029060026005,0.10846267475470867,0.0746735436385222,0.15979686608860819,0.9093999862670898,extension
49,dendritic_shunting,0.23930900577371653,0.2525307531158129,0.1847989984166727,1.6179315226384106,0.0116517219322988,0.9085999727249146,extension
50,dendritic_additive,0.08700798279933557,0.08516069104274106,0.08393425567564537,0.0608244040083278,0.15046732506008267,0.9074999690055847,extension
50,dendritic_shunting,0.14048905049266405,0.15256087084611256,0.10019992399196986,1.466865342192488,0.011686363578392533,0.8994999527931213,extension
51,dendritic_additive,0.09401898507617536,0.08594316417972248,0.08639508515320875,0.06605289807769117,0.17486152695641133,0.9084999561309814,extension
51,dendritic_shunting,0.20914628007734912,0.23745385706424707,0.16953347168201358,1.6155307104233494,0.013110216385506065,0.9013999700546265,extension
52,dendritic_additive,0.10720851935614467,0.1009234714011351,0.10018788039063697,0.08500071468056963,0.14198078530637145,0.9129999876022339,extension
52,dendritic_shunting,0.18935810202146428,0.2060110290845235,0.13991039934286054,1.6086766689951373,0.013012702873108399,0.8980000019073486,extension
53,dendritic_additive,0.09449775421722313,0.09245655685663219,0.09412708387019415,0.07042105218063939,0.15619970006742806,0.910099983215332,extension
53,dendritic_shunting,0.17914406813928485,0.16345511004328725,0.15243471783869403,1.6444343570095705,0.011214433951221398,0.904699981212616,extension
54,dendritic_additive,0.0749598196928561,0.07592912204563614,0.07560267934397889,0.05909938326905717,0.15304064784210064,0.9101999998092651,extension
54,dendritic_shunting,0.15287522274026197,0.1493056903282801,0.1345782888037414,1.2195685029560523,0.009035385746044301,0.9126999974250793,extension
55,dendritic_additive,0.12514154236590558,0.12829051911830897,0.12490118928417476,0.08740968394916655,0.14949908093558206,0.9086999893188477,extension
55,dendritic_shunting,0.21969672026565346,0.2043979603797197,0.16438655256451268,1.6020086623470975,0.012055582660814634,0.9032999873161316,extension
56,dendritic_additive,0.15400729660315812,0.14979581162333486,0.14644646472002756,0.10068085881245407,0.16267724877740003,0.9091999530792236,extension
56,dendritic_shunting,0.1712993871506704,0.1828178676466147,0.1448124403412264,1.5231413905286153,0.012433954576296235,0.9091999530792236,extension
