cohort,network_type,test_accuracy_count,test_accuracy_mean,test_accuracy_std,test_accuracy_sem,branch_numel_weighted_cosine_count,branch_numel_weighted_cosine_mean,branch_numel_weighted_cosine_std,branch_numel_weighted_cosine_sem,branch_macro_cosine_count,branch_macro_cosine_mean,branch_macro_cosine_std,branch_macro_cosine_sem,branch_concatenated_cosine_count,branch_concatenated_cosine_mean,branch_concatenated_cosine_std,branch_concatenated_cosine_sem,branch_local_exact_norm_ratio_count,branch_local_exact_norm_ratio_mean,branch_local_exact_norm_ratio_std,branch_local_exact_norm_ratio_sem,soma_exact_energy_fraction_count,soma_exact_energy_fraction_mean,soma_exact_energy_fraction_std,soma_exact_energy_fraction_sem
combined,dendritic_additive,15,0.9092533111572265,0.0017618490369077184,0.000454907465231678,15,0.11065638011078512,0.023091088466911817,0.005962093405210108,15,0.10845538048280606,0.023327343149781937,0.006023094102024741,15,0.10877127307339479,0.0230146546820128,0.005942358286810009,15,0.0780615525072195,0.013937334313948627,0.003598604245896547,15,0.15309962445527028,0.009382929913864331,0.0024226620863351967
combined,dendritic_shunting,15,0.9036333084106445,0.004399784964810571,0.001136019593040342,15,0.19044137341893574,0.03214624376491026,0.008300124449641429,15,0.19369047398161554,0.03919028554254749,0.010118888215959984,15,0.15232086105834952,0.023684839625235946,0.006115399295075489,15,1.5353933032131375,0.12168974476460186,0.03142015699183561,15,0.011570078616037864,0.0010140698337389512,0.0002618317051974855
extension,dendritic_additive,10,0.9094399750232697,0.0015464712548541623,0.0004890371501317878,10,0.1041677149678784,0.02212378313049658,0.006996154515197939,10,0.10192468813310063,0.021953680172112956,0.00694236323667543,10,0.10162559011886008,0.020824854239631617,0.006585397133824982,10,0.07496938694921801,0.01290562162148343,0.004081115894420307,10,0.15530635811538543,0.009403881071511137,0.002973768303131995
extension,dendritic_shunting,10,0.9049699783325196,0.004580648411326512,0.0014485282140223605,10,0.19169015756833202,0.03163121757010111,0.010002669268585626,10,0.19906931185473994,0.03585053728126867,0.011336935314958954,10,0.1499755512934772,0.02425913973823862,0.007671413564913497,10,1.533358209098337,0.12509211735256864,0.039557600816718906,10,0.011729914648407678,0.0011427097363714293,0.0003613565471384269
original,dendritic_additive,5,0.9088799834251404,0.002285175395814337,0.0010219615051101692,5,0.1236337103965985,0.02119279271393989,0.00947770502828637,5,0.12151676518221692,0.022367019264408202,0.010002835105852818,5,0.12306263898246425,0.02225166335542773,0.009951246375035494,5,0.0842458836232225,0.015277841542802692,0.006832458447835416,5,0.14868615713504002,0.00852297214142722,0.0038115890157136433
original,dendritic_shunting,5,0.9009599685668945,0.002672632367955343,0.0011952375307228756,5,0.18794380512014325,0.03679587155662062,0.016455614018390942,5,0.1829327982353667,0.0476103786388227,0.021292008614182293,5,0.15701148058809414,0.024454221050124465,0.01093626012097692,5,1.5394634914427379,0.12880307360153825,0.05760248565678964,5,0.011250406551298239,0.000685242693521166,0.0003064498487596764
