cohort,metric,n_pairs,shunting_mean,additive_mean,paired_difference_mean,shunting_wins,paired_t_pvalue,wilcoxon_pvalue
original,test_accuracy,5,0.9009599685668945,0.9088799834251404,-0.007920014858245849,0,0.014453513441468729,0.0625
original,branch_numel_weighted_cosine,5,0.18794380512014325,0.1236337103965985,0.06431009472354475,4,0.03151260519974119,0.125
original,branch_macro_cosine,5,0.1829327982353667,0.12151676518221692,0.06141603305314978,4,0.07357580604176973,0.125
original,branch_concatenated_cosine,5,0.15701148058809414,0.12306263898246425,0.03394884160562989,3,0.13426720886871304,0.3125
original,branch_local_exact_norm_ratio,5,1.5394634914427379,0.08424588362322248,1.4552176078195154,5,1.7449108641073946e-05,0.0625
original,soma_exact_energy_fraction,5,0.01125040655129824,0.14868615713504002,-0.13743575058374177,0,4.2839169889670575e-06,0.0625
extension,test_accuracy,10,0.9049699783325196,0.9094399750232697,-0.004469996690750122,1,0.020032812764488074,0.01953125
extension,branch_numel_weighted_cosine,10,0.19169015756833202,0.10416771496787842,0.0875224426004536,10,2.2264538780301327e-05,0.001953125
extension,branch_macro_cosine,10,0.19906931185473994,0.10192468813310063,0.09714462372163932,10,2.4522602856518483e-05,0.001953125
extension,branch_concatenated_cosine,10,0.14997555129347723,0.10162559011886008,0.04834996117461713,9,0.0003137884046820931,0.00390625
extension,branch_local_exact_norm_ratio,10,1.533358209098337,0.074969386949218,1.4583888221491192,10,2.794098022748966e-11,0.001953125
extension,soma_exact_energy_fraction,10,0.011729914648407676,0.1553063581153854,-0.14357644346697776,0,2.992998790074014e-12,0.001953125
combined,test_accuracy,15,0.9036333084106445,0.9092533111572265,-0.005620002746582031,1,0.0005794989446583563,0.002323636405841994
combined,branch_numel_weighted_cosine,15,0.19044137341893577,0.1106563801107851,0.07978499330815064,14,1.2061235304123888e-06,0.0001220703125
combined,branch_macro_cosine,15,0.19369047398161554,0.10845538048280606,0.08523509349880948,14,5.94999968751146e-06,0.0001220703125
combined,branch_concatenated_cosine,15,0.15232086105834952,0.10877127307339478,0.04354958798495471,12,0.00010014115236697806,0.0008544921875
combined,branch_local_exact_norm_ratio,15,1.535393303213137,0.0780615525072195,1.457331750705918,15,8.601116578938633e-17,6.103515625e-05
combined,soma_exact_energy_fraction,15,0.011570078616037864,0.15309962445527028,-0.14152954583923238,0,3.578832801351844e-18,6.103515625e-05
