method,median_seconds_per_20_candidates,mean_seconds_per_20_candidates,n_measurements
candidate_training,0.15293336217291648,0.15019976138009947,1280
pilot16,0.0145433574798516,0.014143895993402012,1280
empirical_split_fullbatch,0.01028944749850775,0.010146725901540728,640
gaussian_oracle_fullbatch,0.0006020829896442,0.0006447740041039177,640
gaussian_oracle_sgd,0.0388793755555525,0.04479320790214838,640
gaussian_plugin_fullbatch,0.0036327815032563,0.004274638355309335,640
gaussian_plugin_sgd,0.0418800185434519,0.04835375358416048,640
original_scalar,0.028969100501853903,0.028369488835596663,640
observed_count_cheapest,0.0016283084987662733,0.0015969795484124915,320
