arm,checkpoint,fixed_cache_minus_fresh_prediction_error,ci95_low,ci95_high,n_seed_blocks
feedback_only,16,-0.0019469610779078023,-0.0031351170130757195,-0.0007550702370116042,20
feedback_only,64,-0.002054996582505322,-0.0025791863043215296,-0.0015369342141159715,20
feedback_only,256,-0.0017192820166064483,-0.0021768315669034475,-0.0012536266556211566,20
joint_forward_feedback,16,-0.0014616836682536654,-0.003210134015894173,0.0004539983310232302,20
joint_forward_feedback,64,-0.0022712307137784716,-0.002732192918351209,-0.0018460619309926063,20
joint_forward_feedback,256,-0.0017590500316566975,-0.002080146006125961,-0.0014434881710164854,20
