task_id,arm,regime,checkpoint,method,split,seed,rank,noise_sd,angle_pi,candidate_id,tree_id,shape,budget_k,resource_cost,channel_cost,cable_cost,parameter_count,decoder_coefficients,encoder_coefficients,test_loss,population_loss,predicted_loss,predicted_objective,observed_objective,population_objective,oracle_objective,oracle_population_objective,regret,population_regret
s9300_r1_n000_a125,feedback_only,fixed_cache,16,empirical_split_fullbatch,confirmatory,9300,1,0.0,0.125,balanced_contiguous_k1,balanced_contiguous,balanced,1,0.1737418407321983,0.125,0.487418407321983,64,64,8,1.4713588709273712e-05,1.5187565434549113e-05,1.1356786443812651e-05,0.013910704045019678,0.013914060847285139,0.013914534824010415,0.013914060847285139,0.013914534824010415,0.0,0.0
s9300_r1_n000_a125,feedback_only,fixed_cache,16,gaussian_oracle_fullbatch,confirmatory,9300,1,0.0,0.125,balanced_contiguous_k1,balanced_contiguous,balanced,1,0.1737418407321983,0.125,0.487418407321983,64,64,8,1.4713588709273712e-05,1.5187565434549113e-05,5.848265728694472e-06,0.01390519552430456,0.013914060847285139,0.013914534824010415,0.013914060847285139,0.013914534824010415,0.0,0.0
s9300_r1_n000_a125,feedback_only,fixed_cache,16,gaussian_oracle_sgd,confirmatory,9300,1,0.0,0.125,balanced_contiguous_k1,balanced_contiguous,balanced,1,0.1737418407321983,0.125,0.487418407321983,64,64,8,1.4713588709273712e-05,1.5187565434549113e-05,1.297044967223079e-05,0.013912317708248096,0.013914060847285139,0.013914534824010415,0.013914060847285139,0.013914534824010415,0.0,0.0
s9300_r1_n000_a125,feedback_only,fixed_cache,16,gaussian_plugin_fullbatch,confirmatory,9300,1,0.0,0.125,balanced_contiguous_k1,balanced_contiguous,balanced,1,0.1737418407321983,0.125,0.487418407321983,64,64,8,1.4713588709273712e-05,1.5187565434549113e-05,5.848265728694492e-06,0.01390519552430456,0.013914060847285139,0.013914534824010415,0.013914060847285139,0.013914534824010415,0.0,0.0
s9300_r1_n000_a125,feedback_only,fixed_cache,16,gaussian_plugin_sgd,confirmatory,9300,1,0.0,0.125,balanced_contiguous_k1,balanced_contiguous,balanced,1,0.1737418407321983,0.125,0.487418407321983,64,64,8,1.4713588709273712e-05,1.5187565434549113e-05,1.2970449672230591e-05,0.013912317708248096,0.013914060847285139,0.013914534824010415,0.013914060847285139,0.013914534824010415,0.0,0.0
s9300_r1_n000_a125,feedback_only,fixed_cache,64,empirical_split_fullbatch,confirmatory,9300,1,0.0,0.125,balanced_contiguous_k1,balanced_contiguous,balanced,1,0.1737418407321983,0.125,0.487418407321983,64,64,8,2.407791290919564e-19,2.4428308288713814e-19,5.9628932034512754e-18,0.01389934725857587,0.013899347258575865,0.013899347258575865,0.013899347258575865,0.013899347258575865,0.0,0.0
s9300_r1_n000_a125,feedback_only,fixed_cache,64,gaussian_oracle_fullbatch,confirmatory,9300,1,0.0,0.125,balanced_contiguous_k1,balanced_contiguous,balanced,1,0.1737418407321983,0.125,0.487418407321983,64,64,8,2.407791290919564e-19,2.4428308288713814e-19,9.358345279218798e-21,0.013899347258575865,0.013899347258575865,0.013899347258575865,0.013899347258575865,0.013899347258575865,0.0,0.0
s9300_r1_n000_a125,feedback_only,fixed_cache,64,gaussian_oracle_sgd,confirmatory,9300,1,0.0,0.125,balanced_contiguous_k1,balanced_contiguous,balanced,1,0.1737418407321983,0.125,0.487418407321983,64,64,8,2.407791290919564e-19,2.4428308288713814e-19,2.2641755873356214e-19,0.013899347258575865,0.013899347258575865,0.013899347258575865,0.013899347258575865,0.013899347258575865,0.0,0.0
s9300_r1_n000_a125,feedback_only,fixed_cache,64,gaussian_plugin_fullbatch,confirmatory,9300,1,0.0,0.125,balanced_contiguous_k1,balanced_contiguous,balanced,1,0.1737418407321983,0.125,0.487418407321983,64,64,8,2.407791290919564e-19,2.4428308288713814e-19,9.358350735992767e-21,0.013899347258575865,0.013899347258575865,0.013899347258575865,0.013899347258575865,0.013899347258575865,0.0,0.0
s9300_r1_n000_a125,feedback_only,fixed_cache,64,gaussian_plugin_sgd,confirmatory,9300,1,0.0,0.125,balanced_contiguous_k1,balanced_contiguous,balanced,1,0.1737418407321983,0.125,0.487418407321983,64,64,8,2.407791290919564e-19,2.4428308288713814e-19,2.2641756891721167e-19,0.013899347258575865,0.013899347258575865,0.013899347258575865,0.013899347258575865,0.013899347258575865,0.0,0.0
