arm,regime,comparator,n_seed_blocks,plugin_sgd_regret_reduction,ci95_low,ci95_high,positive_seeds
feedback_only,fixed_cache,development_best,20,0.044628285356478975,0.04427526897524475,0.04503964263735084,20
feedback_only,fixed_cache,empirical_split_fullbatch,20,8.923108032985288e-05,6.164404276378191e-06,0.00016963087711364697,13
feedback_only,fixed_cache,gaussian_oracle_fullbatch,20,6.944615292350936e-05,-1.3262707089951364e-05,0.00014915889001028147,13
feedback_only,fixed_cache,gaussian_oracle_sgd,20,1.4797903563306542e-05,0.0,3.950406984268313e-05,2
feedback_only,fixed_cache,gaussian_plugin_fullbatch,20,6.944615292350936e-05,-1.3262707089951364e-05,0.00014915889001028147,13
feedback_only,fixed_cache,maximum_budget,20,0.044628285356478975,0.04427526897524475,0.04503964263735084,20
feedback_only,fixed_cache,original_scalar,20,0.08136436900160753,0.07237898225296535,0.0904630075147525,20
feedback_only,fixed_cache,pilot16,20,0.009183849966613622,0.007986301429194138,0.01029407804713643,20
feedback_only,fixed_cache,rank_only,20,0.00817742934006718,0.00804175866856067,0.00831626138085632,20
feedback_only,fresh_iid,development_best,20,0.04490484962203619,0.04447737991557708,0.04542070792170713,20
feedback_only,fresh_iid,empirical_split_fullbatch,20,0.0002640795478355227,0.00013729156731717883,0.00040572706215297297,14
feedback_only,fresh_iid,gaussian_oracle_fullbatch,20,0.00022176514816575187,0.00010951961742840114,0.0003513963008773695,14
feedback_only,fresh_iid,gaussian_oracle_sgd,20,9.193922826897758e-06,-5.589154108082139e-06,3.317092258877542e-05,1
feedback_only,fresh_iid,gaussian_plugin_fullbatch,20,0.00022176514816575187,0.00010951961742840114,0.0003513963008773695,14
feedback_only,fresh_iid,maximum_budget,20,0.04490484962203619,0.04447737991557708,0.04542070792170713,20
feedback_only,fresh_iid,original_scalar,20,0.0815591077988014,0.07242027405866533,0.09078362900250822,20
feedback_only,fresh_iid,pilot16,20,0.009813390848956343,0.008556622767220613,0.010978645591066191,20
feedback_only,fresh_iid,rank_only,20,0.008392345553614056,0.008195082100228736,0.008639391190570726,20
joint_forward_feedback,fixed_cache,development_best,20,0.04265357651266752,0.04246193116164718,0.04283946926296748,20
joint_forward_feedback,fixed_cache,empirical_split_fullbatch,20,0.0003208496882961392,0.0001395067673751501,0.0005831341077196256,18
joint_forward_feedback,fixed_cache,gaussian_oracle_fullbatch,20,-3.304516677092714e-05,-8.172870802085543e-05,0.0,1
joint_forward_feedback,fixed_cache,gaussian_oracle_sgd,20,-3.304516677092714e-05,-8.172870802085543e-05,0.0,1
joint_forward_feedback,fixed_cache,gaussian_plugin_fullbatch,20,-7.290820837704479e-06,-2.0264591927949064e-05,0.0,0
joint_forward_feedback,fixed_cache,maximum_budget,20,0.04265357651266752,0.04246193116164718,0.04283946926296748,20
joint_forward_feedback,fixed_cache,original_scalar,20,0.10064960746389691,0.09498504711800024,0.10623554828234587,20
joint_forward_feedback,fixed_cache,pilot16,20,0.019423747900586062,0.017444171654520748,0.021173159501744608,20
joint_forward_feedback,fixed_cache,rank_only,20,0.008155488072606805,0.008037535125438667,0.008290923776539694,20
joint_forward_feedback,fresh_iid,development_best,20,0.04272089357027523,0.04249887261611965,0.04296220272341916,20
joint_forward_feedback,fresh_iid,empirical_split_fullbatch,20,0.00043364379653774564,0.0002184103451742325,0.0007787453665343681,20
joint_forward_feedback,fresh_iid,gaussian_oracle_fullbatch,20,3.4572422479235697e-06,-7.384316508504099e-06,1.6032986458771854e-05,2
joint_forward_feedback,fresh_iid,gaussian_oracle_sgd,20,3.4572422479235697e-06,-7.384316508504099e-06,1.6032986458771854e-05,2
joint_forward_feedback,fresh_iid,gaussian_plugin_fullbatch,20,4.985842196764296e-06,0.0,1.317483639071363e-05,2
joint_forward_feedback,fresh_iid,maximum_budget,20,0.04272089357027523,0.04249887261611965,0.04296220272341916,20
joint_forward_feedback,fresh_iid,original_scalar,20,0.1006645576155049,0.09486544130496877,0.1064014157853882,20
joint_forward_feedback,fresh_iid,pilot16,20,0.02005190062845968,0.018313170530185177,0.02166680852761824,20
joint_forward_feedback,fresh_iid,rank_only,20,0.008182270107120013,0.008043583862205378,0.008336411887659895,20
