arm,regime,checkpoint,mean_prediction_minus_population_loss,ci95_low,ci95_high,n_seed_blocks
feedback_only,fixed_cache,16,-0.002594414283022717,-0.003593909390487418,-0.0016412991509328703,20
feedback_only,fixed_cache,64,-0.0015565465698560055,-0.0019185348884762636,-0.001194373552605624,20
feedback_only,fixed_cache,256,-0.0015086422988455177,-0.0019241684510533656,-0.0010962651656847462,20
feedback_only,fresh_iid,16,-0.0006474532051149143,-0.0015441837297324491,0.0002158204155287462,20
feedback_only,fresh_iid,64,0.0004984500126493166,0.00013627892578023818,0.0008400859308857124,20
feedback_only,fresh_iid,256,0.0002106397177609303,-0.00023367428004662932,0.0006172252793209648,20
joint_forward_feedback,fixed_cache,16,-0.002270524297100832,-0.0036245404195629945,-0.0009097256193857608,20
joint_forward_feedback,fixed_cache,64,-0.0019482534972070837,-0.002260557352959923,-0.0016503318330876547,20
joint_forward_feedback,fixed_cache,256,-0.001645340996447256,-0.0018712123706188784,-0.0013938894574803498,20
joint_forward_feedback,fresh_iid,16,-0.0008088406288471667,-0.002013501366959326,0.0003044507940413398,20
joint_forward_feedback,fresh_iid,64,0.00032297721657138865,6.735930454052157e-05,0.0005906951489471411,20
joint_forward_feedback,fresh_iid,256,0.0001137090352094418,-0.00016969787387895982,0.00034545370212602373,20
