arm,regime,checkpoint,method,rank,n_seed_blocks,n_tasks,mean_regret,ci95_low,ci95_high,mean_test_loss,mean_selected_k,mean_population_regret
feedback_only,fixed_cache,16,empirical_split_fullbatch,all,20,320,0.00021777531398594054,6.913490501986732e-05,0.00039621672325938534,0.1946399049661917,4.6125,0.00022820373070656645
feedback_only,fixed_cache,16,empirical_split_fullbatch,1,20,80,0.0006495289456017208,0.000104262441448003,0.0013539716707483115,0.15113156368445482,1.625,0.0007034949032600943
feedback_only,fixed_cache,16,empirical_split_fullbatch,2,20,80,0.00022157231034204138,0.0,0.0005608512740877272,0.15577224111778412,2.925,0.00019977813767726744
feedback_only,fixed_cache,16,empirical_split_fullbatch,4,20,80,0.0,0.0,0.0,0.1894025275522429,5.9,9.54188188890398e-06
feedback_only,fixed_cache,16,empirical_split_fullbatch,8,20,80,0.0,0.0,0.0,0.2822532875102851,8.0,0.0
feedback_only,fixed_cache,16,gaussian_oracle_fullbatch,all,20,320,8.798876998511484e-05,1.300805459142748e-05,0.00020066203968621219,0.19487687201347642,4.575,9.816226368958734e-05
feedback_only,fixed_cache,16,gaussian_oracle_fullbatch,1,20,80,0.00023050275405435902,0.0,0.0006354912171911996,0.15144421041510678,1.55,0.00029360962407815256
feedback_only,fixed_cache,16,gaussian_oracle_fullbatch,2,20,80,0.00012145232588610033,0.0,0.0002777140954289073,0.1564074625762709,2.85,8.94975487912928e-05
feedback_only,fixed_cache,16,gaussian_oracle_fullbatch,4,20,80,0.0,0.0,0.0,0.1894025275522429,5.9,9.54188188890398e-06
feedback_only,fixed_cache,16,gaussian_oracle_fullbatch,8,20,80,0.0,0.0,0.0,0.2822532875102851,8.0,0.0
feedback_only,fixed_cache,16,gaussian_oracle_sgd,all,20,320,4.099444140128522e-05,8.536602011349412e-06,8.308857707343614e-05,0.19496816527214872,4.5625,3.772312081403344e-05
feedback_only,fixed_cache,16,gaussian_oracle_sgd,1,20,80,3.414640804539765e-05,0.0,9.016345301727512e-05,0.1512497462588545,1.55,1.9354639770655796e-05
feedback_only,fixed_cache,16,gaussian_oracle_sgd,2,20,80,0.00012983135755974322,0.0,0.0002944721587761931,0.15696709976721235,2.8,0.00012199596159657399
feedback_only,fixed_cache,16,gaussian_oracle_sgd,4,20,80,0.0,0.0,0.0,0.1894025275522429,5.9,9.54188188890398e-06
feedback_only,fixed_cache,16,gaussian_oracle_sgd,8,20,80,0.0,0.0,0.0,0.2822532875102851,8.0,0.0
feedback_only,fixed_cache,16,gaussian_plugin_fullbatch,all,20,320,8.798876998511484e-05,1.300805459142748e-05,0.00020066203968621219,0.19487687201347642,4.575,9.816226368958734e-05
feedback_only,fixed_cache,16,gaussian_plugin_fullbatch,1,20,80,0.00023050275405435902,0.0,0.0006354912171911996,0.15144421041510678,1.55,0.00029360962407815256
feedback_only,fixed_cache,16,gaussian_plugin_fullbatch,2,20,80,0.00012145232588610033,0.0,0.0002777140954289073,0.1564074625762709,2.85,8.94975487912928e-05
feedback_only,fixed_cache,16,gaussian_plugin_fullbatch,4,20,80,0.0,0.0,0.0,0.1894025275522429,5.9,9.54188188890398e-06
feedback_only,fixed_cache,16,gaussian_plugin_fullbatch,8,20,80,0.0,0.0,0.0,0.2822532875102851,8.0,0.0
feedback_only,fixed_cache,16,gaussian_plugin_sgd,all,20,320,4.5141933864941364e-05,1.0935318463239918e-05,8.809337179592194e-05,0.1950844982247954,4.55,4.6983444004326714e-05
feedback_only,fixed_cache,16,gaussian_plugin_sgd,1,20,80,3.414640804539765e-05,0.0,9.016345301727512e-05,0.1512497462588545,1.55,1.9354639770655796e-05
feedback_only,fixed_cache,16,gaussian_plugin_sgd,2,20,80,0.00012983135755974322,0.0,0.0002944721587761931,0.15696709976721235,2.8,0.00012199596159657399
feedback_only,fixed_cache,16,gaussian_plugin_sgd,4,20,80,1.6589969854624576e-05,0.0,4.9769909563873727e-05,0.1898678593628297,5.85,4.658317465007708e-05
feedback_only,fixed_cache,16,gaussian_plugin_sgd,8,20,80,0.0,0.0,0.0,0.2822532875102851,8.0,0.0
feedback_only,fixed_cache,64,empirical_split_fullbatch,all,20,320,0.00030179425436667603,0.00014685557345326243,0.0004772946356484179,0.15069463847648168,3.8375,0.00030967877719276574
feedback_only,fixed_cache,64,empirical_split_fullbatch,1,20,80,0.0,0.0,0.0,0.14595801776652848,1.0,0.0
feedback_only,fixed_cache,64,empirical_split_fullbatch,2,20,80,0.0005500068517018287,0.00017451237152212186,0.0010336804798895293,0.14729161775070237,2.05,0.000578394730704441
feedback_only,fixed_cache,64,empirical_split_fullbatch,4,20,80,0.0006571701657648756,0.00020070096686157344,0.00118947764633856,0.15598482652524778,4.3,0.0006603203780666219
feedback_only,fixed_cache,64,empirical_split_fullbatch,8,20,80,0.0,0.0,0.0,0.15354409186344803,8.0,0.0
feedback_only,fixed_cache,64,gaussian_oracle_fullbatch,all,20,320,0.00021364573541972758,9.443236884212588e-05,0.0003518208097886547,0.15075529841514462,3.825,0.00019569074460787963
feedback_only,fixed_cache,64,gaussian_oracle_fullbatch,1,20,80,0.0,0.0,0.0,0.14595801776652848,1.0,0.0
feedback_only,fixed_cache,64,gaussian_oracle_fullbatch,2,20,80,0.0001868154994038583,2.75200960920824e-05,0.0004139863939143569,0.14752366022884403,2.0,0.00019705066233070002
feedback_only,fixed_cache,64,gaussian_oracle_fullbatch,4,20,80,0.000667767442275052,0.00021103136815976627,0.0012062685968773786,0.15599542380175796,4.3,0.0005857123161008184
feedback_only,fixed_cache,64,gaussian_oracle_fullbatch,8,20,80,0.0,0.0,0.0,0.15354409186344803,8.0,0.0
feedback_only,fixed_cache,64,gaussian_oracle_sgd,all,20,320,0.0001363668792827389,4.6813162474106096e-05,0.000255360571234315,0.15093335679271375,3.8,0.0001412414776379949
feedback_only,fixed_cache,64,gaussian_oracle_sgd,1,20,80,0.0,0.0,0.0,0.14595801776652848,1.0,0.0
feedback_only,fixed_cache,64,gaussian_oracle_sgd,2,20,80,0.0001868154994038583,2.75200960920824e-05,0.0004139863939143569,0.14752366022884403,2.0,0.00019705066233070002
feedback_only,fixed_cache,64,gaussian_oracle_sgd,4,20,80,0.00035865201772709735,3.106510106055463e-05,0.000832233470372859,0.1567076573120344,4.2,0.00036791524822127954
feedback_only,fixed_cache,64,gaussian_oracle_sgd,8,20,80,0.0,0.0,0.0,0.15354409186344803,8.0,0.0
feedback_only,fixed_cache,64,gaussian_plugin_fullbatch,all,20,320,0.00023740575809201152,0.000116535467546475,0.00037559924996113123,0.1507827230770812,3.825,0.0002293864687377632
feedback_only,fixed_cache,64,gaussian_plugin_fullbatch,1,20,80,0.0,0.0,0.0,0.14595801776652848,1.0,0.0
feedback_only,fixed_cache,64,gaussian_plugin_fullbatch,2,20,80,0.0001868154994038583,2.75200960920824e-05,0.0004139863939143569,0.14752366022884403,2.0,0.00019705066233070002
feedback_only,fixed_cache,64,gaussian_plugin_fullbatch,4,20,80,0.0007628075329641878,0.0002908062548120491,0.001303566918109488,0.15610512244950434,4.3,0.0007204952126203528
feedback_only,fixed_cache,64,gaussian_plugin_fullbatch,8,20,80,0.0,0.0,0.0,0.15354409186344803,8.0,0.0
feedback_only,fixed_cache,64,gaussian_plugin_sgd,all,20,320,0.0002255501977199618,0.00010780292070802125,0.00036562075425837596,0.15078001741726182,3.825,0.00020081535042486205
feedback_only,fixed_cache,64,gaussian_plugin_sgd,1,20,80,0.0,0.0,0.0,0.14595801776652848,1.0,0.0
feedback_only,fixed_cache,64,gaussian_plugin_sgd,2,20,80,0.0001868154994038583,2.75200960920824e-05,0.0004139863939143569,0.14752366022884403,2.0,0.00019705066233070002
feedback_only,fixed_cache,64,gaussian_plugin_sgd,4,20,80,0.000715385291475989,0.0002569513579161624,0.0012497953851320163,0.15609429981022668,4.3,0.0006062107393687482
feedback_only,fixed_cache,64,gaussian_plugin_sgd,8,20,80,0.0,0.0,0.0,0.15354409186344803,8.0,0.0
feedback_only,fixed_cache,256,development_best,all,20,320,0.04469251997614383,0.04435074929033935,0.04508854987938648,0.14897914590616107,8.0,0.04475156081381876
feedback_only,fixed_cache,256,development_best,1,20,80,0.0735017385275215,0.07246864460170449,0.07461640007186493,0.1490018315186264,8.0,0.073561154337416
feedback_only,fixed_cache,256,development_best,2,20,80,0.06334824955641105,0.06263127614195123,0.06415054459003673,0.14827676802807987,8.0,0.06344456298661956
feedback_only,fixed_cache,256,development_best,4,20,80,0.04192009182064281,0.04157820215987622,0.04226978528846017,0.1482600759779759,8.0,0.04200052593123946
feedback_only,fixed_cache,256,development_best,8,20,80,0.0,0.0,0.0,0.15037790809996224,8.0,0.0
feedback_only,fixed_cache,256,empirical_split_fullbatch,all,20,320,0.00015346569999470823,9.071447655471523e-05,0.0002198094104215092,0.1469040471045663,3.75,0.00015582967751380674
feedback_only,fixed_cache,256,empirical_split_fullbatch,1,20,80,0.0,0.0,0.0,0.14550009299110486,1.0,0.0
feedback_only,fixed_cache,256,empirical_split_fullbatch,2,20,80,0.00048302618399848963,0.00025838104577506453,0.000720749059575198,0.14529668366799925,2.0,0.0005086922093321449
feedback_only,fixed_cache,256,empirical_split_fullbatch,4,20,80,0.00013083661598034326,2.591195384651773e-05,0.00026253709222864017,0.14644150365919892,4.0,0.00011462650072308205
feedback_only,fixed_cache,256,empirical_split_fullbatch,8,20,80,0.0,0.0,0.0,0.15037790809996224,8.0,0.0
feedback_only,fixed_cache,256,gaussian_oracle_fullbatch,all,20,320,0.0001336807725883647,7.425703186452797e-05,0.00019680727089736903,0.14692030670260564,3.75,0.00014136085078682512
feedback_only,fixed_cache,256,gaussian_oracle_fullbatch,1,20,80,0.0,0.0,0.0,0.14550009299110486,1.0,0.0
