arm,regime,method,rank,mean_regret,ci95_low,ci95_high,n_seed_blocks,n_tasks,mean_selected_k,mean_population_regret
feedback_only,fixed_cache,development_best,all,0.0446925199761438,0.04435074929033932,0.04508854987938644,20,320,8.0,0.04475156081381872
feedback_only,fixed_cache,development_best,1,0.07350173852752143,0.07246864460170444,0.07461640007186487,20,80,8.0,0.07356115433741593
feedback_only,fixed_cache,development_best,2,0.06334824955641101,0.06263127614195114,0.06415054459003668,20,80,8.0,0.06344456298661952
feedback_only,fixed_cache,development_best,4,0.041920091820642755,0.04157820215987618,0.04226978528846011,20,80,8.0,0.04200052593123941
feedback_only,fixed_cache,development_best,8,0.0,0.0,0.0,20,80,8.0,0.0
feedback_only,fixed_cache,empirical_split_fullbatch,all,0.0001534656999947053,9.07144765547132e-05,0.00021980941042150525,20,320,3.75,0.00015582967751380343
feedback_only,fixed_cache,empirical_split_fullbatch,1,0.0,0.0,0.0,20,80,1.0,0.0
feedback_only,fixed_cache,empirical_split_fullbatch,2,0.0004830261839984799,0.000258381045775056,0.0007207490595751863,20,80,2.0,0.0005086922093321337
feedback_only,fixed_cache,empirical_split_fullbatch,4,0.00013083661598034126,2.59119538465175e-05,0.0002625370922286375,20,80,4.0,0.00011462650072308
feedback_only,fixed_cache,empirical_split_fullbatch,8,0.0,0.0,0.0,20,80,8.0,0.0
feedback_only,fixed_cache,gaussian_oracle_fullbatch,all,0.00013368077258836186,7.425703186452662e-05,0.00019680727089736434,20,320,3.75,0.0001413608507868222
feedback_only,fixed_cache,gaussian_oracle_fullbatch,1,0.0,0.0,0.0,20,80,1.0,0.0
feedback_only,fixed_cache,gaussian_oracle_fullbatch,2,0.0004902601115245912,0.00026754370895420054,0.0007216727966872751,20,80,2.0,0.0005346992403801324
feedback_only,fixed_cache,gaussian_oracle_fullbatch,4,4.446297882885625e-05,0.0,0.00010161362318762748,20,80,4.0,3.074416276715625e-05
feedback_only,fixed_cache,gaussian_oracle_fullbatch,8,0.0,0.0,0.0,20,80,8.0,0.0
feedback_only,fixed_cache,gaussian_oracle_sgd,all,7.903252322815969e-05,3.695998288200907e-05,0.00012787967508314177,20,320,3.75,5.5825452796379616e-05
feedback_only,fixed_cache,gaussian_oracle_sgd,1,0.0,0.0,0.0,20,80,1.0,0.0
feedback_only,fixed_cache,gaussian_oracle_sgd,2,0.00022137358627492875,6.906202345697022e-05,0.00040478224903910945,20,80,2.0,0.00015993268096381596
feedback_only,fixed_cache,gaussian_oracle_sgd,4,9.475650663771e-05,9.40966818784125e-06,0.0002136375355785175,20,80,4.0,6.33691302217025e-05
feedback_only,fixed_cache,gaussian_oracle_sgd,8,0.0,0.0,0.0,20,80,8.0,0.0
feedback_only,fixed_cache,gaussian_plugin_fullbatch,all,0.00013368077258836186,7.425703186452662e-05,0.00019680727089736434,20,320,3.75,0.0001413608507868222
feedback_only,fixed_cache,gaussian_plugin_fullbatch,1,0.0,0.0,0.0,20,80,1.0,0.0
feedback_only,fixed_cache,gaussian_plugin_fullbatch,2,0.0004902601115245912,0.00026754370895420054,0.0007216727966872751,20,80,2.0,0.0005346992403801324
feedback_only,fixed_cache,gaussian_plugin_fullbatch,4,4.446297882885625e-05,0.0,0.00010161362318762748,20,80,4.0,3.074416276715625e-05
feedback_only,fixed_cache,gaussian_plugin_fullbatch,8,0.0,0.0,0.0,20,80,8.0,0.0
feedback_only,fixed_cache,gaussian_plugin_sgd,all,6.423461966485344e-05,2.9762781532288633e-05,0.0001042156109517074,20,320,3.75,4.567853367271118e-05
feedback_only,fixed_cache,gaussian_plugin_sgd,1,0.0,0.0,0.0,20,80,1.0,0.0
feedback_only,fixed_cache,gaussian_plugin_sgd,2,0.00020181502288598376,6.6136489579215e-05,0.000367785017022878,20,80,2.0,0.00015068655284858598
feedback_only,fixed_cache,gaussian_plugin_sgd,4,5.512345577343e-05,9.40966818784125e-06,0.00011227410013220124,20,80,4.0,3.202758184225875e-05
feedback_only,fixed_cache,gaussian_plugin_sgd,8,0.0,0.0,0.0,20,80,8.0,0.0
feedback_only,fixed_cache,maximum_budget,all,0.0446925199761438,0.04435074929033932,0.04508854987938644,20,320,8.0,0.04475156081381872
feedback_only,fixed_cache,maximum_budget,1,0.07350173852752143,0.07246864460170444,0.07461640007186487,20,80,8.0,0.07356115433741593
feedback_only,fixed_cache,maximum_budget,2,0.06334824955641101,0.06263127614195114,0.06415054459003668,20,80,8.0,0.06344456298661952
feedback_only,fixed_cache,maximum_budget,4,0.041920091820642755,0.04157820215987618,0.04226978528846011,20,80,8.0,0.04200052593123941
feedback_only,fixed_cache,maximum_budget,8,0.0,0.0,0.0,20,80,8.0,0.0
feedback_only,fixed_cache,observed_count_cheapest,all,0.0001336807725883647,7.425703186452797e-05,0.00019680727089736903,20,320,3.75,0.00014136085078682512
feedback_only,fixed_cache,observed_count_cheapest,1,0.0,0.0,0.0,20,80,1.0,0.0
feedback_only,fixed_cache,observed_count_cheapest,2,0.0004902601115246014,0.00026754370895420846,0.000721672796687292,20,80,2.0,0.0005346992403801425
feedback_only,fixed_cache,observed_count_cheapest,4,4.446297882885752e-05,0.0,0.00010161362318762899,20,80,4.0,3.0744162767158e-05
feedback_only,fixed_cache,observed_count_cheapest,8,0.0,0.0,0.0,20,80,8.0,0.0
feedback_only,fixed_cache,observed_count_conditioning,all,6.423461966485535e-05,2.976278153229029e-05,0.00010421561095170983,20,320,3.75,4.567853367271335e-05
feedback_only,fixed_cache,observed_count_conditioning,1,0.0,0.0,0.0,20,80,1.0,0.0
feedback_only,fixed_cache,observed_count_conditioning,2,0.00020181502288598997,6.61364895792195e-05,0.00036778501702288606,20,80,2.0,0.00015068655284859178
feedback_only,fixed_cache,observed_count_conditioning,4,5.5123455773431475e-05,9.409668187842363e-06,0.00011227410013220293,20,80,4.0,3.2027581842261624e-05
feedback_only,fixed_cache,observed_count_conditioning,8,0.0,0.0,0.0,20,80,8.0,0.0
feedback_only,fixed_cache,original_scalar,all,0.08142860362127233,0.0724404334985495,0.09053184395866787,20,320,4.984375,0.08123018950036805
feedback_only,fixed_cache,original_scalar,1,0.048412275076502295,0.0454345206354148,0.05124349924058159,20,80,5.45,0.0484682291537803
feedback_only,fixed_cache,original_scalar,2,0.03236397226870779,0.030894870146844444,0.033479962690296995,20,80,4.95,0.032457416850620625
feedback_only,fixed_cache,original_scalar,4,0.019640537742610202,0.016502968826101864,0.021825234853089365,20,80,5.8,0.019727334968923316
feedback_only,fixed_cache,original_scalar,8,0.22529762939726905,0.1866409073976755,0.2639312398469416,20,80,3.7375,0.2242677770281479
feedback_only,fixed_cache,pilot16,all,0.00924808458627846,0.008056488797716088,0.01034503475127337,20,320,4.55,0.009294386311061328
feedback_only,fixed_cache,pilot16,1,0.00696443697080521,0.00623688780341051,0.008078577292128512,20,80,1.55,0.006981079656972995
feedback_only,fixed_cache,pilot16,2,0.010469308670908452,0.0076723552071977594,0.013560496013986153,20,80,2.85,0.01055724667793792
feedback_only,fixed_cache,pilot16,4,0.019558592703400175,0.016782542180199467,0.021690127040585667,20,80,5.8,0.0196392189093344
feedback_only,fixed_cache,pilot16,8,0.0,0.0,0.0,20,80,8.0,0.0
feedback_only,fixed_cache,rank_only,all,0.008241663959732012,0.008132873378349538,0.008360228110671355,20,320,4.5,0.008263219268565897
feedback_only,fixed_cache,rank_only,1,0.011639484694081065,0.011443466961863302,0.011880792133742275,20,80,2.0,0.011660509377259386
feedback_only,fixed_cache,rank_only,2,0.021282708166018124,0.020898003973753767,0.02171738386898956,20,80,4.0,0.02136162353423705
feedback_only,fixed_cache,rank_only,4,4.446297882885625e-05,0.0,0.00010161362318762748,20,80,4.0,3.074416276715625e-05
feedback_only,fixed_cache,rank_only,8,0.0,0.0,0.0,20,80,8.0,0.0
feedback_only,fresh_iid,development_best,all,0.04494227291555148,0.044517068618895025,0.04546236767286387,20,320,8.0,0.04487415277860539
feedback_only,fresh_iid,development_best,1,0.07323377566537129,0.07241104607480017,0.07415660522518919,20,80,8.0,0.07316666388684537
feedback_only,fresh_iid,development_best,2,0.06442827428813999,0.06331931201207762,0.06583239139256532,20,80,8.0,0.06426251381906523
feedback_only,fresh_iid,development_best,4,0.042107041708694656,0.041759014806496304,0.042484878981893376,20,80,8.0,0.04206743340851097
feedback_only,fresh_iid,development_best,8,0.0,0.0,0.0,20,80,8.0,0.0
feedback_only,fresh_iid,empirical_split_fullbatch,all,0.0003015028413508615,0.00017518821919573457,0.00044585722978679514,20,320,3.75,0.00029182338350680913
feedback_only,fresh_iid,empirical_split_fullbatch,1,0.0,0.0,0.0,20,80,1.0,0.0
feedback_only,fresh_iid,empirical_split_fullbatch,2,0.0011258468240441513,0.0006127697552108095,0.001713483660800186,20,80,2.0,0.001076721709670205
feedback_only,fresh_iid,empirical_split_fullbatch,4,8.0164541359295e-05,0.0,0.00018360901392554753,20,80,4.0,9.057182435703126e-05
feedback_only,fresh_iid,empirical_split_fullbatch,8,0.0,0.0,0.0,20,80,8.0,0.0
feedback_only,fresh_iid,gaussian_oracle_fullbatch,all,0.00025918844168109094,0.0001456475947851039,0.0003959963881584311,20,320,3.75,0.00024137526151493406
feedback_only,fresh_iid,gaussian_oracle_fullbatch,1,0.0,0.0,0.0,20,80,1.0,0.0
feedback_only,fresh_iid,gaussian_oracle_fullbatch,2,0.0010057262491626512,0.0005493247001093298,0.0015535010590319572,20,80,2.0,0.0009246067991535673
feedback_only,fresh_iid,gaussian_oracle_fullbatch,4,3.10275175617125e-05,0.0,8.25243439242825e-05,20,80,4.0,4.0894246906168754e-05
feedback_only,fresh_iid,gaussian_oracle_fullbatch,8,0.0,0.0,0.0,20,80,8.0,0.0
feedback_only,fresh_iid,gaussian_oracle_sgd,all,4.661721634223876e-05,1.643652151996775e-05,8.2069865415251e-05,20,320,3.75,3.4411722241862975e-05
feedback_only,fresh_iid,gaussian_oracle_sgd,1,0.0,0.0,0.0,20,80,1.0,0.0
feedback_only,fresh_iid,gaussian_oracle_sgd,2,0.00013168275982306627,4.8160532708923136e-05,0.0002355970387529641,20,80,2.0,8.12641063378319e-05
feedback_only,fresh_iid,gaussian_oracle_sgd,4,5.4786105545888754e-05,0.0,0.00015380010787681127,20,80,4.0,5.638278262962e-05
feedback_only,fresh_iid,gaussian_oracle_sgd,8,0.0,0.0,0.0,20,80,8.0,0.0
feedback_only,fresh_iid,gaussian_plugin_fullbatch,all,0.00025918844168109094,0.0001456475947851039,0.0003959963881584311,20,320,3.75,0.00024137526151493406
feedback_only,fresh_iid,gaussian_plugin_fullbatch,1,0.0,0.0,0.0,20,80,1.0,0.0
feedback_only,fresh_iid,gaussian_plugin_fullbatch,2,0.0010057262491626512,0.0005493247001093298,0.0015535010590319572,20,80,2.0,0.0009246067991535673
feedback_only,fresh_iid,gaussian_plugin_fullbatch,4,3.10275175617125e-05,0.0,8.25243439242825e-05,20,80,4.0,4.0894246906168754e-05
feedback_only,fresh_iid,gaussian_plugin_fullbatch,8,0.0,0.0,0.0,20,80,8.0,0.0
feedback_only,fresh_iid,gaussian_plugin_sgd,all,3.742329351534094e-05,1.4227142389075243e-05,6.569749826818773e-05,20,320,3.75,2.492688589391235e-05
feedback_only,fresh_iid,gaussian_plugin_sgd,1,0.0,0.0,0.0,20,80,1.0,0.0
feedback_only,fresh_iid,gaussian_plugin_sgd,2,0.00013913496530050878,5.4979479530718536e-05,0.00024128909662604655,20,80,2.0,8.316412050186316e-05
feedback_only,fresh_iid,gaussian_plugin_sgd,4,1.0558208760855e-05,0.0,3.1674626282565e-05,20,80,4.0,1.654342307378625e-05
feedback_only,fresh_iid,gaussian_plugin_sgd,8,0.0,0.0,0.0,20,80,8.0,0.0
feedback_only,fresh_iid,maximum_budget,all,0.04494227291555148,0.044517068618895025,0.04546236767286387,20,320,8.0,0.04487415277860539
feedback_only,fresh_iid,maximum_budget,1,0.07323377566537129,0.07241104607480017,0.07415660522518919,20,80,8.0,0.07316666388684537
feedback_only,fresh_iid,maximum_budget,2,0.06442827428813999,0.06331931201207762,0.06583239139256532,20,80,8.0,0.06426251381906523
feedback_only,fresh_iid,maximum_budget,4,0.042107041708694656,0.041759014806496304,0.042484878981893376,20,80,8.0,0.04206743340851097
feedback_only,fresh_iid,maximum_budget,8,0.0,0.0,0.0,20,80,8.0,0.0
feedback_only,fresh_iid,observed_count_cheapest,all,0.00025918844168109425,0.00014564759478510569,0.00039599638815843575,20,320,3.75,0.00024137526151493706
feedback_only,fresh_iid,observed_count_cheapest,1,0.0,0.0,0.0,20,80,1.0,0.0
feedback_only,fresh_iid,observed_count_cheapest,2,0.0010057262491626633,0.0005493247001093346,0.0015535010590319721,20,80,2.0,0.0009246067991535781
feedback_only,fresh_iid,observed_count_cheapest,4,3.102751756171376e-05,0.0,8.252434392428537e-05,20,80,4.0,4.089424690617016e-05
feedback_only,fresh_iid,observed_count_cheapest,8,0.0,0.0,0.0,20,80,8.0,0.0
feedback_only,fresh_iid,observed_count_conditioning,all,3.7423293515342386e-05,1.4227142389076185e-05,6.569749826818986e-05,20,320,3.75,2.4926885893913377e-05
feedback_only,fresh_iid,observed_count_conditioning,1,0.0,0.0,0.0,20,80,1.0,0.0
feedback_only,fresh_iid,observed_count_conditioning,2,0.0001391349653005136,5.4979479530721416e-05,0.00024128909662605503,20,80,2.0,8.316412050186628e-05
feedback_only,fresh_iid,observed_count_conditioning,4,1.0558208760855919e-05,0.0,3.167462628256776e-05,20,80,4.0,1.6543423073787227e-05
feedback_only,fresh_iid,observed_count_conditioning,8,0.0,0.0,0.0,20,80,8.0,0.0
feedback_only,fresh_iid,original_scalar,all,0.08159653109231671,0.07243895661492487,0.09082438437059544,20,320,4.984375,0.08130428069376532
feedback_only,fresh_iid,original_scalar,1,0.04817186450498317,0.0451221125528637,0.051132786597779006,20,80,5.45,0.04811531942335011
feedback_only,fresh_iid,original_scalar,2,0.03335920980156347,0.0317218730417107,0.03492387713604448,20,80,4.95,0.033191139236290315
feedback_only,fresh_iid,original_scalar,4,0.019800310312932317,0.016681572777189416,0.021998940507969477,20,80,5.8,0.01978109697061885
feedback_only,fresh_iid,original_scalar,8,0.2250547397497879,0.18620638523952068,0.26393701209325315,20,80,3.7375,0.22412956714480198
feedback_only,fresh_iid,pilot16,all,0.009850814142471662,0.008597366966754715,0.01101618908314103,20,320,4.5875,0.009795296006661257
feedback_only,fresh_iid,pilot16,1,0.007266292305762227,0.006183733882396198,0.008722447382543541,20,80,1.6,0.0072489268218264066
feedback_only,fresh_iid,pilot16,2,0.011396253483749477,0.008274375098375015,0.014669411498765696,20,80,2.85,0.011230237634768058
feedback_only,fresh_iid,pilot16,4,0.020740710780374948,0.018444868812113,0.02206165332624887,20,80,5.9,0.020702019570050564
feedback_only,fresh_iid,pilot16,8,0.0,0.0,0.0,20,80,8.0,0.0
feedback_only,fresh_iid,rank_only,all,0.008429768847129378,0.008230532926141372,0.008682351031023461,20,320,4.5,0.008386086897030109
feedback_only,fresh_iid,rank_only,1,0.011612193604451771,0.011420235738100217,0.011853474019367925,20,80,2.0,0.011594206379272911
feedback_only,fresh_iid,rank_only,2,0.022075854266504026,0.02136679809491259,0.022919746717594926,20,80,4.0,0.021909246961941357
feedback_only,fresh_iid,rank_only,4,3.10275175617125e-05,0.0,8.25243439242825e-05,20,80,4.0,4.0894246906168754e-05
feedback_only,fresh_iid,rank_only,8,0.0,0.0,0.0,20,80,8.0,0.0
joint_forward_feedback,fixed_cache,development_best,all,0.04269525727610811,0.04251638007592728,0.042869370094679574,20,320,8.0,0.04270812365060648
joint_forward_feedback,fixed_cache,development_best,1,0.07106661970370896,0.0708047427483059,0.07135858343354584,20,80,8.0,0.07106866131140643
joint_forward_feedback,fixed_cache,development_best,2,0.06072791068853767,0.06051895106901938,0.060963874526571565,20,80,8.0,0.06080954116475877
joint_forward_feedback,fixed_cache,development_best,4,0.038960453560172956,0.03850117704851454,0.03942017640300343,20,80,8.0,0.038935082913733106
joint_forward_feedback,fixed_cache,development_best,8,2.604515201286969e-05,9.75605182531694e-06,4.574365368163607e-05,20,80,8.0,1.920921252757905e-05
joint_forward_feedback,fixed_cache,empirical_split_fullbatch,all,0.0003625304517367682,0.00019797405676816562,0.0006134216652994398,20,320,3.75,0.00036780258694817986
joint_forward_feedback,fixed_cache,empirical_split_fullbatch,1,0.0,0.0,0.0,20,80,1.0,0.0
joint_forward_feedback,fixed_cache,empirical_split_fullbatch,2,0.0005453610756302838,7.87741689735e-06,0.0015268830185466015,20,80,2.0,0.00052080271777899
joint_forward_feedback,fixed_cache,empirical_split_fullbatch,4,0.00023941699632940827,2.2731801010160002e-05,0.000536035458108375,20,80,4.0,0.00023374276173704378
joint_forward_feedback,fixed_cache,empirical_split_fullbatch,8,0.0006653437349873806,0.00045662259067159254,0.0008941650418035125,20,80,8.0,0.0007166648682766857
joint_forward_feedback,fixed_cache,gaussian_oracle_fullbatch,all,8.635596669709808e-06,3.0431836421851518e-06,1.5375556046398942e-05,20,320,3.75,8.25415346833289e-06
joint_forward_feedback,fixed_cache,gaussian_oracle_fullbatch,1,0.0,0.0,0.0,20,80,1.0,0.0
joint_forward_feedback,fixed_cache,gaussian_oracle_fullbatch,2,7.87741689735e-06,0.0,2.363225069205e-05,20,80,2.0,1.3807401345752498e-05
joint_forward_feedback,fixed_cache,gaussian_oracle_fullbatch,4,6.198177686195412e-07,0.0,1.8594533058586236e-06,20,80,4.0,0.0
joint_forward_feedback,fixed_cache,gaussian_oracle_fullbatch,8,2.604515201286969e-05,9.75605182531694e-06,4.574365368163607e-05,20,80,8.0,1.920921252757905e-05
joint_forward_feedback,fixed_cache,gaussian_oracle_sgd,all,8.635596669709808e-06,3.0431836421851518e-06,1.5375556046398942e-05,20,320,3.75,8.25415346833289e-06
joint_forward_feedback,fixed_cache,gaussian_oracle_sgd,1,0.0,0.0,0.0,20,80,1.0,0.0
