arm,regime,method,rank,budget_k,tree_id,n_tasks
feedback_only,fixed_cache,development_best,1,8,balanced_contiguous,80
feedback_only,fixed_cache,development_best,2,8,balanced_contiguous,80
feedback_only,fixed_cache,development_best,4,8,balanced_contiguous,80
feedback_only,fixed_cache,development_best,8,8,balanced_contiguous,80
feedback_only,fixed_cache,empirical_split_fullbatch,1,1,balanced_contiguous,80
feedback_only,fixed_cache,empirical_split_fullbatch,2,2,balanced_contiguous,75
feedback_only,fixed_cache,empirical_split_fullbatch,2,2,balanced_interleaved,2
feedback_only,fixed_cache,empirical_split_fullbatch,2,2,balanced_permutation_b,2
feedback_only,fixed_cache,empirical_split_fullbatch,2,2,comb_contiguous,1
feedback_only,fixed_cache,empirical_split_fullbatch,4,4,balanced_contiguous,78
feedback_only,fixed_cache,empirical_split_fullbatch,4,4,balanced_permutation_b,2
feedback_only,fixed_cache,empirical_split_fullbatch,8,8,balanced_contiguous,80
feedback_only,fixed_cache,gaussian_oracle_fullbatch,1,1,balanced_contiguous,80
feedback_only,fixed_cache,gaussian_oracle_fullbatch,2,2,balanced_contiguous,80
feedback_only,fixed_cache,gaussian_oracle_fullbatch,4,4,balanced_contiguous,80
feedback_only,fixed_cache,gaussian_oracle_fullbatch,8,8,balanced_contiguous,80
feedback_only,fixed_cache,gaussian_oracle_sgd,1,1,balanced_contiguous,80
feedback_only,fixed_cache,gaussian_oracle_sgd,2,2,balanced_contiguous,56
feedback_only,fixed_cache,gaussian_oracle_sgd,2,2,balanced_interleaved,6
feedback_only,fixed_cache,gaussian_oracle_sgd,2,2,balanced_permutation_a,1
feedback_only,fixed_cache,gaussian_oracle_sgd,2,2,balanced_permutation_b,6
feedback_only,fixed_cache,gaussian_oracle_sgd,2,2,comb_contiguous,11
feedback_only,fixed_cache,gaussian_oracle_sgd,4,4,balanced_contiguous,78
feedback_only,fixed_cache,gaussian_oracle_sgd,4,4,balanced_permutation_a,1
feedback_only,fixed_cache,gaussian_oracle_sgd,4,4,balanced_permutation_b,1
feedback_only,fixed_cache,gaussian_oracle_sgd,8,8,balanced_contiguous,80
feedback_only,fixed_cache,gaussian_plugin_fullbatch,1,1,balanced_contiguous,80
feedback_only,fixed_cache,gaussian_plugin_fullbatch,2,2,balanced_contiguous,80
feedback_only,fixed_cache,gaussian_plugin_fullbatch,4,4,balanced_contiguous,80
feedback_only,fixed_cache,gaussian_plugin_fullbatch,8,8,balanced_contiguous,80
feedback_only,fixed_cache,gaussian_plugin_sgd,1,1,balanced_contiguous,80
feedback_only,fixed_cache,gaussian_plugin_sgd,2,2,balanced_contiguous,57
feedback_only,fixed_cache,gaussian_plugin_sgd,2,2,balanced_interleaved,5
feedback_only,fixed_cache,gaussian_plugin_sgd,2,2,balanced_permutation_a,1
feedback_only,fixed_cache,gaussian_plugin_sgd,2,2,balanced_permutation_b,6
feedback_only,fixed_cache,gaussian_plugin_sgd,2,2,comb_contiguous,11
feedback_only,fixed_cache,gaussian_plugin_sgd,4,4,balanced_contiguous,79
feedback_only,fixed_cache,gaussian_plugin_sgd,4,4,balanced_permutation_a,1
feedback_only,fixed_cache,gaussian_plugin_sgd,8,8,balanced_contiguous,80
feedback_only,fixed_cache,maximum_budget,1,8,balanced_contiguous,80
feedback_only,fixed_cache,maximum_budget,2,8,balanced_contiguous,80
feedback_only,fixed_cache,maximum_budget,4,8,balanced_contiguous,80
feedback_only,fixed_cache,maximum_budget,8,8,balanced_contiguous,80
feedback_only,fixed_cache,observed_count_cheapest,1,1,balanced_contiguous,80
feedback_only,fixed_cache,observed_count_cheapest,2,2,balanced_contiguous,80
feedback_only,fixed_cache,observed_count_cheapest,4,4,balanced_contiguous,80
feedback_only,fixed_cache,observed_count_cheapest,8,8,balanced_contiguous,80
feedback_only,fixed_cache,observed_count_conditioning,1,1,balanced_contiguous,80
feedback_only,fixed_cache,observed_count_conditioning,2,2,balanced_contiguous,57
feedback_only,fixed_cache,observed_count_conditioning,2,2,balanced_interleaved,5
feedback_only,fixed_cache,observed_count_conditioning,2,2,balanced_permutation_a,1
feedback_only,fixed_cache,observed_count_conditioning,2,2,balanced_permutation_b,6
feedback_only,fixed_cache,observed_count_conditioning,2,2,comb_contiguous,11
feedback_only,fixed_cache,observed_count_conditioning,4,4,balanced_contiguous,79
feedback_only,fixed_cache,observed_count_conditioning,4,4,balanced_permutation_a,1
feedback_only,fixed_cache,observed_count_conditioning,8,8,balanced_contiguous,80
feedback_only,fixed_cache,original_scalar,1,2,balanced_contiguous,10
feedback_only,fixed_cache,original_scalar,1,2,balanced_interleaved,2
feedback_only,fixed_cache,original_scalar,1,2,balanced_permutation_b,2
feedback_only,fixed_cache,original_scalar,1,2,comb_contiguous,4
feedback_only,fixed_cache,original_scalar,1,4,balanced_contiguous,4
feedback_only,fixed_cache,original_scalar,1,4,balanced_interleaved,8
feedback_only,fixed_cache,original_scalar,1,4,balanced_permutation_a,2
feedback_only,fixed_cache,original_scalar,1,4,balanced_permutation_b,8
feedback_only,fixed_cache,original_scalar,1,4,comb_contiguous,2
feedback_only,fixed_cache,original_scalar,1,8,balanced_contiguous,38
feedback_only,fixed_cache,original_scalar,2,2,balanced_contiguous,40
feedback_only,fixed_cache,original_scalar,2,4,balanced_contiguous,1
feedback_only,fixed_cache,original_scalar,2,8,balanced_contiguous,39
feedback_only,fixed_cache,original_scalar,4,4,balanced_contiguous,42
feedback_only,fixed_cache,original_scalar,4,4,comb_contiguous,2
feedback_only,fixed_cache,original_scalar,4,8,balanced_contiguous,36
feedback_only,fixed_cache,original_scalar,8,1,balanced_contiguous,9
feedback_only,fixed_cache,original_scalar,8,2,balanced_contiguous,11
feedback_only,fixed_cache,original_scalar,8,2,balanced_interleaved,2
feedback_only,fixed_cache,original_scalar,8,2,balanced_permutation_a,5
feedback_only,fixed_cache,original_scalar,8,2,balanced_permutation_b,6
feedback_only,fixed_cache,original_scalar,8,2,comb_contiguous,3
feedback_only,fixed_cache,original_scalar,8,4,balanced_contiguous,9
feedback_only,fixed_cache,original_scalar,8,4,balanced_interleaved,4
feedback_only,fixed_cache,original_scalar,8,4,balanced_permutation_a,11
feedback_only,fixed_cache,original_scalar,8,4,balanced_permutation_b,5
feedback_only,fixed_cache,original_scalar,8,8,balanced_contiguous,15
feedback_only,fixed_cache,pilot16,1,1,balanced_contiguous,40
feedback_only,fixed_cache,pilot16,1,2,balanced_contiguous,13
feedback_only,fixed_cache,pilot16,1,2,balanced_interleaved,4
feedback_only,fixed_cache,pilot16,1,2,balanced_permutation_a,9
feedback_only,fixed_cache,pilot16,1,2,balanced_permutation_b,7
feedback_only,fixed_cache,pilot16,1,2,comb_contiguous,5
feedback_only,fixed_cache,pilot16,1,4,balanced_interleaved,1
feedback_only,fixed_cache,pilot16,1,4,balanced_permutation_a,1
feedback_only,fixed_cache,pilot16,2,2,balanced_contiguous,50
feedback_only,fixed_cache,pilot16,2,4,balanced_contiguous,7
feedback_only,fixed_cache,pilot16,2,4,balanced_interleaved,8
feedback_only,fixed_cache,pilot16,2,4,balanced_permutation_a,3
feedback_only,fixed_cache,pilot16,2,4,balanced_permutation_b,4
feedback_only,fixed_cache,pilot16,2,4,comb_contiguous,6
feedback_only,fixed_cache,pilot16,2,8,balanced_contiguous,2
feedback_only,fixed_cache,pilot16,4,4,balanced_contiguous,43
feedback_only,fixed_cache,pilot16,4,4,comb_contiguous,1
feedback_only,fixed_cache,pilot16,4,8,balanced_contiguous,36
feedback_only,fixed_cache,pilot16,8,8,balanced_contiguous,80
feedback_only,fixed_cache,rank_only,1,2,balanced_permutation_a,80
feedback_only,fixed_cache,rank_only,2,4,balanced_contiguous,80
feedback_only,fixed_cache,rank_only,4,4,balanced_contiguous,80
feedback_only,fixed_cache,rank_only,8,8,balanced_contiguous,80
feedback_only,fresh_iid,development_best,1,8,balanced_contiguous,80
feedback_only,fresh_iid,development_best,2,8,balanced_contiguous,80
feedback_only,fresh_iid,development_best,4,8,balanced_contiguous,80
feedback_only,fresh_iid,development_best,8,8,balanced_contiguous,80
feedback_only,fresh_iid,empirical_split_fullbatch,1,1,balanced_contiguous,80
feedback_only,fresh_iid,empirical_split_fullbatch,2,2,balanced_contiguous,75
feedback_only,fresh_iid,empirical_split_fullbatch,2,2,balanced_interleaved,2
feedback_only,fresh_iid,empirical_split_fullbatch,2,2,balanced_permutation_b,2
feedback_only,fresh_iid,empirical_split_fullbatch,2,2,comb_contiguous,1
feedback_only,fresh_iid,empirical_split_fullbatch,4,4,balanced_contiguous,78
feedback_only,fresh_iid,empirical_split_fullbatch,4,4,balanced_permutation_b,2
feedback_only,fresh_iid,empirical_split_fullbatch,8,8,balanced_contiguous,80
feedback_only,fresh_iid,gaussian_oracle_fullbatch,1,1,balanced_contiguous,80
feedback_only,fresh_iid,gaussian_oracle_fullbatch,2,2,balanced_contiguous,80
feedback_only,fresh_iid,gaussian_oracle_fullbatch,4,4,balanced_contiguous,80
feedback_only,fresh_iid,gaussian_oracle_fullbatch,8,8,balanced_contiguous,80
feedback_only,fresh_iid,gaussian_oracle_sgd,1,1,balanced_contiguous,80
feedback_only,fresh_iid,gaussian_oracle_sgd,2,2,balanced_contiguous,56
feedback_only,fresh_iid,gaussian_oracle_sgd,2,2,balanced_interleaved,6
feedback_only,fresh_iid,gaussian_oracle_sgd,2,2,balanced_permutation_a,1
feedback_only,fresh_iid,gaussian_oracle_sgd,2,2,balanced_permutation_b,6
feedback_only,fresh_iid,gaussian_oracle_sgd,2,2,comb_contiguous,11
feedback_only,fresh_iid,gaussian_oracle_sgd,4,4,balanced_contiguous,78
feedback_only,fresh_iid,gaussian_oracle_sgd,4,4,balanced_permutation_a,1
feedback_only,fresh_iid,gaussian_oracle_sgd,4,4,balanced_permutation_b,1
feedback_only,fresh_iid,gaussian_oracle_sgd,8,8,balanced_contiguous,80
feedback_only,fresh_iid,gaussian_plugin_fullbatch,1,1,balanced_contiguous,80
feedback_only,fresh_iid,gaussian_plugin_fullbatch,2,2,balanced_contiguous,80
feedback_only,fresh_iid,gaussian_plugin_fullbatch,4,4,balanced_contiguous,80
feedback_only,fresh_iid,gaussian_plugin_fullbatch,8,8,balanced_contiguous,80
feedback_only,fresh_iid,gaussian_plugin_sgd,1,1,balanced_contiguous,80
feedback_only,fresh_iid,gaussian_plugin_sgd,2,2,balanced_contiguous,57
feedback_only,fresh_iid,gaussian_plugin_sgd,2,2,balanced_interleaved,5
feedback_only,fresh_iid,gaussian_plugin_sgd,2,2,balanced_permutation_a,1
feedback_only,fresh_iid,gaussian_plugin_sgd,2,2,balanced_permutation_b,6
feedback_only,fresh_iid,gaussian_plugin_sgd,2,2,comb_contiguous,11
feedback_only,fresh_iid,gaussian_plugin_sgd,4,4,balanced_contiguous,79
feedback_only,fresh_iid,gaussian_plugin_sgd,4,4,balanced_permutation_a,1
feedback_only,fresh_iid,gaussian_plugin_sgd,8,8,balanced_contiguous,80
feedback_only,fresh_iid,maximum_budget,1,8,balanced_contiguous,80
feedback_only,fresh_iid,maximum_budget,2,8,balanced_contiguous,80
