arm,regime,reference,comparator,reference_regret_reduction,ci95_low,ci95_high,positive_seeds,n_seed_blocks
feedback_only,fresh_iid,observed_count_cheapest,maximum_budget,0.04468308447387039,0.04431210814002909,0.04510453992390669,20,20
feedback_only,fresh_iid,observed_count_cheapest,observed_count_conditioning,-0.00022176514816575187,-0.00035139630087736954,-0.00010951961742840116,5,20
feedback_only,fresh_iid,observed_count_cheapest,original_scalar,0.08133734265063561,0.07223162277214636,0.09055388391444236,20,20
feedback_only,fresh_iid,observed_count_cheapest,pilot16,0.009591625700790567,0.008357052326819504,0.010767708893850689,20,20
feedback_only,fresh_iid,observed_count_cheapest,rank_only,0.008170580405448285,0.008038487536905298,0.008322666588465484,20,20
joint_forward_feedback,fixed_cache,gaussian_plugin_sgd,development_best,0.042653576512667477,0.042461931161647135,0.04283946926296743,20,20
joint_forward_feedback,fixed_cache,gaussian_plugin_sgd,empirical_split_fullbatch,0.0003208496882961317,0.00013950676737514302,0.0005831341077196183,18,20
joint_forward_feedback,fixed_cache,gaussian_plugin_sgd,gaussian_oracle_fullbatch,-3.304516677092668e-05,-8.172870802085512e-05,0.0,1,20
joint_forward_feedback,fixed_cache,gaussian_plugin_sgd,gaussian_oracle_sgd,-3.304516677092668e-05,-8.172870802085512e-05,0.0,1,20
joint_forward_feedback,fixed_cache,gaussian_plugin_sgd,gaussian_plugin_fullbatch,-7.290820837704063e-06,-2.0264591927948125e-05,0.0,0,20
joint_forward_feedback,fixed_cache,gaussian_plugin_sgd,maximum_budget,0.042653576512667477,0.042461931161647135,0.04283946926296743,20,20
joint_forward_feedback,fixed_cache,gaussian_plugin_sgd,observed_count_cheapest,0.00015540896404418313,3.970091078682191e-05,0.0002997610633509777,9,20
joint_forward_feedback,fixed_cache,gaussian_plugin_sgd,observed_count_conditioning,1.7749575409713864e-18,5.215944185897256e-19,3.3690820180334508e-18,8,20
joint_forward_feedback,fixed_cache,gaussian_plugin_sgd,original_scalar,0.10064960746389688,0.09498504711800021,0.10623554828234584,20,20
joint_forward_feedback,fixed_cache,gaussian_plugin_sgd,pilot16,0.019423747900586024,0.01744417165452071,0.021173159501744573,20,20
joint_forward_feedback,fixed_cache,gaussian_plugin_sgd,rank_only,0.008155488072606779,0.008037535125438642,0.00829092377653967,20,20
joint_forward_feedback,fixed_cache,observed_count_cheapest,development_best,0.042498167548623296,0.042246652789142365,0.04274450307260468,20,20
