budget,endpoint,optimizer,rule,count,near_floor_count_0_065,clean_population_below_0_02_count,median_test_nmse,maximum_test_nmse
1024,terminal,adam,calibrated_broadcast,20,0,0,1.0276583313344223,1.1333068520174434
1024,terminal,adam,exact,20,17,17,0.046501065119379674,1.0571671256988753
1024,terminal,adam,sign_broadcast,20,0,0,1.0276582985957408,1.1333070130035834
1024,terminal,adam,unit_broadcast,20,0,0,1.0119183605975475,1.0664546705921132
1024,terminal,sgd,calibrated_broadcast,20,0,0,1.0224916431730136,1.0737997371944565
1024,terminal,sgd,exact,20,11,11,0.05393486081732128,1.0368166411430484
1024,terminal,sgd,sign_broadcast,20,0,0,1.0354232482034664,1.0665397430266503
1024,terminal,sgd,unit_broadcast,20,0,0,1.005876850842835,1.065025598556276
1024,validation_selected,adam,calibrated_broadcast,20,0,0,0.9905626041757085,1.064135503358553
1024,validation_selected,adam,exact,20,17,17,0.046501065119379674,1.0571671256988753
1024,validation_selected,adam,sign_broadcast,20,0,0,0.9905625950399648,1.0641355105029748
1024,validation_selected,adam,unit_broadcast,20,0,0,1.0104249154300486,1.0664546705921132
1024,validation_selected,sgd,calibrated_broadcast,20,0,0,1.0097531038709926,1.070529500453514
1024,validation_selected,sgd,exact,20,11,11,0.05393486081732128,1.0368166411430484
1024,validation_selected,sgd,sign_broadcast,20,0,0,1.0173960688291661,1.070420698495649
1024,validation_selected,sgd,unit_broadcast,20,0,0,0.9926569404106553,1.0628426816885175
4096,terminal,adam,calibrated_broadcast,20,0,0,1.0205219071118035,1.1092913886856954
4096,terminal,adam,exact,20,20,20,0.04581585513875712,0.04843546061293498
4096,terminal,adam,sign_broadcast,20,0,0,1.0205219455456809,1.109291496877673
4096,terminal,adam,unit_broadcast,20,0,0,1.0249383391041298,1.0750931116968414
4096,terminal,sgd,calibrated_broadcast,20,0,0,1.024751675212083,1.0659564449724988
4096,terminal,sgd,exact,20,18,18,0.04582108097671399,0.5543720952613193
4096,terminal,sgd,sign_broadcast,20,0,0,1.0331401596725613,1.070284148129827
4096,terminal,sgd,unit_broadcast,20,0,0,1.0137537804512344,1.0788810380944098
4096,validation_selected,adam,calibrated_broadcast,20,0,0,0.9409172146011641,1.0498405180787873
4096,validation_selected,adam,exact,20,20,20,0.04565785755187368,0.04843546061293498
4096,validation_selected,adam,sign_broadcast,20,0,0,0.9409164475179057,1.0498405645791922
4096,validation_selected,adam,unit_broadcast,20,0,0,0.9476655010040314,1.052758721794056
4096,validation_selected,sgd,calibrated_broadcast,20,0,0,0.997209509802579,1.0458126524973148
4096,validation_selected,sgd,exact,20,18,18,0.04546491773707276,0.5534539821287549
4096,validation_selected,sgd,sign_broadcast,20,0,0,1.0039427115572679,1.0695950238835223
4096,validation_selected,sgd,unit_broadcast,20,0,0,0.9438826452170135,1.0660300747176354
8192,terminal,adam,calibrated_broadcast,20,0,0,1.035341978577765,1.1619034810105893
8192,terminal,adam,exact,20,20,20,0.04634605983675183,0.04929742640467562
8192,terminal,adam,sign_broadcast,20,0,0,1.0284526162402279,1.0987981459798837
8192,terminal,adam,unit_broadcast,20,0,0,1.0263407521740548,1.071990507095908
8192,terminal,sgd,calibrated_broadcast,20,0,0,1.018205921540925,1.0695992142730066
8192,terminal,sgd,exact,20,19,19,0.045810777167099734,0.08594030186983014
8192,terminal,sgd,sign_broadcast,20,0,0,1.0315273430878267,1.0662466847541483
8192,terminal,sgd,unit_broadcast,20,0,0,1.0100156533511044,1.1367392918748624
8192,validation_selected,adam,calibrated_broadcast,20,0,0,0.9409172146011641,1.061617294003985
8192,validation_selected,adam,exact,20,20,20,0.04551810899194697,0.04843546061293498
8192,validation_selected,adam,sign_broadcast,20,0,0,0.9409164475179057,1.0616284428654634
8192,validation_selected,adam,unit_broadcast,20,0,0,0.9476655010040314,1.0455917238450607
8192,validation_selected,sgd,calibrated_broadcast,20,0,0,0.99431918259925,1.0439970886098158
8192,validation_selected,sgd,exact,20,19,19,0.04546491773707276,0.08594030186983014
8192,validation_selected,sgd,sign_broadcast,20,0,0,0.988475703291039,1.0640197195611565
8192,validation_selected,sgd,unit_broadcast,20,0,0,0.9126797238318582,1.0660300747176354
16384,terminal,adam,calibrated_broadcast,20,0,0,1.0769009879281601,1.165116095061752
16384,terminal,adam,exact,20,20,20,0.046139816887902356,0.049799828488796744
16384,terminal,adam,sign_broadcast,20,0,0,1.068145257585035,1.221502190500293
16384,terminal,adam,unit_broadcast,20,0,0,1.0287759886103656,1.0663687502967205
16384,terminal,sgd,calibrated_broadcast,20,0,0,1.0175238692372015,1.0699201294120146
16384,terminal,sgd,exact,20,20,20,0.045646309754871287,0.04879376659674145
16384,terminal,sgd,sign_broadcast,20,0,0,1.0293232182140315,1.058339492181468
16384,terminal,sgd,unit_broadcast,20,0,0,1.017694534621864,1.4147261706038936
16384,validation_selected,adam,calibrated_broadcast,20,0,0,0.9409172146011641,1.039002685217851
16384,validation_selected,adam,exact,20,20,20,0.04541529068160535,0.04896081773496164
16384,validation_selected,adam,sign_broadcast,20,0,0,0.9409164475179057,1.0389847846038474
16384,validation_selected,adam,unit_broadcast,20,0,0,0.9476655010040314,1.0421971133533436
16384,validation_selected,sgd,calibrated_broadcast,20,0,0,0.9805549038660675,1.0391970461407443
16384,validation_selected,sgd,exact,20,20,20,0.04527664158249092,0.04837055524096194
16384,validation_selected,sgd,sign_broadcast,20,0,0,0.9725300406729558,1.051377998150242
16384,validation_selected,sgd,unit_broadcast,20,0,0,0.8754493520876268,1.0475545815259428
