step,task,path_best_rank_one_capture,path_effective_rank,credit_best_rank_one_capture
1024,matching,0.99726077202714,1.0056463212360682,0.9972973231631987
1024,nested,0.44824518872542407,3.4167017786858564,0.5527499122268807
1024,quartet,0.4610013238828853,3.2382521758495715,0.5063084376072122
4096,matching,0.9999328238592456,1.0001343676062275,0.9999377553000954
4096,nested,0.43977228992354744,3.4722976362684945,0.5505384703401656
4096,quartet,0.421041575239067,3.5184872770258133,0.4967707899677702
8192,matching,0.9999230421420424,1.0001539383013753,0.9999243072483601
8192,nested,0.4265653717242519,3.5536654955671265,0.561272869790663
8192,quartet,0.4118779728846757,3.624099751804914,0.46479420896311996
16384,matching,0.9999138149158806,1.0001723973479009,0.9999215219055161
16384,nested,0.40488133216684086,3.680069176580395,0.5118507224119168
16384,quartet,0.3955439092898059,3.802110719433615,0.4464245183073997
