seed,task,step,optimizer,rule,rate,outcome_rows_checked,test_nmse,validation_nmse,population_nmse
211200,matching,512,sgd,unit_broadcast,0.03,1,0.022948222049847207,0.021307175869292386,0.0006134275487876376
211200,matching,512,sgd,sign_broadcast,0.03,1,0.022744029673277034,0.021214067519682453,0.0003404032394757059
211200,matching,512,adam,exact,0.003,1,0.023083261412217337,0.02157143764219673,0.0006213423127837611
211200,matching,512,adam,calibrated_broadcast,0.003,1,0.023150490641044578,0.021652058293274757,0.0006465368477772114
211200,matching,512,adam,calibrated_broadcast,0.01,2,0.022897528590626694,0.021244000327830886,0.000596042756901818
211200,matching,512,adam,sign_broadcast,0.003,1,0.02315049028977232,0.02165205771870876,0.0006465363931892316
211200,matching,512,adam,sign_broadcast,0.01,2,0.0228975291788023,0.02124400059300032,0.0005960437646123321
211200,matching,1024,sgd,exact,0.03,2,0.022802064264452672,0.021258324034159365,0.00036619411704501785
211200,matching,1024,sgd,unit_broadcast,0.01,2,0.027887482588888596,0.02553947710864181,0.00554817390016004
211200,matching,1024,sgd,unit_broadcast,0.03,1,0.022931782549278495,0.02155878847913161,0.0004119263516160868
211200,matching,1024,sgd,calibrated_broadcast,0.03,2,0.05044773595394864,0.04871995045684732,0.029223913622055522
211200,matching,1024,sgd,sign_broadcast,0.01,2,0.022890641585881433,0.021315530021430197,0.00043810366007296635
211200,matching,1024,sgd,sign_broadcast,0.03,1,0.02295531806036412,0.021509678367023576,0.0004309568889202716
211200,matching,1024,adam,exact,0.003,1,0.023399477291412465,0.02190676522643159,0.0009797905949602034
211200,matching,1024,adam,unit_broadcast,0.003,2,0.022933441861028366,0.021430530299713417,0.0005693513982132504
211200,matching,1024,adam,calibrated_broadcast,0.003,1,0.02338101361112055,0.021973990755228795,0.0009232026679863695
211200,matching,1024,adam,calibrated_broadcast,0.01,1,0.024839717215678028,0.02306416726139405,0.0021214020323095666
211200,matching,1024,adam,sign_broadcast,0.003,1,0.023381013826668677,0.021973990973788236,0.0009232028643008308
211200,matching,1024,adam,sign_broadcast,0.01,1,0.02483971761100622,0.023064166143484877,0.0021214017686851097
211200,matching,2560,sgd,exact,0.03,2,0.02255727545479786,0.021095698256173037,0.00019207147617754773
211200,matching,2560,sgd,unit_broadcast,0.01,2,0.02257681472052269,0.02111135132582622,0.0001821216067899089
211200,matching,2560,sgd,sign_broadcast,0.01,3,0.022574174173939313,0.021116801168939645,0.00017951831557553802
211200,matching,2560,adam,exact,0.003,3,0.022694193014486275,0.02111953061517048,0.0002634041041065151
211200,matching,2560,adam,unit_broadcast,0.003,3,0.022594922195683403,0.020992812904835047,0.00021645345686445279
211200,matching,2560,adam,calibrated_broadcast,0.003,3,0.022618280482677573,0.021021076933201842,0.0002717387540347725
211200,matching,2560,adam,sign_broadcast,0.003,3,0.022618281199322,0.021021077616657058,0.00027173926313133303
211200,matching,2816,sgd,unit_broadcast,0.03,1,0.02265046571657134,0.02109338332820987,0.00019989343004373378
211200,matching,2816,sgd,sign_broadcast,0.03,1,0.02266054505956105,0.021114939220602497,0.00021889272188951162
211200,matching,4096,sgd,exact,0.03,1,0.022784246519733313,0.02147758720882507,0.00034217858911819374
211200,matching,4096,sgd,unit_broadcast,0.01,1,0.022784037195743047,0.02144030026252705,0.00031354048681219457
211200,matching,4096,sgd,unit_broadcast,0.03,1,0.02274389853470958,0.021473974411303935,0.00035745488442581193
211200,matching,4096,sgd,calibrated_broadcast,0.03,2,0.0234982849356538,0.02184999092945053,0.0011326732068957803
211200,matching,4096,sgd,sign_broadcast,0.01,1,0.02278717803701369,0.021438296606648304,0.0003122866649602293
211200,matching,4096,sgd,sign_broadcast,0.03,1,0.022788843720749984,0.021502336010710933,0.0003699866367733318
211200,matching,4096,adam,exact,0.003,1,0.023142376160150396,0.022073246849950174,0.0008551401292292626
211200,matching,4096,adam,unit_broadcast,0.003,1,0.023039368110763334,0.021971361815018464,0.0007096906806740022
211200,matching,4096,adam,calibrated_broadcast,0.003,1,0.02301977160301505,0.02188326112681959,0.0007340476534105403
211200,matching,4096,adam,calibrated_broadcast,0.01,1,0.02425503976328903,0.023545294888242054,0.0018833212516650459
211200,matching,4096,adam,sign_broadcast,0.003,1,0.023019771523842172,0.021883260138506166,0.000734047901019558
211200,matching,4096,adam,sign_broadcast,0.01,1,0.024255040998812497,0.023545296853679808,0.001883321580436328
211200,matching,5888,sgd,unit_broadcast,0.03,2,0.022670369572652713,0.02101121360244583,0.00021504860059479435
211200,matching,5888,sgd,calibrated_broadcast,0.03,1,0.022734841251056556,0.021079252129914655,0.00029482233657029597
211200,matching,5888,sgd,sign_broadcast,0.03,2,0.022583688754418588,0.02099996803213235,0.00014532763969035955
