budget,endpoint,task,optimizer,rule,rate_view,rate,metric,mean,median,ci95_low,ci95_high,n_seeds,positive_seeds,negative_seeds,zero_seeds,minimum,maximum,parameter_projected_any_count,gradient_clipped_any_count,mean_selected_step
1024,terminal,matching,adam,calibrated_broadcast,selected_rate,0.01,test_nmse,0.023576073407093383,0.023577449147234725,0.023196400556339078,0.023982103926521534,20,20,0,0,0.022430720312227447,0.025480458365751697,0,0,1024.0
1024,terminal,matching,adam,calibrated_broadcast,selected_rate,0.01,population_nmse,0.0011020577342460889,0.0009494899851606488,0.0008664467532233524,0.0013816799295006928,20,20,0,0,0.00045545968241747444,0.0028936701848478763,0,0,1024.0
1024,terminal,matching,adam,calibrated_broadcast,selected_rate,0.01,validation_nmse,0.023660493676493033,0.023524255829439556,0.02316455930902375,0.024196102813593728,20,20,0,0,0.022026764888954727,0.026510297250923257,0,0,1024.0
1024,terminal,matching,adam,exact,selected_rate,0.003,test_nmse,0.03172611530596356,0.023065414902830046,0.022942212493247197,0.04827098500637034,20,20,0,0,0.022023835312881754,0.1835385094596927,0,0,1024.0
1024,terminal,matching,adam,exact,selected_rate,0.003,population_nmse,0.00927338792207428,0.00047854362677651416,0.0005164540986807818,0.025974790577839624,20,20,0,0,0.00013623742647114287,0.1626311863739606,0,0,1024.0
1024,terminal,matching,adam,exact,selected_rate,0.003,validation_nmse,0.03181051384819718,0.023242157932652698,0.02308810238479507,0.04810884923783239,20,20,0,0,0.02160436434719924,0.1816561820375101,0,0,1024.0
1024,terminal,matching,adam,sign_broadcast,selected_rate,0.01,test_nmse,0.023576076606677165,0.02357745184609173,0.02319640230409021,0.0239821101595722,20,20,0,0,0.02243072077269425,0.02548048204195244,0,0,1024.0
1024,terminal,matching,adam,sign_broadcast,selected_rate,0.01,population_nmse,0.0011020610321016097,0.0009494973767298508,0.0008664490862565345,0.0013816861596177737,20,20,0,0,0.00045546019617208425,0.0028936958735077873,0,0,1024.0
1024,terminal,matching,adam,sign_broadcast,selected_rate,0.01,validation_nmse,0.02366049646593393,0.02352425319607853,0.02316456107963847,0.024196105895928362,20,20,0,0,0.022026766904182364,0.02651030336212768,0,0,1024.0
1024,terminal,matching,adam,unit_broadcast,selected_rate,0.003,test_nmse,0.02516421404129258,0.02295821252197507,0.023464036479965016,0.02711329536101288,20,20,0,0,0.021878149032480268,0.03558629227206294,2,0,1024.0
1024,terminal,matching,adam,unit_broadcast,selected_rate,0.003,population_nmse,0.002818334280310375,0.0004397436060135814,0.001038851081762691,0.004863647428745947,20,20,0,0,9.381223370693876e-05,0.014211878998016752,2,0,1024.0
1024,terminal,matching,adam,unit_broadcast,selected_rate,0.003,validation_nmse,0.025770464919726576,0.023291008278150026,0.02362727933654647,0.028217144146114082,20,20,0,0,0.021430530299713417,0.04004718355312378,2,0,1024.0
1024,terminal,matching,sgd,calibrated_broadcast,selected_rate,0.03,test_nmse,0.2981261121010091,0.24230203567353645,0.20825771914251978,0.391537678187538,20,20,0,0,0.03622810247252355,0.6702346493172815,0,0,1024.0
1024,terminal,matching,sgd,calibrated_broadcast,selected_rate,0.03,population_nmse,0.27636098128768094,0.2207519221963586,0.1867416470901453,0.36954384239526417,20,20,0,0,0.014861871452507523,0.651155173585753,0,0,1024.0
1024,terminal,matching,sgd,calibrated_broadcast,selected_rate,0.03,validation_nmse,0.3003786979104789,0.25076156115389897,0.21048513282550835,0.3933637554711113,20,20,0,0,0.03691423873316455,0.6413482236614074,0,0,1024.0
1024,terminal,matching,sgd,exact,selected_rate,0.03,test_nmse,0.06478776846564568,0.025104654714736628,0.028682262495574394,0.11323679363437812,20,20,0,0,0.021934145590019796,0.4225514601432284,0,0,1024.0
