budget,endpoint,task,optimizer,rate_view,metric,contrast,mean,median,ci95_low,ci95_high,n_seeds,positive_seeds,negative_seeds,zero_seeds
1024,terminal,nested,sgd,selected_rate,population_nmse,unit_broadcast minus calibrated_broadcast,-0.06119725547759691,-0.019832119933913928,-0.10085721624734223,-0.025464702682820986,20,5,15,0
1024,terminal,quartet,adam,selected_rate,test_nmse,unit_broadcast minus exact,0.8166088390627104,0.9589322915440504,0.6673057834580798,0.9380310019679023,20,19,1,0
1024,terminal,quartet,adam,selected_rate,test_nmse,calibrated_broadcast minus exact,0.829667239670813,0.935189032351911,0.7074324116302536,0.9288008414745692,20,20,0,0
1024,terminal,quartet,adam,selected_rate,test_nmse,sign_broadcast minus exact,0.829667299503881,0.9351890270752543,0.707432575427761,0.9288010564481632,20,20,0,0
1024,terminal,quartet,adam,selected_rate,test_nmse,unit_broadcast minus calibrated_broadcast,-0.013058400608102694,-0.0100315659567497,-0.07464208958693279,0.0410162061862248,20,8,12,0
1024,terminal,quartet,adam,selected_rate,population_nmse,unit_broadcast minus exact,0.821071580293587,0.9739007954627736,0.6708980130030513,0.9429792383307244,20,19,1,0
1024,terminal,quartet,adam,selected_rate,population_nmse,calibrated_broadcast minus exact,0.8323208583707089,0.9341425832246275,0.7082737883120771,0.9326411357164128,20,20,0,0
1024,terminal,quartet,adam,selected_rate,population_nmse,sign_broadcast minus exact,0.8323209115195453,0.9341425780233859,0.7082738143523363,0.9326413129700493,20,20,0,0
1024,terminal,quartet,adam,selected_rate,population_nmse,unit_broadcast minus calibrated_broadcast,-0.011249278077121805,-0.008526716643899757,-0.07195942368088332,0.04220101055885999,20,8,12,0
1024,terminal,quartet,sgd,selected_rate,test_nmse,unit_broadcast minus exact,0.6590026152815303,0.7046526618598881,0.5209772780071514,0.7866134865034806,20,20,0,0
1024,terminal,quartet,sgd,selected_rate,test_nmse,calibrated_broadcast minus exact,0.6555103902232735,0.7036472697546992,0.5271815831697099,0.7743135523085284,20,20,0,0
1024,terminal,quartet,sgd,selected_rate,test_nmse,sign_broadcast minus exact,0.7187347025848967,0.8890432884180651,0.574520976038631,0.8494791210790066,20,20,0,0
1024,terminal,quartet,sgd,selected_rate,test_nmse,unit_broadcast minus calibrated_broadcast,0.0034922250582567816,0.0016970472715112095,-0.04681693172687747,0.058178239069159324,20,10,10,0
1024,terminal,quartet,sgd,selected_rate,population_nmse,unit_broadcast minus exact,0.6639648621826006,0.7064275028145726,0.5240756329485067,0.7930578033105616,20,19,1,0
1024,terminal,quartet,sgd,selected_rate,population_nmse,calibrated_broadcast minus exact,0.6587766286982686,0.6995819491176911,0.5299940760855415,0.7794137708065056,20,20,0,0
1024,terminal,quartet,sgd,selected_rate,population_nmse,sign_broadcast minus exact,0.724381074094138,0.8854273108843583,0.5794868026025634,0.8565901062391202,20,20,0,0
1024,terminal,quartet,sgd,selected_rate,population_nmse,unit_broadcast minus calibrated_broadcast,0.005188233484332089,0.0021304801732899836,-0.045429111769789525,0.06073361657355486,20,10,10,0
1024,validation_selected,matching,adam,selected_rate,test_nmse,unit_broadcast minus exact,-0.006454711250448182,4.909042182648857e-06,-0.023817587532141856,0.003453941862401004,20,10,10,0
1024,validation_selected,matching,adam,selected_rate,test_nmse,calibrated_broadcast minus exact,-0.008567242705401244,4.300216418441291e-05,-0.025211641221188363,0.00019386028789888167,20,11,9,0
1024,validation_selected,matching,adam,selected_rate,test_nmse,sign_broadcast minus exact,-0.008567242420953513,4.300290704430457e-05,-0.025211641474825713,0.00019386107083063306,20,11,9,0
1024,validation_selected,matching,adam,selected_rate,test_nmse,unit_broadcast minus calibrated_broadcast,0.00211253145495306,-0.0001492869749786692,0.00033855011866660005,0.004183410514650192,20,8,12,0
1024,validation_selected,matching,adam,selected_rate,population_nmse,unit_broadcast minus exact,-0.006365465707433182,-1.1351035074167847e-05,-0.023835073648186444,0.003595370189893657,20,10,10,0
1024,validation_selected,matching,adam,selected_rate,population_nmse,calibrated_broadcast minus exact,-0.008582402359432409,0.00010913096525741343,-0.025300993244545524,0.00020584596611457584,20,14,6,0
1024,validation_selected,matching,adam,selected_rate,population_nmse,sign_broadcast minus exact,-0.008582401869613916,0.00010913125047953898,-0.025300993125226448,0.00020584675364172943,20,14,6,0
1024,validation_selected,matching,adam,selected_rate,population_nmse,unit_broadcast minus calibrated_broadcast,0.0022169366519992294,-0.00014881085868837624,0.0003830278408172982,0.004321419205295121,20,7,13,0
1024,validation_selected,matching,sgd,selected_rate,test_nmse,unit_broadcast minus exact,-0.03674405296404204,-0.00011940509562127256,-0.08503712537975394,-0.001306849748610383,20,10,10,0
1024,validation_selected,matching,sgd,selected_rate,test_nmse,calibrated_broadcast minus exact,0.22942422446969063,0.1860253230726371,0.14289911129330107,0.32131395464272006,20,19,1,0
1024,validation_selected,matching,sgd,selected_rate,test_nmse,sign_broadcast minus exact,-0.041169606775081906,-0.002046269538825569,-0.08963469991355837,-0.005252522366530107,20,6,14,0
1024,validation_selected,matching,sgd,selected_rate,test_nmse,unit_broadcast minus calibrated_broadcast,-0.2661682774337327,-0.2165722868613691,-0.35847759518613387,-0.1779910245919947,20,0,20,0
1024,validation_selected,matching,sgd,selected_rate,population_nmse,unit_broadcast minus exact,-0.03683570666619526,-1.433327459574542e-05,-0.08548774184918237,-0.0012612296070675225,20,10,10,0
1024,validation_selected,matching,sgd,selected_rate,population_nmse,calibrated_broadcast minus exact,0.22946728368831168,0.18492425670940743,0.14332177393564158,0.32109360167955786,20,19,1,0
1024,validation_selected,matching,sgd,selected_rate,population_nmse,sign_broadcast minus exact,-0.04130879542087433,-0.002032196131987143,-0.09009806201956175,-0.005373795455062301,20,7,13,0
1024,validation_selected,matching,sgd,selected_rate,population_nmse,unit_broadcast minus calibrated_broadcast,-0.266302990354507,-0.21751202334747283,-0.3588857608606579,-0.17835986048381774,20,0,20,0
1024,validation_selected,nested,adam,selected_rate,test_nmse,unit_broadcast minus exact,0.7230173466053628,0.7456269538915248,0.700301358455284,0.7439692183680991,20,20,0,0
1024,validation_selected,nested,adam,selected_rate,test_nmse,calibrated_broadcast minus exact,0.7317053615216735,0.7516977672262265,0.7116222016299562,0.7494347017167117,20,20,0,0
1024,validation_selected,nested,adam,selected_rate,test_nmse,sign_broadcast minus exact,0.7317050206288453,0.7516978053152441,0.7116214700957064,0.7494343671553342,20,20,0,0
1024,validation_selected,nested,adam,selected_rate,test_nmse,unit_broadcast minus calibrated_broadcast,-0.008688014916310827,0.0003879115202485295,-0.02755810438413092,0.009076072009825381,20,11,9,0
1024,validation_selected,nested,adam,selected_rate,population_nmse,unit_broadcast minus exact,0.7179597776467121,0.7385665659654569,0.6979605925549274,0.7358462003278688,20,20,0,0
1024,validation_selected,nested,adam,selected_rate,population_nmse,calibrated_broadcast minus exact,0.7276125803105391,0.7460332400242216,0.7109255629431545,0.7419908392147326,20,20,0,0
1024,validation_selected,nested,adam,selected_rate,population_nmse,sign_broadcast minus exact,0.7276122422292322,0.7460332955111328,0.7109251389676814,0.7419905266291233,20,20,0,0
1024,validation_selected,nested,adam,selected_rate,population_nmse,unit_broadcast minus calibrated_broadcast,-0.009652802663827032,-0.0014409705842685083,-0.0297681579449304,0.009285981850254236,20,8,12,0
1024,validation_selected,nested,sgd,selected_rate,test_nmse,unit_broadcast minus exact,0.49738013174335344,0.5551137375301679,0.39687167094490355,0.5968225606816611,20,19,1,0
1024,validation_selected,nested,sgd,selected_rate,test_nmse,calibrated_broadcast minus exact,0.5516519061242874,0.6242328703466331,0.4436885526556689,0.6564197391483464,20,20,0,0
1024,validation_selected,nested,sgd,selected_rate,test_nmse,sign_broadcast minus exact,0.5084461778778356,0.5677846929107226,0.40522166661373227,0.6100574612238081,20,20,0,0
1024,validation_selected,nested,sgd,selected_rate,test_nmse,unit_broadcast minus calibrated_broadcast,-0.05427177438093393,-0.018630988665600867,-0.08973741004140828,-0.02305227598484962,20,5,15,0
1024,validation_selected,nested,sgd,selected_rate,population_nmse,unit_broadcast minus exact,0.4913709577009563,0.5530333632718439,0.3908408158667534,0.590691861574426,20,19,1,0
1024,validation_selected,nested,sgd,selected_rate,population_nmse,calibrated_broadcast minus exact,0.5461577188867626,0.6273600878235381,0.43797576488329404,0.6502155394502643,20,20,0,0
1024,validation_selected,nested,sgd,selected_rate,population_nmse,sign_broadcast minus exact,0.5040626663133316,0.5645200337990524,0.400086106014094,0.6052929457310245,20,20,0,0
1024,validation_selected,nested,sgd,selected_rate,population_nmse,unit_broadcast minus calibrated_broadcast,-0.054786761185806235,-0.020376714883834968,-0.08994626371802805,-0.02393517227603385,20,6,14,0
1024,validation_selected,quartet,adam,selected_rate,test_nmse,unit_broadcast minus exact,0.7776125353628829,0.9076431305323635,0.6310996678839847,0.9013881187039189,20,19,1,0
1024,validation_selected,quartet,adam,selected_rate,test_nmse,calibrated_broadcast minus exact,0.75752357981205,0.8877121071626806,0.6338659668361329,0.8656321670069718,20,20,0,0
1024,validation_selected,quartet,adam,selected_rate,test_nmse,sign_broadcast minus exact,0.757523449116311,0.8877113476429426,0.6338659171559394,0.8656320526071272,20,20,0,0
1024,validation_selected,quartet,adam,selected_rate,test_nmse,unit_broadcast minus calibrated_broadcast,0.020088955550832836,0.005302976817368021,-0.05759530888351396,0.10477720306853858,20,11,9,0
1024,validation_selected,quartet,adam,selected_rate,population_nmse,unit_broadcast minus exact,0.7802291197861955,0.9187139072967649,0.6330235329589863,0.9060636959547329,20,19,1,0
1024,validation_selected,quartet,adam,selected_rate,population_nmse,calibrated_broadcast minus exact,0.7608676028367002,0.892520858595705,0.6343630387196391,0.8710527142805709,20,20,0,0
1024,validation_selected,quartet,adam,selected_rate,population_nmse,sign_broadcast minus exact,0.7608674684213259,0.8925200722030674,0.6343629606423168,0.871052656079582,20,20,0,0
1024,validation_selected,quartet,adam,selected_rate,population_nmse,unit_broadcast minus calibrated_broadcast,0.019361516949495387,0.0056147260328904824,-0.05704802199366948,0.10056796035135611,20,11,9,0
1024,validation_selected,quartet,sgd,selected_rate,test_nmse,unit_broadcast minus exact,0.6304632375312074,0.605041760015387,0.498755954339601,0.755597813247571,20,20,0,0
1024,validation_selected,quartet,sgd,selected_rate,test_nmse,calibrated_broadcast minus exact,0.6471759523403684,0.6883084458837789,0.5192691813591356,0.7651635439384709,20,20,0,0
1024,validation_selected,quartet,sgd,selected_rate,test_nmse,sign_broadcast minus exact,0.6848959247526013,0.7995420223158225,0.5479010478318393,0.8126383569330908,20,20,0,0
1024,validation_selected,quartet,sgd,selected_rate,test_nmse,unit_broadcast minus calibrated_broadcast,-0.01671271480916104,3.507223529597425e-05,-0.055699605963125516,0.022506052928936003,20,10,10,0
1024,validation_selected,quartet,sgd,selected_rate,population_nmse,unit_broadcast minus exact,0.6349851257530442,0.6112334682738594,0.500387976645019,0.7622355642253168,20,19,1,0
1024,validation_selected,quartet,sgd,selected_rate,population_nmse,calibrated_broadcast minus exact,0.6508867526281586,0.6865011571182054,0.522264624613601,0.771129699896428,20,20,0,0
1024,validation_selected,quartet,sgd,selected_rate,population_nmse,sign_broadcast minus exact,0.6889197470500326,0.8101516822942314,0.5508918746118153,0.817117960609222,20,20,0,0
1024,validation_selected,quartet,sgd,selected_rate,population_nmse,unit_broadcast minus calibrated_broadcast,-0.015901626875114473,-0.0024971007258207667,-0.05432061110181342,0.023329079351920967,20,10,10,0
4096,terminal,matching,adam,selected_rate,test_nmse,unit_broadcast minus exact,-0.00012464921292660268,-5.45888297720995e-05,-0.00024937597935742434,-2.94038854507911e-05,20,5,15,0
4096,terminal,matching,adam,selected_rate,test_nmse,calibrated_broadcast minus exact,0.0007797686355488897,0.0007736755421725566,0.0005168655854296289,0.0010362189718639287,20,18,2,0
4096,terminal,matching,adam,selected_rate,test_nmse,sign_broadcast minus exact,0.0007797727622325106,0.0007736770373444092,0.0005168712174190808,0.0010362222491931753,20,18,2,0
4096,terminal,matching,adam,selected_rate,test_nmse,unit_broadcast minus calibrated_broadcast,-0.0009044178484754924,-0.0008640458410835786,-0.0011242428615058412,-0.0006788204651019545,20,1,19,0
4096,terminal,matching,adam,selected_rate,population_nmse,unit_broadcast minus exact,-0.0001393560967282899,-4.775182235466747e-05,-0.0003225864749486795,-1.4953817127160998e-05,20,7,13,0
4096,terminal,matching,adam,selected_rate,population_nmse,calibrated_broadcast minus exact,0.0007499441392283996,0.0008369387500092233,0.0005007874754927185,0.0009884021797104702,20,18,2,0
4096,terminal,matching,adam,selected_rate,population_nmse,sign_broadcast minus exact,0.0007499483899820919,0.0008369403266595106,0.0005007906650389714,0.0009884053973529935,20,18,2,0
4096,terminal,matching,adam,selected_rate,population_nmse,unit_broadcast minus calibrated_broadcast,-0.0008893002359566896,-0.0009159919349000635,-0.001088117090911987,-0.0006724940509731965,20,1,19,0
4096,terminal,matching,sgd,selected_rate,test_nmse,unit_broadcast minus exact,-4.64287832674052e-06,-1.36172448557733e-05,-7.07113126883581e-05,5.914164984374853e-05,20,8,12,0
4096,terminal,matching,sgd,selected_rate,test_nmse,calibrated_broadcast minus exact,0.09199306163845966,0.061798451462292694,0.04824811750133066,0.14074265699500285,20,15,5,0
4096,terminal,matching,sgd,selected_rate,test_nmse,sign_broadcast minus exact,-7.033802564109411e-05,-4.59299247792741e-05,-0.00011264497650551046,-3.6796359551577366e-05,20,3,17,0
4096,terminal,matching,sgd,selected_rate,test_nmse,unit_broadcast minus calibrated_broadcast,-0.09199770451678642,-0.06180572980608634,-0.1408116232797178,-0.04819646533260728,20,5,15,0
4096,terminal,matching,sgd,selected_rate,population_nmse,unit_broadcast minus exact,-8.175757322039602e-06,-1.086293573033983e-05,-8.042799082542021e-05,5.801207298574441e-05,20,8,12,0
4096,terminal,matching,sgd,selected_rate,population_nmse,calibrated_broadcast minus exact,0.09172339657516575,0.06168962013807273,0.04825715056750466,0.14020469160234286,20,16,4,0
4096,terminal,matching,sgd,selected_rate,population_nmse,sign_broadcast minus exact,-6.884648319703192e-05,-3.872375095194606e-05,-0.00012048267961909402,-3.470496404957891e-05,20,1,19,0
4096,terminal,matching,sgd,selected_rate,population_nmse,unit_broadcast minus calibrated_broadcast,-0.09173157233248778,-0.06168523118417002,-0.1402635034499361,-0.04823789028944843,20,4,16,0
4096,terminal,nested,adam,selected_rate,test_nmse,unit_broadcast minus exact,0.7403042971546341,0.7537976064152243,0.7227393798380486,0.7556645380170706,20,20,0,0
4096,terminal,nested,adam,selected_rate,test_nmse,calibrated_broadcast minus exact,0.7680483002187192,0.7619965645034505,0.7434780204346914,0.7940336422169438,20,20,0,0
4096,terminal,nested,adam,selected_rate,test_nmse,sign_broadcast minus exact,0.7674136462593237,0.7619048993411595,0.7430267864208114,0.7930163033005377,20,20,0,0
4096,terminal,nested,adam,selected_rate,test_nmse,unit_broadcast minus calibrated_broadcast,-0.027744003064085126,-0.007537377750799934,-0.04865004377617138,-0.00940966028530423,20,7,13,0
4096,terminal,nested,adam,selected_rate,population_nmse,unit_broadcast minus exact,0.7356621608984034,0.7493742892483088,0.7221914809216824,0.7472328938456237,20,20,0,0
4096,terminal,nested,adam,selected_rate,population_nmse,calibrated_broadcast minus exact,0.7644896081341394,0.7532189260961406,0.7406895008255705,0.7909340093625286,20,20,0,0
4096,terminal,nested,adam,selected_rate,population_nmse,sign_broadcast minus exact,0.7638088991626688,0.7532189420961757,0.7403790118388602,0.7898904363157617,20,20,0,0
4096,terminal,nested,adam,selected_rate,population_nmse,unit_broadcast minus calibrated_broadcast,-0.028827447235735902,-0.0060215547731696795,-0.05176342167020699,-0.00947046292030357,20,5,15,0
4096,terminal,nested,sgd,selected_rate,test_nmse,unit_broadcast minus exact,0.72821637226608,0.7441524632786247,0.7014487788179824,0.7498732742849907,20,20,0,0
4096,terminal,nested,sgd,selected_rate,test_nmse,calibrated_broadcast minus exact,0.7475030266398839,0.7571190083039434,0.7295058921258705,0.7648875937677911,20,20,0,0
4096,terminal,nested,sgd,selected_rate,test_nmse,sign_broadcast minus exact,0.7497792881715308,0.7564785282208115,0.7389792782014412,0.7591719119925932,20,20,0,0
4096,terminal,nested,sgd,selected_rate,test_nmse,unit_broadcast minus calibrated_broadcast,-0.01928665437380379,-0.006365840885409368,-0.03965363527157591,-0.0004255896031504234,20,5,15,0
4096,terminal,nested,sgd,selected_rate,population_nmse,unit_broadcast minus exact,0.7243360387111359,0.7468740262547404,0.700109612819694,0.7421666394350086,20,20,0,0
4096,terminal,nested,sgd,selected_rate,population_nmse,calibrated_broadcast minus exact,0.7420076560542715,0.7506307841265089,0.728019739414566,0.7554519144115365,20,20,0,0
4096,terminal,nested,sgd,selected_rate,population_nmse,sign_broadcast minus exact,0.7465412110034578,0.7523155945947824,0.7385063472704495,0.7530052225119689,20,20,0,0
4096,terminal,nested,sgd,selected_rate,population_nmse,unit_broadcast minus calibrated_broadcast,-0.017671617343135458,-0.005708243785492062,-0.03934499812250986,0.0017953649222285787,20,7,13,0
4096,terminal,quartet,adam,selected_rate,test_nmse,unit_broadcast minus exact,0.9303339451066929,0.9779781128710059,0.8883864572955861,0.9685042346191175,20,20,0,0
4096,terminal,quartet,adam,selected_rate,test_nmse,calibrated_broadcast minus exact,0.9162433206646909,0.9750414590745439,0.8430940043342912,0.9761364060197896,20,20,0,0
4096,terminal,quartet,adam,selected_rate,test_nmse,sign_broadcast minus exact,0.916257763941483,0.9750414528345452,0.8431312173376257,0.9761602552923192,20,20,0,0
4096,terminal,quartet,adam,selected_rate,test_nmse,unit_broadcast minus calibrated_broadcast,0.01409062444200202,-0.008852264339014204,-0.024522428308964513,0.059073766886267,20,7,13,0
4096,terminal,quartet,adam,selected_rate,population_nmse,unit_broadcast minus exact,0.9296217602926239,0.9814781382920439,0.8884762143358792,0.9668994169758958,20,20,0,0
4096,terminal,quartet,adam,selected_rate,population_nmse,calibrated_broadcast minus exact,0.9180430326038037,0.993307905395072,0.8454065533623801,0.9771943089139897,20,20,0,0
4096,terminal,quartet,adam,selected_rate,population_nmse,sign_broadcast minus exact,0.9180541662424044,0.9932507023937485,0.845421369065082,0.9771745655291065,20,20,0,0
4096,terminal,quartet,adam,selected_rate,population_nmse,unit_broadcast minus calibrated_broadcast,0.011578727688820145,-0.008912650705477532,-0.027138166955003408,0.05624922129008357,20,6,14,0
4096,terminal,quartet,sgd,selected_rate,test_nmse,unit_broadcast minus exact,0.8860447597644459,0.9628809921062917,0.8109710607674633,0.9480928487141052,20,20,0,0
4096,terminal,quartet,sgd,selected_rate,test_nmse,calibrated_broadcast minus exact,0.8944353543445105,0.9709294303054682,0.815125802669382,0.9572254171529458,20,20,0,0
4096,terminal,quartet,sgd,selected_rate,test_nmse,sign_broadcast minus exact,0.9093046384495735,0.9805345874413478,0.8384368618461726,0.9683755655249586,20,20,0,0
4096,terminal,quartet,sgd,selected_rate,test_nmse,unit_broadcast minus calibrated_broadcast,-0.008390594580064631,-0.002334404837665227,-0.07054417229947917,0.045244652716055,20,10,10,0
4096,terminal,quartet,sgd,selected_rate,population_nmse,unit_broadcast minus exact,0.8879124864412304,0.9716967329993229,0.8132908767317957,0.9503379958593267,20,20,0,0
4096,terminal,quartet,sgd,selected_rate,population_nmse,calibrated_broadcast minus exact,0.8962798595314873,0.9865929858129165,0.81585736106641,0.9589668821319975,20,20,0,0
4096,terminal,quartet,sgd,selected_rate,population_nmse,sign_broadcast minus exact,0.9123978737875837,0.9872041639996298,0.8402382418512442,0.9714663705675914,20,20,0,0
4096,terminal,quartet,sgd,selected_rate,population_nmse,unit_broadcast minus calibrated_broadcast,-0.008367373090256558,-0.004004553825061319,-0.06801872814971391,0.045241138380035344,20,10,10,0
