budget,task,exact_mean_nmse,exact_median_nmse,exact_clean_nmse_below_0_02,exact_parameter_bound_contact_count,calibrated_mean_nmse,calibrated_median_nmse,calibrated_clean_nmse_below_0_02,calibrated_parameter_bound_contact_count
1024,matching,0.03172611530596356,0.023065414902830046,19,0,0.023576073407093383,0.023577449147234725,20,0
1024,quartet,0.15163557658929708,0.046501065119379674,17,0,0.9813028162601102,1.0276583313344223,0,5
1024,nested,0.02295324689796569,0.02288073054460256,20,0,0.7689584669638313,0.7829493447234417,0,1
4096,matching,0.02323656775498071,0.023050766090114378,20,0,0.02401633639052959,0.02405715822392577,20,1
4096,quartet,0.046133087558740085,0.04581585513875712,20,0,0.9623764082234307,1.0205219071118035,0,11
4096,nested,0.023262383407277626,0.023206792538966476,20,0,0.7913106836259968,0.7852624679468545,0,18
8192,matching,0.02314188440311051,0.023122868501400357,20,0,0.024342015298047866,0.02425621044001583,20,8
8192,quartet,0.046286382857558164,0.04634605983675183,20,0,0.9811204647785632,1.035341978577765,0,19
8192,nested,0.02331398497390448,0.023324576959540134,20,0,0.803896917907684,0.7918085836146918,0,20
16384,matching,0.023209755136366896,0.02315443490714769,20,0,0.024647644071341634,0.024769498798328994,20,20
16384,quartet,0.046372363686883744,0.046139816887902356,20,0,0.9994365546526197,1.0769009879281601,0,20
16384,nested,0.023224615929960092,0.02322246566986576,20,0,0.79443102911759,0.7826313162802963,0,20
