budget,endpoint,task,optimizer,rate_view,metric,contrast,seed,difference
1024,terminal,matching,adam,selected_rate,test_nmse,unit_broadcast minus exact,211200,-0.00046603543038409995
1024,terminal,matching,adam,selected_rate,test_nmse,unit_broadcast minus exact,211201,0.003224002963400051
1024,terminal,matching,adam,selected_rate,test_nmse,unit_broadcast minus exact,211202,-0.1610483849530314
1024,terminal,matching,adam,selected_rate,test_nmse,unit_broadcast minus exact,211203,-0.0002715700447027923
1024,terminal,matching,adam,selected_rate,test_nmse,unit_broadcast minus exact,211204,-0.00038977502931075367
1024,terminal,matching,adam,selected_rate,test_nmse,unit_broadcast minus exact,211205,-7.947143079221203e-05
1024,terminal,matching,adam,selected_rate,test_nmse,unit_broadcast minus exact,211206,0.01345651181729994
1024,terminal,matching,adam,selected_rate,test_nmse,unit_broadcast minus exact,211207,-0.0011756227701477176
1024,terminal,matching,adam,selected_rate,test_nmse,unit_broadcast minus exact,211208,-0.000442697964676924
1024,terminal,matching,adam,selected_rate,test_nmse,unit_broadcast minus exact,211209,0.009520175144777092
1024,terminal,matching,adam,selected_rate,test_nmse,unit_broadcast minus exact,211210,0.00032100195587522057
1024,terminal,matching,adam,selected_rate,test_nmse,unit_broadcast minus exact,211211,-0.0002497691981809061
1024,terminal,matching,adam,selected_rate,test_nmse,unit_broadcast minus exact,211212,0.005920062753167327
1024,terminal,matching,adam,selected_rate,test_nmse,unit_broadcast minus exact,211213,0.0008419051662188412
1024,terminal,matching,adam,selected_rate,test_nmse,unit_broadcast minus exact,211214,-8.273329731377926e-05
1024,terminal,matching,adam,selected_rate,test_nmse,unit_broadcast minus exact,211215,-0.0001439138854195561
1024,terminal,matching,adam,selected_rate,test_nmse,unit_broadcast minus exact,211216,-4.089836298369967e-05
1024,terminal,matching,adam,selected_rate,test_nmse,unit_broadcast minus exact,211217,-0.00025453954637572745
1024,terminal,matching,adam,selected_rate,test_nmse,unit_broadcast minus exact,211218,0.011930158844883347
