seed,reliability_heterogeneity,method,step_size,initial_test_loss,test_loss_after_one_step,one_step_test_loss_decrease,final_train_loss,final_test_loss,final_test_accuracy,mean_final_gain,minimum_input_rate
8201,2,adaptive_local_shunt,23.87832756,0.3953374814,0.392965315,0.002372166394,0.3575112942,0.3572848076,0.9970703125,0.6706369019,0
8201,2,adaptive_global_shunt,23.87832756,0.3953374814,0.3937991234,0.001538358053,0.3812588854,0.3824088346,0.9975585938,0.4295857773,0
8201,2,adaptive_shuffled_shunt,23.87832756,0.3953374814,0.3948300097,0.0005074717004,0.3634335397,0.3649532337,0.9848632812,0.6642093216,0
8201,2,adaptive_point_gate,23.87832756,0.3953374814,0.392965315,0.002372166394,0.3575112942,0.3572848076,0.9970703125,0.6706369019,0
8202,0,exact_clean_bp,23.88342782,0.3929598862,0.3884565504,0.004503335774,0.3509269076,0.3499371237,0.9995117188,1,0
8202,0,noisy_no_shunt,23.88342782,0.3929598862,0.3891375932,0.003822292986,0.3532264266,0.3520216212,1,1,0
8202,0,initial_oracle_shunt,23.88342782,0.3929598862,0.3891375932,0.003822292986,0.3532264266,0.3520216212,1,1,0
8202,0,adaptive_local_shunt,23.88342782,0.3929598862,0.3887521515,0.00420773465,0.3593905437,0.3582676636,0.9995117188,0.3058432843,0
8202,0,adaptive_global_shunt,23.88342782,0.3929598862,0.3891375932,0.003822292986,0.3605758914,0.3592634875,0.9995117188,0.2893855329,0
8202,0,adaptive_shuffled_shunt,23.88342782,0.3929598862,0.3892674025,0.0036924837,0.3626474264,0.3619155211,1,0.2979729317,0
8202,0,adaptive_point_gate,23.88342782,0.3929598862,0.3887521515,0.00420773465,0.3593905437,0.3582676636,0.9995117188,0.3058432843,0
8202,1,exact_clean_bp,23.88342782,0.3929598862,0.3884565504,0.004503335774,0.3509269076,0.3499371237,0.9995117188,1,0
8202,1,noisy_no_shunt,23.88342782,0.3929598862,0.3888217738,0.004138112352,0.3557348179,0.3539165807,0.9995117188,1,0
8202,1,initial_oracle_shunt,23.88342782,0.3929598862,0.3890745972,0.003885289046,0.3630746621,0.3610046824,0.9995117188,0.7598785813,0
8202,1,adaptive_local_shunt,23.88342782,0.3929598862,0.3890242814,0.003935604834,0.3655369073,0.3638722749,0.9995117188,0.5451642938,0
8202,1,adaptive_global_shunt,23.88342782,0.3929598862,0.3895878348,0.003372051387,0.3664787648,0.3648491264,0.9995117188,0.528236985,0
8202,1,adaptive_shuffled_shunt,23.88342782,0.3929598862,0.3893601633,0.003599722854,0.3645245266,0.3627547752,0.9990234375,0.6121359296,0
8202,1,adaptive_point_gate,23.88342782,0.3929598862,0.3890242814,0.003935604834,0.3655369073,0.3638722749,0.9995117188,0.5451642938,0
8202,2,exact_clean_bp,23.88342782,0.3929598862,0.3884565504,0.004503335774,0.3509269076,0.3499371237,0.9995117188,1,0
8202,2,noisy_no_shunt,23.88342782,0.3929598862,0.3894797952,0.003480091011,0.3718912562,0.3703854608,0.998046875,1,0
8202,2,initial_oracle_shunt,23.88342782,0.3929598862,0.3893958124,0.003564073843,0.3718179726,0.3697033116,0.9995117188,0.6464538489,0
8202,2,adaptive_local_shunt,23.88342782,0.3929598862,0.3891417788,0.003818107369,0.3739104681,0.3722294518,0.9990234375,0.5428075386,0
8202,2,adaptive_global_shunt,23.88342782,0.3929598862,0.3907968789,0.002163007346,0.3795612523,0.3776789253,0.9995117188,0.1728731128,0
8202,2,adaptive_shuffled_shunt,23.88342782,0.3929598862,0.3902358701,0.002724016149,0.3792835676,0.3777231218,0.9995117188,0.5843698885,0
8202,2,adaptive_point_gate,23.88342782,0.3929598862,0.3891417788,0.003818107369,0.3739104681,0.3722294518,0.9990234375,0.5428075386,0
8203,0,exact_clean_bp,23.87825352,0.3957994287,0.3912728943,0.004526534415,0.3455805004,0.3500707151,0.9990234375,1,0
8203,0,noisy_no_shunt,23.87825352,0.3957994287,0.3912009139,0.004598514873,0.3461587281,0.3501981262,0.9990234375,1,0
8203,0,initial_oracle_shunt,23.87825352,0.3957994287,0.3912009139,0.004598514873,0.3461587281,0.3501981262,0.9990234375,1,0
8203,0,adaptive_local_shunt,23.87825352,0.3957994287,0.3913184245,0.004481004234,0.3573439511,0.360621104,0.9990234375,0.508522159,0
8203,0,adaptive_global_shunt,23.87825352,0.3957994287,0.3912009139,0.004598514873,0.3554099441,0.3594265616,0.9985351562,0.4708033583,0
8203,0,adaptive_shuffled_shunt,23.87825352,0.3957994287,0.3913157008,0.004483727983,0.3556545603,0.3597953046,0.9990234375,0.5614179332,0
8203,0,adaptive_point_gate,23.87825352,0.3957994287,0.3913184245,0.004481004234,0.3573439511,0.360621104,0.9990234375,0.508522159,0
8203,1,exact_clean_bp,23.87825352,0.3957994287,0.3912728943,0.004526534415,0.3455805004,0.3500707151,0.9990234375,1,0
8203,1,noisy_no_shunt,23.87825352,0.3957994287,0.3923877493,0.003411679436,0.349652395,0.3553186764,0.99609375,1,0
8203,1,initial_oracle_shunt,23.87825352,0.3957994287,0.3925566207,0.00324280808,0.3531343676,0.3588695353,0.9965820312,0.7598785813,0
8203,1,adaptive_local_shunt,23.87825352,0.3957994287,0.392951989,0.002847439753,0.356458723,0.3618759704,0.998046875,0.4534074173,0
8203,1,adaptive_global_shunt,23.87825352,0.3957994287,0.3933782938,0.002421134945,0.3617523553,0.3671528592,0.998046875,0.2090268521,0
8203,1,adaptive_shuffled_shunt,23.87825352,0.3957994287,0.3933097691,0.002489659627,0.361457654,0.3671961614,0.9965820312,0.4806370866,0
8203,1,adaptive_point_gate,23.87825352,0.3957994287,0.392951989,0.002847439753,0.356458723,0.3618759704,0.998046875,0.4534074173,0
8203,2,exact_clean_bp,23.87825352,0.3957994287,0.3912728943,0.004526534415,0.3455805004,0.3500707151,0.9990234375,1,0
8203,2,noisy_no_shunt,23.87825352,0.3957994287,0.3908965055,0.004902923231,0.3679058399,0.3722209067,0.9760742188,1,0
8203,2,initial_oracle_shunt,23.87825352,0.3957994287,0.3921740779,0.003625350878,0.357750697,0.3623339695,0.9990234375,0.6464538489,0
8203,2,adaptive_local_shunt,23.87825352,0.3957994287,0.392404577,0.003394851709,0.3623260849,0.3677068786,0.9970703125,0.5064452141,0
8203,2,adaptive_global_shunt,23.87825352,0.3957994287,0.3945809966,0.001218432168,0.3784206027,0.381915839,0.9975585938,0.05408707212,0
