seed,spearman_rho_estimated_vs_initial_oracle_gain,mean_absolute_gain_error
8200,0.866743714,0.1504717922
8201,0.8837879163,0.1408664201
8202,0.8762850395,0.141238856
8203,0.9334163074,0.1400086348
8204,0.8421491788,0.1207952744
8205,0.7585751088,0.2401506917
8206,0.9357754408,0.08139247977
8207,0.7978117524,0.1448098572
8208,0.5841018888,0.2451118258
8209,0.9114556946,0.1509876431
8210,0.8108906335,0.2307431863
8211,0.8837879163,0.1605541957
8212,0.7798128674,0.1740886602
8213,0.8729434821,0.2083669152
8214,0.6758378184,0.1798843363
8215,0.972972973,0.1243334314
8216,0.4236343369,0.3353182739
8217,0.7278253429,0.2521642297
8218,0.9097816786,0.1313467736
8219,0.7148284618,0.2605378755
8220,0.8501272771,0.2133921135
8221,0.7278253429,0.2043532066
8222,0.8549090148,0.1401157347
8223,0.6801018217,0.2140446345
8224,0.8632061583,0.1716485297
8225,0.8166295067,0.2424065529
8226,0.5869524579,0.2122538611
8227,0.915521683,0.1130162522
8228,0.9189189189,0.1695977337
8229,0.8837879163,0.1462074826
8230,0.8632061583,0.1529641786
8231,0.915521683,0.1960333007
8232,0.7400704905,0.2606815732
8233,0.8038696707,0.2050478987
8234,0.8632061583,0.2352130011
8235,0.5741926219,0.2849120643
8236,0.9334163074,0.1648601619
8237,0.3379189092,0.3531228196
8238,0.4338344254,0.2266368907
8239,0.8549090148,0.2180392506
8240,0.5362341286,0.2491862967
8241,0.6252319661,0.2972293308
8242,0.6252319661,0.2855139915
8243,0.5231532777,0.2717118506
8244,-0.04577608415,0.4865721371
8245,0.9334163074,0.1493474826
8246,0.7278253429,0.1653036704
8247,0.8166295067,0.2278668329
8248,0.6890311463,0.234933498
8249,0.8058066296,0.1434774756
