task_id,arm,method,seconds,calibration_fitting_shared_seconds,regime,pilot_update_seconds,pilot_evaluation_seconds
s9300_r1_n000_a125,feedback_only,gaussian_plugin_fullbatch,0.0005474619101732969,0.00306731800083071,,,
s9300_r1_n000_a125,feedback_only,gaussian_plugin_sgd,0.026516153011471033,0.00306731800083071,,,
s9300_r1_n000_a125,feedback_only,gaussian_oracle_fullbatch,0.0005222680047154427,0.0,,,
s9300_r1_n000_a125,feedback_only,gaussian_oracle_sgd,0.026510700001381338,0.0,,,
s9300_r1_n000_a125,feedback_only,empirical_split_fullbatch,0.012317935936152935,,,,
s9300_r1_n000_a125,feedback_only,original_scalar,0.02886126097291708,,,,
s9300_r1_n000_a125,joint_forward_feedback,gaussian_plugin_fullbatch,0.0005332119762897491,0.0026858759811148047,,,
s9300_r1_n000_a125,joint_forward_feedback,gaussian_plugin_sgd,0.026444868999533355,0.0026858759811148047,,,
s9300_r1_n000_a125,joint_forward_feedback,gaussian_oracle_fullbatch,0.0005105410236865282,0.0,,,
s9300_r1_n000_a125,joint_forward_feedback,gaussian_oracle_sgd,0.026610367000102997,0.0,,,
s9300_r1_n000_a125,joint_forward_feedback,empirical_split_fullbatch,0.010075133992359042,,,,
s9300_r1_n000_a125,joint_forward_feedback,original_scalar,0.028761080000549555,,,,
s9300_r1_n000_a375,feedback_only,gaussian_plugin_fullbatch,0.0004849541001021862,0.002361566061154008,,,
s9300_r1_n000_a375,feedback_only,gaussian_plugin_sgd,0.02656363300047815,0.002361566061154008,,,
s9300_r1_n000_a375,feedback_only,gaussian_oracle_fullbatch,0.0005163790192455053,0.0,,,
s9300_r1_n000_a375,feedback_only,gaussian_oracle_sgd,0.02661328495014459,0.0,,,
s9300_r1_n000_a375,feedback_only,empirical_split_fullbatch,0.010021907975897193,,,,
s9300_r1_n000_a375,feedback_only,original_scalar,0.028822995955124497,,,,
s9300_r1_n000_a375,joint_forward_feedback,gaussian_plugin_fullbatch,0.0004799970192834735,0.0023465249687433243,,,
s9300_r1_n000_a375,joint_forward_feedback,gaussian_plugin_sgd,0.026471607969142497,0.0023465249687433243,,,
s9300_r1_n000_a375,joint_forward_feedback,gaussian_oracle_fullbatch,0.0005100640701130033,0.0,,,
s9300_r1_n000_a375,joint_forward_feedback,gaussian_oracle_sgd,0.027056972961872816,0.0,,,
s9300_r1_n000_a375,joint_forward_feedback,empirical_split_fullbatch,0.010140732978470623,,,,
s9300_r1_n000_a375,joint_forward_feedback,original_scalar,0.029693949036300182,,,,
s9300_r1_n750_a125,feedback_only,gaussian_plugin_fullbatch,0.0004873319994658232,0.0023982820566743612,,,
s9300_r1_n750_a125,feedback_only,gaussian_plugin_sgd,0.026863084989599884,0.0023982820566743612,,,
s9300_r1_n750_a125,feedback_only,gaussian_oracle_fullbatch,0.0005111380014568567,0.0,,,
s9300_r1_n750_a125,feedback_only,gaussian_oracle_sgd,0.026590051013045013,0.0,,,
s9300_r1_n750_a125,feedback_only,empirical_split_fullbatch,0.01019315398298204,,,,
s9300_r1_n750_a125,feedback_only,original_scalar,0.029308584984391928,,,,
s9300_r1_n750_a125,joint_forward_feedback,gaussian_plugin_fullbatch,0.0004925429821014404,0.0023951820330694318,,,
s9300_r1_n750_a125,joint_forward_feedback,gaussian_plugin_sgd,0.026698776055127382,0.0023951820330694318,,,
s9300_r1_n750_a125,joint_forward_feedback,gaussian_oracle_fullbatch,0.0004944319371134043,0.0,,,
s9300_r1_n750_a125,joint_forward_feedback,gaussian_oracle_sgd,0.026626903912983835,0.0,,,
s9300_r1_n750_a125,joint_forward_feedback,empirical_split_fullbatch,0.010020662914030254,,,,
s9300_r1_n750_a125,joint_forward_feedback,original_scalar,0.02925962198060006,,,,
s9300_r1_n750_a375,feedback_only,gaussian_plugin_fullbatch,0.0004885380621999502,0.002398748998530209,,,
s9300_r1_n750_a375,feedback_only,gaussian_plugin_sgd,0.02647923701442778,0.002398748998530209,,,
s9300_r1_n750_a375,feedback_only,gaussian_oracle_fullbatch,0.000505732954479754,0.0,,,
s9300_r1_n750_a375,feedback_only,gaussian_oracle_sgd,0.02645953604951501,0.0,,,
s9300_r1_n750_a375,feedback_only,empirical_split_fullbatch,0.010077237035147846,,,,
s9300_r1_n750_a375,feedback_only,original_scalar,0.030105244019068778,,,,
s9300_r1_n750_a375,joint_forward_feedback,gaussian_plugin_fullbatch,0.0004780469462275505,0.002352990908548236,,,
s9300_r1_n750_a375,joint_forward_feedback,gaussian_plugin_sgd,0.026376193040050566,0.002352990908548236,,,
s9300_r1_n750_a375,joint_forward_feedback,gaussian_oracle_fullbatch,0.0005133569939061999,0.0,,,
s9300_r1_n750_a375,joint_forward_feedback,gaussian_oracle_sgd,0.026579509023576975,0.0,,,
s9300_r1_n750_a375,joint_forward_feedback,empirical_split_fullbatch,0.010196276009082794,,,,
s9300_r1_n750_a375,joint_forward_feedback,original_scalar,0.029262574040330946,,,,
s9300_r2_n000_a125,feedback_only,gaussian_plugin_fullbatch,0.0005860439268872142,0.0030454880325123668,,,
s9300_r2_n000_a125,feedback_only,gaussian_plugin_sgd,0.036897739046253264,0.0030454880325123668,,,
s9300_r2_n000_a125,feedback_only,gaussian_oracle_fullbatch,0.0005929279141128063,0.0,,,
s9300_r2_n000_a125,feedback_only,gaussian_oracle_sgd,0.03706975490786135,0.0,,,
s9300_r2_n000_a125,feedback_only,empirical_split_fullbatch,0.01029713696334511,,,,
s9300_r2_n000_a125,feedback_only,original_scalar,0.02854676404967904,,,,
s9300_r2_n000_a125,joint_forward_feedback,gaussian_plugin_fullbatch,0.000556478975340724,0.0028272171039134264,,,
s9300_r2_n000_a125,joint_forward_feedback,gaussian_plugin_sgd,0.03698293096385896,0.0028272171039134264,,,
s9300_r2_n000_a125,joint_forward_feedback,gaussian_oracle_fullbatch,0.0005955809028819203,0.0,,,
s9300_r2_n000_a125,joint_forward_feedback,gaussian_oracle_sgd,0.03692862996831536,0.0,,,
s9300_r2_n000_a125,joint_forward_feedback,empirical_split_fullbatch,0.010322366957552731,,,,
s9300_r2_n000_a125,joint_forward_feedback,original_scalar,0.02858084300532937,,,,
s9300_r2_n000_a375,feedback_only,gaussian_plugin_fullbatch,0.000551918987184763,0.003025112091563642,,,
s9300_r2_n000_a375,feedback_only,gaussian_plugin_sgd,0.036784118972718716,0.003025112091563642,,,
s9300_r2_n000_a375,feedback_only,gaussian_oracle_fullbatch,0.0005890600150451064,0.0,,,
s9300_r2_n000_a375,feedback_only,gaussian_oracle_sgd,0.03698069998063147,0.0,,,
s9300_r2_n000_a375,feedback_only,empirical_split_fullbatch,0.010259533999487758,,,,
s9300_r2_n000_a375,feedback_only,original_scalar,0.02849691896699369,,,,
s9300_r2_n000_a375,joint_forward_feedback,gaussian_plugin_fullbatch,0.0005582469748333097,0.002862467081286013,,,
s9300_r2_n000_a375,joint_forward_feedback,gaussian_plugin_sgd,0.036954762996174395,0.002862467081286013,,,
s9300_r2_n000_a375,joint_forward_feedback,gaussian_oracle_fullbatch,0.0005976830143481493,0.0,,,
s9300_r2_n000_a375,joint_forward_feedback,gaussian_oracle_sgd,0.037088507087901235,0.0,,,
s9300_r2_n000_a375,joint_forward_feedback,empirical_split_fullbatch,0.010189655935391784,,,,
s9300_r2_n000_a375,joint_forward_feedback,original_scalar,0.02857037098146975,,,,
s9300_r2_n750_a125,feedback_only,gaussian_plugin_fullbatch,0.0005533240037038922,0.002999453921802342,,,
s9300_r2_n750_a125,feedback_only,gaussian_plugin_sgd,0.03689752204809338,0.002999453921802342,,,
s9300_r2_n750_a125,feedback_only,gaussian_oracle_fullbatch,0.0005875339265912771,0.0,,,
s9300_r2_n750_a125,feedback_only,gaussian_oracle_sgd,0.036863246001303196,0.0,,,
s9300_r2_n750_a125,feedback_only,empirical_split_fullbatch,0.010261404095217586,,,,
s9300_r2_n750_a125,feedback_only,original_scalar,0.029000701964832842,,,,
s9300_r2_n750_a125,joint_forward_feedback,gaussian_plugin_fullbatch,0.0005730330012738705,0.002803566982038319,,,
s9300_r2_n750_a125,joint_forward_feedback,gaussian_plugin_sgd,0.0370063919108361,0.002803566982038319,,,
s9300_r2_n750_a125,joint_forward_feedback,gaussian_oracle_fullbatch,0.0005880530225113034,0.0,,,
s9300_r2_n750_a125,joint_forward_feedback,gaussian_oracle_sgd,0.036765775992535055,0.0,,,
s9300_r2_n750_a125,joint_forward_feedback,empirical_split_fullbatch,0.010287613025866449,,,,
s9300_r2_n750_a125,joint_forward_feedback,original_scalar,0.02862620702944696,,,,
s9300_r2_n750_a375,feedback_only,gaussian_plugin_fullbatch,0.0005653830012306571,0.0029050339944660664,,,
s9300_r2_n750_a375,feedback_only,gaussian_plugin_sgd,0.03699701197911054,0.0029050339944660664,,,
s9300_r2_n750_a375,feedback_only,gaussian_oracle_fullbatch,0.0005945700686424971,0.0,,,
s9300_r2_n750_a375,feedback_only,gaussian_oracle_sgd,0.037409704993478954,0.0,,,
s9300_r2_n750_a375,feedback_only,empirical_split_fullbatch,0.010257457033731043,,,,
s9300_r2_n750_a375,feedback_only,original_scalar,0.028578656958416104,,,,
s9300_r2_n750_a375,joint_forward_feedback,gaussian_plugin_fullbatch,0.0005501570412889123,0.0028480079490691423,,,
s9300_r2_n750_a375,joint_forward_feedback,gaussian_plugin_sgd,0.03686037508305162,0.0028480079490691423,,,
s9300_r2_n750_a375,joint_forward_feedback,gaussian_oracle_fullbatch,0.000588958035223186,0.0,,,
s9300_r2_n750_a375,joint_forward_feedback,gaussian_oracle_sgd,0.036999747972004116,0.0,,,
s9300_r2_n750_a375,joint_forward_feedback,empirical_split_fullbatch,0.01024022197816521,,,,
s9300_r2_n750_a375,joint_forward_feedback,original_scalar,0.028372945031151175,,,,
s9300_r4_n000_a125,feedback_only,gaussian_plugin_fullbatch,0.0007217739475890994,0.0034210049780085683,,,
s9300_r4_n000_a125,feedback_only,gaussian_plugin_sgd,0.049750184058211744,0.0034210049780085683,,,
s9300_r4_n000_a125,feedback_only,gaussian_oracle_fullbatch,0.0007105169352144003,0.0,,,
s9300_r4_n000_a125,feedback_only,gaussian_oracle_sgd,0.05053494800813496,0.0,,,
s9300_r4_n000_a125,feedback_only,empirical_split_fullbatch,0.010572780971415341,,,,
s9300_r4_n000_a125,feedback_only,original_scalar,0.02829268597997725,,,,
s9300_r4_n000_a125,joint_forward_feedback,gaussian_plugin_fullbatch,0.0006672370946034789,0.0033485719468444586,,,
s9300_r4_n000_a125,joint_forward_feedback,gaussian_plugin_sgd,0.04978084494359791,0.0033485719468444586,,,
s9300_r4_n000_a125,joint_forward_feedback,gaussian_oracle_fullbatch,0.0007107860874384642,0.0,,,
s9300_r4_n000_a125,joint_forward_feedback,gaussian_oracle_sgd,0.04975822498090565,0.0,,,
s9300_r4_n000_a125,joint_forward_feedback,empirical_split_fullbatch,0.010474456939846277,,,,
s9300_r4_n000_a125,joint_forward_feedback,original_scalar,0.03156404197216034,,,,
s9300_r4_n000_a375,feedback_only,gaussian_plugin_fullbatch,0.0006833240622654557,0.003556750947609544,,,
s9300_r4_n000_a375,feedback_only,gaussian_plugin_sgd,0.05006727506406605,0.003556750947609544,,,
s9300_r4_n000_a375,feedback_only,gaussian_oracle_fullbatch,0.0006974940188229084,0.0,,,
s9300_r4_n000_a375,feedback_only,gaussian_oracle_sgd,0.05054596206173301,0.0,,,
s9300_r4_n000_a375,feedback_only,empirical_split_fullbatch,0.011062235105782747,,,,
s9300_r4_n000_a375,feedback_only,original_scalar,0.029243650962598622,,,,
s9300_r4_n000_a375,joint_forward_feedback,gaussian_plugin_fullbatch,0.0007162739057093859,0.0044614290818572044,,,
s9300_r4_n000_a375,joint_forward_feedback,gaussian_plugin_sgd,0.04969493602402508,0.0044614290818572044,,,
s9300_r4_n000_a375,joint_forward_feedback,gaussian_oracle_fullbatch,0.0007026720559224486,0.0,,,
s9300_r4_n000_a375,joint_forward_feedback,gaussian_oracle_sgd,0.04962967289611697,0.0,,,
s9300_r4_n000_a375,joint_forward_feedback,empirical_split_fullbatch,0.010648131952621043,,,,
s9300_r4_n000_a375,joint_forward_feedback,original_scalar,0.028793378034606576,,,,
s9300_r4_n750_a125,feedback_only,gaussian_plugin_fullbatch,0.000677851028740406,0.0035773300332948565,,,
s9300_r4_n750_a125,feedback_only,gaussian_plugin_sgd,0.049948656000196934,0.0035773300332948565,,,
s9300_r4_n750_a125,feedback_only,gaussian_oracle_fullbatch,0.0007110739825293422,0.0,,,
s9300_r4_n750_a125,feedback_only,gaussian_oracle_sgd,0.049731298931874335,0.0,,,
s9300_r4_n750_a125,feedback_only,empirical_split_fullbatch,0.010604170034639537,,,,
s9300_r4_n750_a125,feedback_only,original_scalar,0.028728989069350064,,,,
s9300_r4_n750_a125,joint_forward_feedback,gaussian_plugin_fullbatch,0.0007240190170705318,0.0033975919941440225,,,
s9300_r4_n750_a125,joint_forward_feedback,gaussian_plugin_sgd,0.049787855008617043,0.0033975919941440225,,,
s9300_r4_n750_a125,joint_forward_feedback,gaussian_oracle_fullbatch,0.0007179119857028127,0.0,,,
s9300_r4_n750_a125,joint_forward_feedback,gaussian_oracle_sgd,0.049694667919538915,0.0,,,
s9300_r4_n750_a125,joint_forward_feedback,empirical_split_fullbatch,0.010494963964447379,,,,
s9300_r4_n750_a125,joint_forward_feedback,original_scalar,0.028485924936830997,,,,
s9300_r4_n750_a375,feedback_only,gaussian_plugin_fullbatch,0.0006852339720353484,0.0035183830186724663,,,
s9300_r4_n750_a375,feedback_only,gaussian_plugin_sgd,0.04968156199902296,0.0035183830186724663,,,
s9300_r4_n750_a375,feedback_only,gaussian_oracle_fullbatch,0.0007009359542280436,0.0,,,
s9300_r4_n750_a375,feedback_only,gaussian_oracle_sgd,0.04963220399804413,0.0,,,
s9300_r4_n750_a375,feedback_only,empirical_split_fullbatch,0.010584475006908178,,,,
s9300_r4_n750_a375,feedback_only,original_scalar,0.028555077966302633,,,,
s9300_r4_n750_a375,joint_forward_feedback,gaussian_plugin_fullbatch,0.0006951570976525545,0.003338995040394366,,,
s9300_r4_n750_a375,joint_forward_feedback,gaussian_plugin_sgd,0.0497977149207145,0.003338995040394366,,,
