budgets,cohort,common_capture,elapsed_seconds,n_e_sites,n_i_sites,rank_one_capture,residual_rank,residual_weighted_energy,response_rank,root_id,total_weighted_energy
"[1, 2, 4, 8, 16]",v661,0.16460830202645693,2.4899560670601204,50,74,0.16660432818706203,49,16.67261044164097,50,864691134941194851,19.957835925452294
"[1, 2, 4, 8, 16]",v661,0.227527165864565,2.7856074910378084,19,64,0.44509956211232443,18,2.9180464892374256,19,864691135082534135,3.7775393001403783
"[1, 2, 4, 8, 16]",v661,0.14891051783961862,2.0188185529550537,48,77,0.15562120433324014,47,12.468189390734473,48,864691135334986985,14.64968097019079
"[1, 2, 4, 8, 16]",v661,0.29685612847609144,2.0695334949996322,20,25,0.3018409920678359,19,2.158600725753572,20,864691135342193329,3.069927525749863
"[1, 2, 4, 8, 16]",v661,0.24743443506435725,2.1971261489670724,26,35,0.2502266431772816,25,6.3784356881100015,26,864691135367232761,8.475588022228292
"[1, 2, 4, 8, 16]",v661,0.18174418783336332,2.1249598789727315,34,72,0.26217952010208534,33,7.361252124251794,34,864691135404231406,8.99627233292745
"[1, 2, 4, 8, 16]",v661,0.23665092140602262,2.424752064049244,30,62,0.25313389706727724,29,3.666672211443423,30,864691135404277230,4.8034016340166605
"[1, 2, 4, 8, 16]",v661,0.15506055221226112,1.9590640279930085,16,63,0.2819140812454129,15,4.277678143202131,16,864691135416557754,5.062703788303592
"[1, 2, 4, 8, 16]",v661,0.15077321144668154,2.0207344819791615,21,53,0.20243878040937094,20,3.47930275519347,21,864691135455195242,4.097024260292777
"[1, 2, 4, 8, 16]",v661,0.1560019036249588,1.9934606970055029,33,64,0.2345795902663703,32,5.636078483623681,33,864691135468547212,6.677833170276747
"[1, 2, 4, 8, 16]",v661,0.19033145500996462,2.1043452030280605,37,63,0.19824574115832083,36,4.899790346578715,37,864691135495249040,6.051600221963689
"[1, 2, 4, 8, 16]",v661,0.15489654130952568,2.1144448269624263,38,61,0.16380599548372943,37,4.922410710191301,38,864691135502788957,5.82462497292201
"[1, 2, 4, 8, 16]",v661,0.26441339051941215,1.904969888040796,24,47,0.3440872484796037,23,3.3577126022350114,24,864691135516884435,4.564673362673035
"[1, 2, 4, 8, 16]",v661,0.13344338967516856,2.8166762329638004,42,53,0.43165912406247675,41,9.843398498887812,42,864691135572379429,11.359209983059252
"[1, 2, 4, 8, 16]",v661,0.14201253691041082,2.080061792046763,46,77,0.1563111095180633,45,9.42470538956576,46,864691135573814980,10.98466562160204
"[1, 2, 4, 8, 16]",v661,0.15762183755420456,2.703715307987295,42,62,0.17234041570974445,41,6.3314964835785945,42,864691135658994050,7.516216309781187
"[1, 2, 4, 8, 16]",v661,0.1407163913118663,2.213574756984599,36,70,0.16394157706239895,35,5.587142015463474,36,864691135687601120,6.502093091236025
"[1, 2, 4, 8, 16]",v661,0.19219528896194493,1.8622576480265707,30,40,0.19818353621113885,29,3.01870383329522,30,864691135716106266,3.7369227884498075
"[1, 2, 4, 8, 16]",v661,0.21748234261921495,2.0109835950424895,30,62,0.23192974621058088,29,5.6659000141204565,30,864691135716174106,7.240603404509942
"[1, 2, 4, 8, 16]",v661,0.13957858319938832,2.1954265750246122,25,54,0.233769073281992,24,3.471521317552362,25,864691135740320660,4.034675624952312
"[1, 2, 4, 8, 16]",v661,0.22400229361785784,1.80454354302492,28,45,0.22889764492745104,27,5.6405167076751574,28,864691135762339894,7.268728581650562
"[1, 2, 4, 8, 16]",v661,0.26521852895245634,1.7113207540242001,27,42,0.2740543494209624,26,4.434516310755669,27,864691135856802606,6.035149885357868
"[1, 2, 4, 8, 16]",v661,0.23334848822525467,1.708937056013383,35,61,0.2398588329641833,34,6.242546710108665,35,864691135856845358,8.142613187649758
"[1, 2, 4, 8, 16]",v661,0.15451414944219832,3.2125976050738245,39,62,0.16210942999143857,38,7.728900510665587,39,864691135867632406,9.141371798908892
"[1, 2, 4, 8]",v661,0.32684963680879053,2.815862716990523,14,49,0.6061247028671473,13,3.825192365816223,14,864691135919106224,5.682522917587241
"[1, 2, 4, 8, 16]",v661,0.11102859376760421,2.319379216991365,29,65,0.12189355049401793,28,7.488585301638474,29,864691135938349828,8.423876458947433
"[1, 2, 4, 8, 16]",v661,0.23140474732533522,2.2840670259902254,34,59,0.23680974085903866,33,4.643037567360447,34,864691135947212897,6.040939689912159
"[1, 2, 4, 8, 16]",v661,0.2528559072503582,3.013790544006042,17,47,0.3261232889589815,16,1.9229853880025745,17,864691135952698659,2.5737811576955636
"[1, 2, 4, 8, 16]",v661,0.21680519638001372,1.870812484063208,19,45,0.3176491388359708,18,2.6550762701134616,19,864691135992368833,3.3900585880313505
"[1, 2, 4, 8, 16]",v661,0.16886013760567253,2.011302627972327,28,53,0.18776620088614035,27,7.112128036064047,28,864691136024229689,8.55707728369038
"[1, 2, 4, 8, 16]",v661,0.17131014336572448,2.3118930000346154,22,30,0.17953663781529536,21,3.511788505746628,22,864691136066506392,4.237759733188674
"[1, 2, 4, 8, 16]",v661,0.1543426615108766,2.675373283098452,38,50,0.17011204022386975,37,12.230915549627719,38,864691136066697624,14.46320512215957
"[1, 2, 4, 8, 16]",v661,0.15997358894522806,2.9058524849824607,23,50,0.18450871444180225,22,2.623630794834069,23,864691136066733720,3.1232717927758125
"[1, 2, 4, 8, 16]",v661,0.21017573109759313,3.0362650640308857,28,67,0.22423212746150537,27,6.454824433486007,28,864691136100511093,8.17248176288134
"[1, 2, 4, 8, 16]",v661,0.22092244009299167,2.5873616989701986,28,43,0.2248596347684884,27,4.1732197631508585,28,864691136109892792,5.356616565427682
"[1, 2, 4, 8, 16]",v661,0.1720089206634593,2.4993714130250737,21,25,0.27564018858191486,20,2.919755347462062,21,864691136137737085,3.5263125658329884
"[1, 2, 4, 8, 16]",v661,0.14048883121945255,5.504680719925091,136,148,0.2771323922780445,131,157.21502012882615,132,864691136195348812,182.91213173166653
"[1, 2, 4, 8, 16]",v661,0.23950085402843024,2.9940961480606347,22,31,0.2523043464174851,21,4.22656553345259,22,864691136275165965,5.557620354790766
"[1, 2, 4, 8, 16]",v661,0.2563522753707256,1.8271481590345502,32,40,0.5070218795247049,31,5.688363264156193,32,864691136371808392,7.649271389880166
"[1, 2, 4, 8, 16]",v661,0.26132103244745375,1.6977915409952402,23,65,0.2658463491033683,22,3.975208397637833,23,864691136389026167,5.381510198955347
"[1, 2, 4, 8, 16]",v661,0.25902521836413517,2.2402151660062373,20,49,0.7788924365808496,19,12.555392351156367,20,864691136419314071,16.944425994414516
"[1, 2, 4, 8, 16]",v661,0.18740254481169116,1.1437075790017843,30,54,0.4000716237641162,29,6.800643338808268,30,864691136486753554,8.369018750166166
"[1, 2, 4, 8, 16]",v661,0.1961329875420107,1.1321141429943964,16,56,0.2906439057342286,15,1.8128426064568628,16,864691136619341965,2.2551523801352693
"[1, 2, 4, 8, 16]",v661,0.2555892995310233,1.0373171539977193,20,53,0.5434893003493442,19,6.102475171316648,20,864691136663284190,8.197726292048335
"[1, 2, 4, 8, 16]",v661,0.2236963901298662,1.2677413129713386,28,32,0.2274048352777705,27,5.003514556749055,28,864691136673975943,6.445306312031812
"[1, 2, 4, 8, 16]",v661,0.23721046015882652,1.5491939020575956,47,91,0.3680347790498657,46,10.075886846764648,47,864691136953057759,13.209261952992472
"[1, 2, 4, 8, 16]",v661,0.2951746730266406,1.1886544129811227,20,43,0.513717355982151,19,2.958260013995713,20,864691137197373249,4.197153395010631
