cohort,root_id,channels,method,total_capture,residual_capture,dictionary_rank,nonzero_coefficients,wiring_density,coverage,incremental_total_capture
v661,864691134941194851,1,common + ancestry,0.1646083020264569,8.590445965483846e-33,1.0,50.0,1.0,1.0,0.0
v661,864691134941194851,1,common + depth bins,0.1646083020264569,8.590445965483846e-33,1.0,50.0,1.0,1.0,0.0
v661,864691134941194851,1,common + random routes,0.1646083020264569,8.590445965483846e-33,1.0,50.0,1.0,1.0,0.0
v661,864691134941194851,1,common + shuffled routes,0.1646083020264569,8.590445965483846e-33,1.0,50.0,1.0,1.0,0.0
v661,864691134941194851,1,common + surrogate ancestry,0.1646083020264569,8.590445965483846e-33,1.0,50.0,1.0,1.0,0.0
v661,864691134941194851,1,common-constrained SVD,0.1646083020264569,8.590445965483846e-33,1.0,50.0,1.0,1.0,0.0
v661,864691134941194851,2,common + ancestry,0.2198905431724515,0.066175234060975,2.0,52.0,0.52,1.0,0.0552822411459946
v661,864691134941194851,2,common + depth bins,0.1982297684228192,0.0402463496799404,2.0,74.0,0.74,1.0,0.0336214663963623
v661,864691134941194851,2,common + random routes,0.19209322639531426,0.03290064341736829,1.94,52.055,0.52055,1.0,0.027484924368857345
v661,864691134941194851,2,common + shuffled routes,0.18489803922861228,0.02428769312811385,2.0,52.0,0.52,1.0,0.02028973720215535
v661,864691134941194851,2,common + surrogate ancestry,0.19295841083352006,0.03393630661620608,2.0,55.855,0.55855,1.0,0.028350108807063155
v661,864691134941194851,2,common-constrained SVD,0.2392986866752388,0.0894076213948052,2.0,100.0,1.0,1.0,0.0746903846487819
v661,864691134941194851,4,common + ancestry,0.320413209445696,0.1865052140177882,4.0,62.0,0.31,1.0,0.1558049074192391
v661,864691134941194851,4,common + depth bins,0.2584973141935135,0.112389209031893,4.0,87.0,0.435,1.0,0.0938890121670566
v661,864691134941194851,4,common + random routes,0.24496548446494176,0.09619102348444666,3.685,56.83,0.28415,1.0,0.08035718243848483
v661,864691134941194851,4,common + shuffled routes,0.23753241059725055,0.08729331252356205,4.0,62.0,0.31,1.0,0.07292410857079364
