cohort,channels,method,total_capture_mean,total_capture_std,total_capture_count,residual_capture_mean,residual_capture_std,residual_capture_count,dictionary_rank_mean,dictionary_rank_std,dictionary_rank_count,nonzero_coefficients_mean,nonzero_coefficients_std,nonzero_coefficients_count,wiring_density_mean,wiring_density_std,wiring_density_count,coverage_mean,coverage_std,coverage_count,incremental_total_capture_mean,incremental_total_capture_std,incremental_total_capture_count
v661,1,common + ancestry,0.20263350669249247,0.051086419980584,47,1.3661000693009462e-32,1.433406295894534e-32,47,1.0,0.0,47,31.29787234042553,18.077027090153166,47,1.0,0.0,47,1.0,0.0,47,-3.188938474987152e-17,8.603230338472918e-17,47
v661,1,common + depth bins,0.20263350669249247,0.051086419980584,47,1.3661000693009462e-32,1.433406295894534e-32,47,1.0,0.0,47,31.29787234042553,18.077027090153166,47,1.0,0.0,47,1.0,0.0,47,-3.188938474987152e-17,8.603230338472918e-17,47
v661,1,common + random routes,0.20263350669249247,0.051086419980584,47,1.3661000693009462e-32,1.433406295894534e-32,47,1.0,0.0,47,31.29787234042553,18.077027090153166,47,1.0,0.0,47,1.0,0.0,47,-3.188938474987152e-17,8.603230338472918e-17,47
v661,1,common + shuffled routes,0.20263350669249247,0.051086419980584,47,1.3661000693009462e-32,1.433406295894534e-32,47,1.0,0.0,47,31.29787234042553,18.077027090153166,47,1.0,0.0,47,1.0,0.0,47,-3.188938474987152e-17,8.603230338472918e-17,47
v661,1,common + surrogate ancestry,0.20263350669249247,0.051086419980584,47,1.3661000693009462e-32,1.433406295894534e-32,47,1.0,0.0,47,31.29787234042553,18.077027090153166,47,1.0,0.0,47,1.0,0.0,47,-3.188938474987152e-17,8.603230338472918e-17,47
v661,1,common-constrained SVD,0.20263350669249247,0.051086419980584,47,1.3661000693009462e-32,1.433406295894534e-32,47,1.0,0.0,47,31.29787234042553,18.077027090153166,47,1.0,0.0,47,1.0,0.0,47,-3.188938474987152e-17,8.603230338472918e-17,47
v661,2,common + ancestry,0.2967521326782253,0.09989130419113564,47,0.11903931652650494,0.10530486205640599,47,2.0,0.0,47,33.5531914893617,21.15451284019589,47,0.5344518661105184,0.030688743856405482,47,1.0,0.0,47,0.09411862598573273,0.0824233613825633,47
v661,2,common + depth bins,0.26344432065297063,0.07755668024814266,47,0.07788698916641823,0.058803475483180996,47,2.0,0.0,47,46.1063829787234,27.083794322317853,47,0.734439275833133,0.007064694296558021,47,1.0,0.0,47,0.060810813960478056,0.042723723705773854,47
v661,2,common + random routes,0.2326546959294747,0.05488971611154283,47,0.038080086018125216,0.011284763727578102,47,1.673936170212766,0.18341547090587149,47,33.05882978723404,18.654920822223858,47,0.529477542855405,0.011042942050954033,47,1.0,0.0,47,0.030021189236982142,0.007833683747389032,47
v661,2,common + shuffled routes,0.23978946101934037,0.05848467106001107,47,0.04723219513953704,0.022636725702636553,47,2.0,0.0,47,33.5531914893617,21.15451284019589,47,0.5344518661105184,0.030688743856405482,47,1.0,0.0,47,0.037155954326847825,0.016616742587585033,47
