config,depth,branch_factors,seed,train_accuracy,valid_accuracy,test_accuracy,train_auc,valid_auc,test_auc
0,1,8,10100,0.5356000066,0.5320000052,0.5091999769,0.5554772615,0.5449798703,0.5081363916
1,1,8,10101,0.5379999876,0.5388999581,0.5019999743,0.5574382544,0.5499872565,0.5081211329
2,2,2x3,10100,0.5643999577,0.5508999825,0.5051000118,0.5925890803,0.5703490376,0.5086323619
3,2,2x3,10101,0.5611000061,0.5594999790,0.5047999620,0.5851448774,0.5778157711,0.5126453042
4,3,2x1x2,10100,0.6528999805,0.6309999824,0.5144999623,0.7037642598,0.6785591841,0.5167205930
5,3,2x1x2,10101,0.6592000127,0.6421999931,0.5059999824,0.7111815810,0.6908858418,0.5132901073
