target_root_id,target_nucleus_id,session,scan_idx,n_presynaptic_partners,n_pairs,median_repeat_reliability,shared_path_spearman_r,negative_tree_distance_spearman_r,shared_path_partial_r,same_major_branch_delta,source_summary
864691135810666525,256456,4,10,9,36,0.1903105768,-0.1213353083,-0.2285714286,-0.145141678,-0.06442410138,/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-credit-routing/results/microns_functional_partner_responses/target256456_ses4_scan10_automatic_conservative/functional_topology/summary.json
864691135810666525,256456,6,4,6,15,0.1699417967,0.1992149315,0.15,0.1163157542,0.06646660442,/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-credit-routing/results/microns_functional_partner_responses/target256456_ses6_scan4_automatic_conservative/functional_topology/summary.json
864691135810666525,256456,6,6,10,45,0.1765731597,0.2170811386,-0.1652609441,0.1020707781,0.08309213421,/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-credit-routing/results/microns_functional_partner_responses/target256456_ses6_scan6_automatic_conservative/functional_topology/summary.json
864691135810666525,256456,7,4,11,55,0.1484805114,0.1187178535,-0.5542746911,0.2886838561,0.1200642772,/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-credit-routing/results/microns_functional_partner_responses/target256456_ses7_scan4_automatic_conservative/functional_topology/summary.json
864691135060651419,256550,5,6,10,45,0.3188993846,0.06054569905,-0.1722002635,0.1558365383,0.03311663554,/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-credit-routing/results/microns_functional_partner_responses/target256550_ses5_scan6_automatic_conservative/functional_topology/summary.json
864691135060651419,256550,5,7,8,28,0.2611134965,-0.09190586426,-0.1778872469,-0.01711146525,-0.06902488188,/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-credit-routing/results/microns_functional_partner_responses/target256550_ses5_scan7_automatic_conservative/functional_topology/summary.json
864691135060651419,256550,9,4,13,78,0.193287534,-0.2338887402,-0.1999393012,-0.1766728327,-0.07443331668,/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-credit-routing/results/microns_functional_partner_responses/target256550_ses9_scan4_automatic_conservative/functional_topology/summary.json
864691135277186789,258209,4,7,12,66,0.1555388579,0.1487699448,0.1337438681,0.06470783573,0.1062102668,/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-credit-routing/results/microns_functional_partner_responses/target258209_ses4_scan7_automatic_conservative/functional_topology/summary.json
864691135277186789,258209,8,5,17,136,0.2910214207,0.06998263495,0.09428153981,0.07607580727,0.03891350314,/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-credit-routing/results/microns_functional_partner_responses/target258209_ses8_scan5_automatic_conservative/functional_topology/summary.json
864691135739661169,264871,7,3,6,15,0.3272673059,-0.4539206495,-0.1484299659,-0.4171652613,-0.1405286151,/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-credit-routing/results/microns_functional_partner_responses/target264871_ses7_scan3_automatic_conservative/functional_topology/summary.json
864691135196576298,264888,7,3,9,36,0.2271838176,-0.2966978755,-0.02448613621,-0.3580367383,-0.1590500249,/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-credit-routing/results/microns_functional_partner_responses/target264888_ses7_scan3_automatic_conservative/functional_topology/summary.json
864691135324623260,264889,6,6,5,10,0.3293545155,0.2022599587,0.2507750798,-0.01432398447,0.05664109867,/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-credit-routing/results/microns_functional_partner_responses/target264889_ses6_scan6_automatic_conservative/functional_topology/summary.json
864691135409937097,291111,6,4,9,36,0.2453079529,0.2523344908,0.06872586873,0.3018221148,0.1366755203,/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-credit-routing/results/microns_functional_partner_responses/target291111_ses6_scan4_automatic_conservative/functional_topology/summary.json
