phase,optimizer,rate_scope,rule,contrast,n,mean,ci_low,ci_high,n_positive,n_negative
fresh,adam,selected,unit_broadcast,target_gap,20,8.972844626961071e-05,-0.00014718015268623224,0.00038353354648387777,8,12
fresh,adam,selected,unit_broadcast,control_gap,20,-0.00044918742035575995,-0.0007540586125185693,-0.0002108787438923481,0,20
fresh,adam,selected,unit_broadcast,task_difference_in_gap,20,0.0005389158666253707,0.00022887583733457529,0.0008799661108981142,14,6
fresh,adam,selected,calibrated_broadcast,target_gap,20,0.00018547454705005996,-5.185080187062126e-05,0.0004948461099410561,9,11
fresh,adam,selected,calibrated_broadcast,control_gap,20,-0.0004337885209937985,-0.0007333868805612614,-0.0001992921798177292,0,20
fresh,adam,selected,calibrated_broadcast,task_difference_in_gap,20,0.0006192630680438585,0.000297408951680223,0.0009789556614380579,15,5
fresh,adam,common,unit_broadcast,target_gap,20,8.972844626961071e-05,-0.00014718015268623224,0.00038353354648387777,8,12
fresh,adam,common,unit_broadcast,control_gap,20,-0.00044918742035575995,-0.0007540586125185693,-0.0002108787438923481,0,20
fresh,adam,common,unit_broadcast,task_difference_in_gap,20,0.0005389158666253707,0.00022887583733457529,0.0008799661108981142,14,6
fresh,adam,common,calibrated_broadcast,target_gap,20,0.00018547454705005996,-5.185080187062126e-05,0.0004948461099410561,9,11
fresh,adam,common,calibrated_broadcast,control_gap,20,-0.0004337885209937985,-0.0007333868805612614,-0.0001992921798177292,0,20
fresh,adam,common,calibrated_broadcast,task_difference_in_gap,20,0.0006192630680438585,0.000297408951680223,0.0009789556614380579,15,5
fresh,sgd,selected,unit_broadcast,target_gap,20,0.0008125704529619244,0.0005638710394269895,0.001094884152166479,19,1
fresh,sgd,selected,unit_broadcast,control_gap,20,-0.0004915831037523408,-0.0006475733188860051,-0.00035237047099866906,0,20
fresh,sgd,selected,unit_broadcast,task_difference_in_gap,20,0.0013041535567142651,0.0009945016347355916,0.0016703405656220925,20,0
fresh,sgd,selected,calibrated_broadcast,target_gap,20,0.00020680379383278434,0.00013510181239397107,0.00028560617110959745,19,1
fresh,sgd,selected,calibrated_broadcast,control_gap,20,-2.0898466641389997e-05,-3.6558377392933606e-05,-3.906377458669629e-06,3,17
fresh,sgd,selected,calibrated_broadcast,task_difference_in_gap,20,0.00022770226047417438,0.00015773054260401917,0.00030478770595234817,20,0
fresh,sgd,common,unit_broadcast,target_gap,20,0.0008125704529619244,0.0005638710394269895,0.001094884152166479,19,1
fresh,sgd,common,unit_broadcast,control_gap,20,-0.0004915831037523408,-0.0006475733188860051,-0.00035237047099866906,0,20
fresh,sgd,common,unit_broadcast,task_difference_in_gap,20,0.0013041535567142651,0.0009945016347355916,0.0016703405656220925,20,0
fresh,sgd,common,calibrated_broadcast,target_gap,20,0.00020680379383278434,0.00013510181239397107,0.00028560617110959745,19,1
fresh,sgd,common,calibrated_broadcast,control_gap,20,-2.0898466641389997e-05,-3.6558377392933606e-05,-3.906377458669629e-06,3,17
fresh,sgd,common,calibrated_broadcast,task_difference_in_gap,20,0.00022770226047417438,0.00015773054260401917,0.00030478770595234817,20,0
extension,adam,selected,unit_broadcast,target_gap,20,0.00046826442130486776,0.00023635641333718648,0.0007375435890778462,20,0
extension,adam,selected,unit_broadcast,control_gap,20,-1.1872762303812339e-06,-2.5767228212160403e-06,-5.960712146987968e-08,9,11
extension,adam,selected,unit_broadcast,task_difference_in_gap,20,0.000469451697535249,0.0002375959339573944,0.000738968326341587,20,0
extension,adam,selected,calibrated_broadcast,target_gap,20,0.0005022715940901862,0.00026710412101821807,0.0007724629159524559,20,0
extension,adam,selected,calibrated_broadcast,control_gap,20,-1.057042127265747e-06,-2.5013961393529594e-06,1.9043092779203533e-07,9,11
extension,adam,selected,calibrated_broadcast,task_difference_in_gap,20,0.0005033286362174519,0.00026838867459845023,0.0007738500431431676,20,0
extension,adam,common,unit_broadcast,target_gap,20,0.00046826442130486776,0.00023635641333718648,0.0007375435890778462,20,0
extension,adam,common,unit_broadcast,control_gap,20,-1.1872762303812339e-06,-2.5767228212160403e-06,-5.960712146987968e-08,9,11
extension,adam,common,unit_broadcast,task_difference_in_gap,20,0.000469451697535249,0.0002375959339573944,0.000738968326341587,20,0
extension,adam,common,calibrated_broadcast,target_gap,20,0.0005022715940901862,0.00026710412101821807,0.0007724629159524559,20,0
extension,adam,common,calibrated_broadcast,control_gap,20,-1.057042127265747e-06,-2.5013961393529594e-06,1.9043092779203533e-07,9,11
extension,adam,common,calibrated_broadcast,task_difference_in_gap,20,0.0005033286362174519,0.00026838867459845023,0.0007738500431431676,20,0
extension,sgd,selected,unit_broadcast,target_gap,20,0.000757617376950246,0.0005423284616718059,0.0009966489021555026,20,0
extension,sgd,selected,unit_broadcast,control_gap,20,-0.00019496951913367954,-0.00024559431698929415,-0.00014868556596248233,0,20
extension,sgd,selected,unit_broadcast,task_difference_in_gap,20,0.0009525868960839257,0.0007150581487265079,0.0012165575150139293,20,0
extension,sgd,selected,calibrated_broadcast,target_gap,20,0.0001142907035277411,7.590668094859069e-05,0.00015674516409412624,20,0
extension,sgd,selected,calibrated_broadcast,control_gap,20,7.27864297021358e-06,-3.194616233450815e-05,5.477926993599449e-05,9,11
extension,sgd,selected,calibrated_broadcast,task_difference_in_gap,20,0.00010701206055752752,7.726889853279028e-05,0.0001363884629350509,20,0
extension,sgd,common,unit_broadcast,target_gap,20,0.000757617376950246,0.0005423284616718059,0.0009966489021555026,20,0
extension,sgd,common,unit_broadcast,control_gap,20,-0.00019496951913367954,-0.00024559431698929415,-0.00014868556596248233,0,20
extension,sgd,common,unit_broadcast,task_difference_in_gap,20,0.0009525868960839257,0.0007150581487265079,0.0012165575150139293,20,0
extension,sgd,common,calibrated_broadcast,target_gap,20,0.0001142907035277411,7.590668094859069e-05,0.00015674516409412624,20,0
extension,sgd,common,calibrated_broadcast,control_gap,20,7.27864297021358e-06,-3.194616233450815e-05,5.477926993599449e-05,9,11
extension,sgd,common,calibrated_broadcast,task_difference_in_gap,20,0.00010701206055752752,7.726889853279028e-05,0.0001363884629350509,20,0
