phase,task,optimizer,rule,seed,rate,selected_rate,common_rate,best_step,validation_nmse,test_nmse,path_rank_one_capture,path_effective_rank,path_unit_oracle_capture,path_calibrated_oracle_capture,credit_rank_one_capture,credit_effective_rank,credit_unit_oracle_capture,credit_calibrated_oracle_capture,eligibility_calibrated_oracle_capture,loss_eligibility_calibrated_oracle_capture
extension,gated_conflict,adam,calibrated_broadcast,1110.5,0.03,1.0,1.0,15155.2,0.0005154377807897691,0.000503432046900255,0.889557864622436,1.2446708863399447,0.5307118606492776,0.838218910572708,0.8933313878083619,1.2356892789430207,0.531347302370357,0.8400657606911182,0.967135357139534,0.9801924562947967
extension,gated_conflict,adam,exact,1110.5,0.03,1.0,1.0,16179.2,1.1672394421029657e-06,1.1604528100688467e-06,0.8854783706083099,1.2544455732865816,0.5295468803175349,0.8366937217811221,0.9084974245986267,1.2006126342674979,0.5297699077578801,0.8418731006004785,0.9697394305016251,0.9893225080371082
extension,gated_conflict,adam,unit_broadcast,1110.5,0.03,1.0,1.0,14131.2,0.0004792971412922784,0.00046942487411493654,0.8894776488909688,1.2448636103998842,0.5308033420470429,0.839422394498522,0.8940891074257855,1.2339152372307103,0.531803968869691,0.84645576872646,0.9672418569473672,0.9811027163269813
extension,gated_conflict,sgd,calibrated_broadcast,1110.5,0.3,1.0,1.0,16384.0,0.00029336788542781744,0.000283013566969105,0.8881281238234957,1.248021585888034,0.5303993646520412,0.8146168241996653,0.8946929037778233,1.2325160859813802,0.5313119662658329,0.8261355606681324,0.9674345353174527,0.9842510813623703
extension,gated_conflict,sgd,exact,1110.5,0.3,1.0,1.0,16384.0,0.00017186197400772095,0.0001687228634413639,0.8864017123746819,1.2521911848793992,0.5337495550445057,0.8366725484727657,0.9009420118400138,1.2177562374614221,0.5346078230575542,0.8452451426613621,0.969222722209728,0.969000113888872
extension,gated_conflict,sgd,unit_broadcast,1110.5,0.3,1.0,1.0,13414.4,0.0009557563851005999,0.00092634024039161,0.8936579137341646,1.23475860857256,0.5339186267942211,0.8320391090268219,0.8995612792383063,1.2211367663930612,0.5349934054896497,0.837734237297789,0.963797839611361,0.9805508942691302
extension,ungated_independent,adam,calibrated_broadcast,1110.5,0.03,1.0,1.0,15974.4,7.251330317575628e-07,7.175067129225264e-07,0.9999999999999994,1.000000000000001,0.6589214863581244,0.9457897740682506,1.0,1.0,0.6589214863581244,0.9457897740682506,0.9789357049183451,0.9746342642288898
extension,ungated_independent,adam,exact,1110.5,0.03,1.0,1.0,15769.6,1.7948912977783454e-06,1.7745488401882732e-06,1.0000000000000007,0.9999999999999986,0.6590690864467654,0.946116534809628,1.0,1.0,0.6590690864467654,0.946116534809628,0.9789063466726047,0.9789826552435231
extension,ungated_independent,adam,unit_broadcast,1110.5,0.03,1.0,1.0,15360.0,5.830039705410502e-07,5.87272609807039e-07,1.0,1.0,0.6591274595139746,0.9463672619239603,1.0,1.0,0.6591274595139747,0.94636726192396,0.9791275296737142,0.9770506082668315
extension,ungated_independent,sgd,calibrated_broadcast,1110.5,0.3,1.0,1.0,16384.0,0.0002285751373548489,0.00022793782412499584,1.0000000000000002,0.9999999999999998,0.6587554861188819,0.9309955139633951,1.0,1.0000000000000002,0.658755486118882,0.9309955139633951,0.9730291755891015,0.9709999779172914
extension,ungated_independent,sgd,exact,1110.5,0.3,1.0,1.0,16384.0,0.00021974782975180116,0.00022065918115478223,0.9999999999999997,1.0000000000000009,0.6617850742745843,0.9446158432766432,1.0,1.0000000000000002,0.6617850742745842,0.9446158432766432,0.9781573753537041,0.9766211028028134
extension,ungated_independent,sgd,unit_broadcast,1110.5,0.3,1.0,1.0,16384.0,2.6025473711125904e-05,2.5689662021102703e-05,1.0,0.9999999999999998,0.6600112267334408,0.9430643942795527,1.0,1.0,0.6600112267334407,0.9430643942795527,0.9773252135930154,0.9753875896455988
fresh,gated_conflict,adam,calibrated_broadcast,1110.5,0.03,1.0,1.0,4096.0,0.000805074554771,0.00078359424066592,0.9063807099119996,1.2046051881586213,0.5259322897441653,0.8455566761472249,0.917017443714722,1.180041915415164,0.5273096317743835,0.8511285771407977,0.958703651805709,0.9763461034897543
fresh,gated_conflict,adam,exact,1110.5,0.03,1.0,1.0,4096.0,0.000622858789777045,0.00059811969361586,0.8978364124033309,1.2247282164638975,0.533462155606258,0.8286249101070643,0.9239178470101704,1.1652742860251837,0.5357134633643009,0.842378914553416,0.9607411219813278,0.9665534200546411
fresh,gated_conflict,adam,unit_broadcast,1110.5,0.03,1.0,1.0,4096.0,0.0007050371795426914,0.0006878481398854707,0.9039271353465281,1.2103455952342281,0.5276202972990893,0.8461521220247766,0.9168774106659306,1.1803791068904652,0.52931154638475,0.8509515565433995,0.9591729989207485,0.9759501624113802
fresh,gated_conflict,sgd,calibrated_broadcast,1110.5,0.3,1.0,1.0,4096.0,0.000510189043626325,0.000485834218177695,0.8887251461106942,1.2465785978361663,0.530619173605656,0.8156422003679872,0.892111259124205,1.2385063346591534,0.5312012813327668,0.8227929883634179,0.9667138370881357,0.9866309686113415
fresh,gated_conflict,sgd,exact,1110.5,0.3,1.0,1.0,4096.0,0.0002861855118386776,0.00027903042434491065,0.8868281339172871,1.2511579101016612,0.5342290521048068,0.8342042528344871,0.8970589330843687,1.2266965002879984,0.5350843525733837,0.8449819927682214,0.9687896854718524,0.9777702175674421
fresh,gated_conflict,sgd,unit_broadcast,1110.5,0.3,1.0,1.0,3276.8,0.00113315563151214,0.0010916008773068351,0.8967400307039701,1.2274626316433688,0.533266169007697,0.829906632443439,0.9005496169402946,1.2185430948148401,0.5343850714367957,0.8351931674555481,0.9618260866133219,0.9789748207267586
fresh,ungated_independent,adam,calibrated_broadcast,1110.5,0.03,1.0,1.0,4096.0,5.3714968389624465e-05,5.307748495013012e-05,0.9999999999999994,1.000000000000001,0.6561181290320707,0.9324313771755486,1.0,1.0,0.6561181290320707,0.9324313771755486,0.9741660935856459,0.9698219648504244
fresh,ungated_independent,adam,exact,1110.5,0.03,1.0,1.0,4096.0,0.0004839408039856312,0.0004868660059439287,0.9999999999999998,1.0000000000000004,0.6606239470561607,0.9313445531617729,1.0,1.0,0.6606239470561606,0.9313445531617729,0.9735836241205662,0.9703970656464047
fresh,ungated_independent,adam,unit_broadcast,1110.5,0.03,1.0,1.0,4096.0,3.826424254261535e-05,3.767858558816876e-05,0.9999999999999997,1.000000000000001,0.6564287514477646,0.933348228853176,1.0,1.0,0.6564287514477646,0.9333482288531763,0.9745608105433371,0.9706153266771507
fresh,ungated_independent,sgd,calibrated_broadcast,1110.5,0.3,1.0,1.0,4096.0,0.000520620054901345,0.0005192706688452151,0.9999999999999998,1.0000000000000004,0.6561681924771587,0.9285633665205142,1.0000000000000002,0.9999999999999998,0.6561681924771589,0.9285633665205142,0.9721007627690416,0.9680865165836945
fresh,ungated_independent,sgd,exact,1110.5,0.3,1.0,1.0,4096.0,0.000539712112331055,0.000540169135486605,0.9999999999999997,1.0000000000000004,0.6597982191203607,0.9437830685706852,1.0000000000000002,0.9999999999999998,0.6597982191203609,0.9437830685706852,0.9776661628776668,0.9741896469699803
fresh,ungated_independent,sgd,unit_broadcast,1110.5,0.3,1.0,1.0,4096.0,4.9535070507420654e-05,4.8586031734264154e-05,1.0,1.0,0.6595724165036637,0.9402177150351344,1.0,1.0,0.6595724165036637,0.9402177150351342,0.976212431476964,0.9737264524911078
