family,task,core,strategy,feedback,routing,topology,depth,branch_factors,non_somatic_compartments_per_soma,inhibitory_synapses_per_branch,n_seeds,mean_accuracy,ci95_low,ci95_high,total_parameters,active_synapses,mean_duration_seconds,mean_peak_memory_bytes
spatial,mnist,dendritic_additive,local_ca,per_soma_shared,correct,spatial,4,2x2x2x2,30,11,10,0.969619971513748,0.9691999793052674,0.9700999677181243,135946,122880,276.4,2379922432.0
spatial,mnist,dendritic_additive,standard,backprop,correct,random,4,2x2x2x2,30,11,10,0.9666899859905242,0.965809988975525,0.9675499856472016,135946,122880,228.9,2298161664.0
spatial,mnist,dendritic_additive,standard,backprop,correct,spatial,4,2x2x2x2,30,11,10,0.9727199614048004,0.972249960899353,0.9731899678707124,135946,122880,227.6,2298161664.0
spatial,mnist,dendritic_shunting,local_ca,path_transport,not_applicable,random,4,2x2x2x2,30,11,10,0.9686599791049956,0.9680999875068664,0.969169980287552,135946,122880,316.5,3173399040.0
spatial,mnist,dendritic_shunting,local_ca,path_transport,not_applicable,spatial,4,2x2x2x2,30,11,10,0.9742999851703644,0.973719984292984,0.9749299883842468,135946,122880,311.1,3173399040.0
spatial,mnist,dendritic_shunting,local_ca,per_soma,not_applicable,random,4,2x2x2x2,30,11,10,0.8923999726772308,0.888269978761673,0.8966399729251862,135946,122880,302.8,3173629440.0
spatial,mnist,dendritic_shunting,local_ca,per_soma,not_applicable,spatial,4,2x2x2x2,30,11,10,0.9047499775886536,0.9017599761486054,0.9081399798393248,135946,122880,304.5,3173629440.0
spatial,mnist,dendritic_shunting,local_ca,per_soma_shared,correct,random,4,2x2x2x2,30,11,10,0.9664799809455872,0.9658199727535248,0.967149978876114,135946,122880,302.2,3174809088.0
spatial,mnist,dendritic_shunting,local_ca,per_soma_shared,correct,spatial,4,2x2x2x2,30,11,10,0.9735499799251556,0.972979974746704,0.9740699768066406,135946,122880,305.9,3174809088.0
spatial,mnist,dendritic_shunting,standard,backprop,correct,random,4,2x2x2x2,30,11,10,0.9686499834060668,0.9680899858474732,0.9691799759864808,135946,122880,231.0,3086666240.0
spatial,mnist,dendritic_shunting,standard,backprop,correct,spatial,4,2x2x2x2,30,11,10,0.9742999851703644,0.9737299740314485,0.9749299943447112,135946,122880,238.2,3086666240.0
spatial,noise_resilience,dendritic_additive,local_ca,path_transport,not_applicable,random,4,2x2x2x2,30,11,10,0.9134599804878236,0.9123199760913848,0.914630239456892,135946,122880,287.4,2380929024.0
spatial,noise_resilience,dendritic_additive,local_ca,path_transport,not_applicable,spatial,4,2x2x2x2,30,11,10,0.9234299778938292,0.9225399790704252,0.9242599964141844,135946,122880,283.1,2380929024.0
spatial,noise_resilience,dendritic_additive,local_ca,per_soma,not_applicable,random,4,2x2x2x2,30,11,10,0.7558799862861634,0.7451099930703641,0.7676202292740344,135946,122880,279.6,2378800128.0
spatial,noise_resilience,dendritic_additive,local_ca,per_soma,not_applicable,spatial,4,2x2x2x2,30,11,10,0.7816299855709076,0.7769199848175049,0.7869799852371215,135946,122880,377.2,2379222835.2
spatial,noise_resilience,dendritic_additive,local_ca,per_soma_shared,correct,random,4,2x2x2x2,30,11,10,0.9138399720191956,0.912749981880188,0.9149999678134918,135946,122880,279.1,2379922432.0
spatial,noise_resilience,dendritic_additive,local_ca,per_soma_shared,correct,spatial,4,2x2x2x2,30,11,10,0.9255399763584136,0.9238899767398834,0.9272199749946596,135946,122880,280.1,2379922432.0
spatial,noise_resilience,dendritic_additive,standard,backprop,correct,random,4,2x2x2x2,30,11,10,0.9134599804878236,0.9123199820518494,0.9146499812602996,135946,122880,227.0,2298161664.0
spatial,noise_resilience,dendritic_additive,standard,backprop,correct,spatial,4,2x2x2x2,30,11,10,0.9234299778938292,0.92254998087883,0.924239981174469,135946,122880,227.6,2298161664.0
