cohort,run_dir,config_index,family,task,core,strategy,feedback,depth,seed,transfer_output_activation,input_convention_valid,publication_included,exclusion_reason
primary,prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,0,primary,mnist,dendritic_additive,standard,backprop,1,42,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,1,primary,mnist,dendritic_additive,standard,backprop,1,43,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,2,primary,mnist,dendritic_additive,standard,backprop,1,44,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,3,primary,mnist,dendritic_additive,standard,backprop,1,45,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,4,primary,mnist,dendritic_additive,standard,backprop,1,46,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,5,primary,mnist,dendritic_additive,standard,backprop,1,47,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,6,primary,mnist,dendritic_additive,standard,backprop,1,48,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,7,primary,mnist,dendritic_additive,standard,backprop,1,49,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,8,primary,mnist,dendritic_additive,standard,backprop,1,50,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,9,primary,mnist,dendritic_additive,standard,backprop,1,51,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,10,primary,mnist,dendritic_additive,standard,backprop,2,42,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,11,primary,mnist,dendritic_additive,standard,backprop,2,43,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,12,primary,mnist,dendritic_additive,standard,backprop,2,44,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,13,primary,mnist,dendritic_additive,standard,backprop,2,45,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,14,primary,mnist,dendritic_additive,standard,backprop,2,46,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,15,primary,mnist,dendritic_additive,standard,backprop,2,47,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,16,primary,mnist,dendritic_additive,standard,backprop,2,48,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,17,primary,mnist,dendritic_additive,standard,backprop,2,49,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,18,primary,mnist,dendritic_additive,standard,backprop,2,50,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,19,primary,mnist,dendritic_additive,standard,backprop,2,51,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,20,primary,mnist,dendritic_additive,standard,backprop,3,42,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,21,primary,mnist,dendritic_additive,standard,backprop,3,43,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,22,primary,mnist,dendritic_additive,standard,backprop,3,44,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,23,primary,mnist,dendritic_additive,standard,backprop,3,45,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,24,primary,mnist,dendritic_additive,standard,backprop,3,46,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,25,primary,mnist,dendritic_additive,standard,backprop,3,47,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,26,primary,mnist,dendritic_additive,standard,backprop,3,48,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,27,primary,mnist,dendritic_additive,standard,backprop,3,49,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,28,primary,mnist,dendritic_additive,standard,backprop,3,50,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,29,primary,mnist,dendritic_additive,standard,backprop,3,51,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,30,primary,mnist,dendritic_additive,standard,backprop,4,42,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,31,primary,mnist,dendritic_additive,standard,backprop,4,43,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,32,primary,mnist,dendritic_additive,standard,backprop,4,44,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,33,primary,mnist,dendritic_additive,standard,backprop,4,45,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,34,primary,mnist,dendritic_additive,standard,backprop,4,46,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,35,primary,mnist,dendritic_additive,standard,backprop,4,47,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,36,primary,mnist,dendritic_additive,standard,backprop,4,48,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,37,primary,mnist,dendritic_additive,standard,backprop,4,49,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,38,primary,mnist,dendritic_additive,standard,backprop,4,50,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,39,primary,mnist,dendritic_additive,standard,backprop,4,51,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,0,primary,mnist,dendritic_additive,local_ca,per_soma,1,42,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,1,primary,mnist,dendritic_additive,local_ca,per_soma,1,43,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,2,primary,mnist,dendritic_additive,local_ca,per_soma,1,44,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,3,primary,mnist,dendritic_additive,local_ca,per_soma,1,45,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,4,primary,mnist,dendritic_additive,local_ca,per_soma,1,46,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,5,primary,mnist,dendritic_additive,local_ca,per_soma,1,47,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,6,primary,mnist,dendritic_additive,local_ca,per_soma,1,48,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,7,primary,mnist,dendritic_additive,local_ca,per_soma,1,49,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,8,primary,mnist,dendritic_additive,local_ca,per_soma,1,50,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,9,primary,mnist,dendritic_additive,local_ca,per_soma,1,51,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,10,primary,mnist,dendritic_additive,local_ca,per_soma_shared,1,42,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,11,primary,mnist,dendritic_additive,local_ca,per_soma_shared,1,43,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,12,primary,mnist,dendritic_additive,local_ca,per_soma_shared,1,44,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,13,primary,mnist,dendritic_additive,local_ca,per_soma_shared,1,45,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,14,primary,mnist,dendritic_additive,local_ca,per_soma_shared,1,46,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,15,primary,mnist,dendritic_additive,local_ca,per_soma_shared,1,47,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,16,primary,mnist,dendritic_additive,local_ca,per_soma_shared,1,48,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,17,primary,mnist,dendritic_additive,local_ca,per_soma_shared,1,49,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,18,primary,mnist,dendritic_additive,local_ca,per_soma_shared,1,50,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,19,primary,mnist,dendritic_additive,local_ca,per_soma_shared,1,51,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,20,primary,mnist,dendritic_additive,local_ca,path_transport,1,42,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,21,primary,mnist,dendritic_additive,local_ca,path_transport,1,43,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,22,primary,mnist,dendritic_additive,local_ca,path_transport,1,44,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,23,primary,mnist,dendritic_additive,local_ca,path_transport,1,45,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,24,primary,mnist,dendritic_additive,local_ca,path_transport,1,46,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,25,primary,mnist,dendritic_additive,local_ca,path_transport,1,47,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,26,primary,mnist,dendritic_additive,local_ca,path_transport,1,48,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,27,primary,mnist,dendritic_additive,local_ca,path_transport,1,49,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,28,primary,mnist,dendritic_additive,local_ca,path_transport,1,50,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,29,primary,mnist,dendritic_additive,local_ca,path_transport,1,51,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,30,primary,mnist,dendritic_additive,local_ca,per_soma,2,42,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,31,primary,mnist,dendritic_additive,local_ca,per_soma,2,43,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,32,primary,mnist,dendritic_additive,local_ca,per_soma,2,44,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,33,primary,mnist,dendritic_additive,local_ca,per_soma,2,45,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,34,primary,mnist,dendritic_additive,local_ca,per_soma,2,46,,True,True,
primary,prospective_runs/journal_confirmatory_mnist_additive_local3f_depth_feedback_20260802184303,35,primary,mnist,dendritic_additive,local_ca,per_soma,2,47,,True,True,
