seed,branches,conflict_probability,condition,train_loss_new,train_accuracy_new,test_loss_new,test_accuracy_new,initial_gradient_cosine_new,initial_gradient_capture_new,initial_signed_utility_new,theoretical_shared_relative_signal_new,theoretical_deranged_relative_signal_new,feedback_rank_new,feedback_nonzeros_per_example_new,forward_parameters_new,active_forward_branches_per_example_new,simultaneously_driven_branches_per_example_new,train_loss_historical,train_accuracy_historical,test_loss_historical,test_accuracy_historical,initial_gradient_cosine_historical,initial_gradient_capture_historical,initial_signed_utility_historical,theoretical_shared_relative_signal_historical,theoretical_deranged_relative_signal_historical,feedback_rank_historical,feedback_nonzeros_per_example_historical,forward_parameters_historical,active_forward_branches_per_example_historical,simultaneously_driven_branches_per_example_historical,test_accuracy_replay_error,test_loss_replay_error
11000,2,0,neuron_shared_k1,0.40763604641,0.8173828125,0.391441047192,0.826000034809,0.999170124531,0.998340964317,0.998340904713,1,1,1,2,100,1,2,0.4076360464,0.8173828125,0.3914410472,0.8260000348,0.9991701245,0.9983409643,0.9983409047,1,1,1,2,100,1,2,9.11259956382e-12,8.38012992332e-12
11000,2,0,correct_path,0.406696885824,0.817749023438,0.392797112465,0.828500032425,1,1,1,1,1,2,1,100,1,2,0.4066968858,0.8177490234,0.3927971125,0.8285000324,1,1,1,1,1,2,1,100,1,2,2.49267273489e-11,3.50952045203e-11
11000,2,0,within_neuron_deranged,10.1914949417,0.54833984375,9.8340511322,0.54800003767,0.996681928635,0.993374884129,0.996681928635,1,1,2,1,100,1,2,10.19149494,0.5483398438,9.834051132,0.5480000377,0.9966819286,0.9933748841,0.9966819286,1,1,2,1,100,1,2,2.98645552732e-11,2.02147631967e-10
11000,2,0,backpropagation,0.406696885824,0.817749023438,0.392797112465,0.828500032425,1,1,1,1,1,2,1,100,1,2,0.4066968858,0.8177490234,0.3927971125,0.8285000324,1,1,1,1,1,2,1,100,1,2,2.49267273489e-11,3.50952045203e-11
11000,2,0,gated_point_emulation,0.406696885824,0.817749023438,0.392797112465,0.828500032425,1,1,1,1,1,2,1,100,1,2,0.4066968858,0.8177490234,0.3927971125,0.8285000324,1,1,1,1,1,2,1,100,1,2,2.49267273489e-11,3.50952045203e-11
11000,2,0.25,neuron_shared_k1,0.418846458197,0.819946289062,0.404508799314,0.826000034809,0.99902510643,0.998051166534,0.742413282394,0.75,0.5,1,2,100,1,2,0.4188464582,0.8199462891,0.4045087993,0.8260000348,0.9990251064,0.9980511665,0.7424132824,0.75,0.5,1,2,100,1,2,9.11259956382e-12,1.44989020789e-11
11000,2,0.25,correct_path,0.406696885824,0.817749023438,0.392797112465,0.828500032425,1,1,1,0.75,0.5,2,1,100,1,2,0.4066968858,0.8177490234,0.3927971125,0.8285000324,1,1,1,0.75,0.5,2,1,100,1,2,2.49267273489e-11,3.50952045203e-11
11000,2,0.25,within_neuron_deranged,7.3735165596,0.531494140625,7.14977407455,0.53250002861,0.990966439247,0.982014477253,0.484826683998,0.75,0.5,2,1,100,1,2,7.37351656,0.5314941406,7.149774075,0.5325000286,0.9909664392,0.9820144773,0.484826684,0.75,0.5,2,1,100,1,2,1.02294839266e-11,4.45556480599e-10
11000,2,0.25,backpropagation,0.406696885824,0.817749023438,0.392797112465,0.828500032425,1,1,1,0.75,0.5,2,1,100,1,2,0.4066968858,0.8177490234,0.3927971125,0.8285000324,1,1,1,0.75,0.5,2,1,100,1,2,2.49267273489e-11,3.50952045203e-11
11000,2,0.25,gated_point_emulation,0.406696885824,0.817749023438,0.392797112465,0.828500032425,1,1,1,0.75,0.5,2,1,100,1,2,0.4066968858,0.8177490234,0.3927971125,0.8285000324,1,1,1,0.75,0.5,2,1,100,1,2,2.49267273489e-11,3.50952045203e-11
