branches,conflict_probability,epoch,condition,state_comparison,mean_cosine,sd_cosine,mean_signed_signal,negative_gradient_seeds,n_seeds
2,0.25,1,neuron_shared_k1,common_exact_state,0.998215514421,0.00143557302166,0.743340560794,0,20
2,0.25,1,neuron_shared_k1,own_state,0.998033750057,0.00167902034785,0.74380813241,0,20
2,0.25,1,within_neuron_deranged,common_exact_state,0.983709201217,0.0129791671356,0.48668115437,0,20
2,0.25,1,within_neuron_deranged,own_state,0.980513563752,0.0172750235597,0.488488815725,0,20
2,0.25,10,backpropagation,common_exact_state,1,0,1,0,20
2,0.25,10,backpropagation,own_state,1,0,1,0,20
2,0.25,10,correct_path,common_exact_state,1,0,1,0,20
2,0.25,10,correct_path,own_state,1,0,1,0,20
2,0.25,10,gated_point_emulation,common_exact_state,1,0,1,0,20
2,0.25,10,gated_point_emulation,own_state,1,0,1,0,20
2,0.25,10,neuron_shared_k1,common_exact_state,0.998371660709,0.000676409430364,0.714292371273,0,20
2,0.25,10,neuron_shared_k1,own_state,0.997250431776,0.00214111925656,0.721202787757,0,20
2,0.25,10,within_neuron_deranged,common_exact_state,0.982232934237,0.0075979901899,0.428584736586,0,20
2,0.25,10,within_neuron_deranged,own_state,0.928248360753,0.0767702369137,0.442295114696,0,20
2,0.25,50,backpropagation,common_exact_state,1,0,1,0,20
2,0.25,50,backpropagation,own_state,1,0,1,0,20
2,0.25,50,correct_path,common_exact_state,1,0,1,0,20
2,0.25,50,correct_path,own_state,1,0,1,0,20
2,0.25,50,gated_point_emulation,common_exact_state,1,0,1,0,20
2,0.25,50,gated_point_emulation,own_state,1,0,1,0,20
2,0.25,50,neuron_shared_k1,common_exact_state,0.972349518537,0.00659181498039,0.573529186845,0,20
2,0.25,50,neuron_shared_k1,own_state,0.986297914386,0.00565160583723,0.619353741407,0,20
2,0.25,50,within_neuron_deranged,common_exact_state,0.474811081588,0.078018076256,0.147058394179,0,20
2,0.25,50,within_neuron_deranged,own_state,-0.404070159513,0.493162486532,-0.300164998555,17,20
2,0.25,100,backpropagation,common_exact_state,1,0,1,0,20
2,0.25,100,backpropagation,own_state,1,0,1,0,20
2,0.25,100,correct_path,common_exact_state,1,0,1,0,20
2,0.25,100,correct_path,own_state,1,0,1,0,20
2,0.25,100,gated_point_emulation,common_exact_state,1,0,1,0,20
2,0.25,100,gated_point_emulation,own_state,1,0,1,0,20
2,0.25,100,neuron_shared_k1,common_exact_state,0.785534393787,0.029744724088,0.432244428992,0,20
2,0.25,100,neuron_shared_k1,own_state,0.945590290427,0.014818831277,0.503253124654,0,20
2,0.25,100,within_neuron_deranged,common_exact_state,-0.195274626464,0.0475147202069,-0.1355111368,20,20
2,0.25,100,within_neuron_deranged,own_state,-0.818025374413,0.0154528580232,-0.586348760128,20,20
2,0.25,250,backpropagation,common_exact_state,1,0,1,0,20
2,0.25,250,backpropagation,own_state,1,0,1,0,20
2,0.25,250,correct_path,common_exact_state,1,0,1,0,20
2,0.25,250,correct_path,own_state,1,0,1,0,20
2,0.25,250,gated_point_emulation,common_exact_state,1,0,1,0,20
2,0.25,250,gated_point_emulation,own_state,1,0,1,0,20
2,0.25,250,neuron_shared_k1,common_exact_state,0.331802797317,0.0393861066497,0.344256947935,0,20
2,0.25,250,neuron_shared_k1,own_state,0.711348319054,0.0598249628269,0.27169643417,0,20
2,0.25,250,within_neuron_deranged,common_exact_state,-0.156552985683,0.0355232580612,-0.311486118287,20,20
2,0.25,250,within_neuron_deranged,own_state,-0.792971485853,0.0093801096866,-0.568053194881,20,20
2,0.5,0,backpropagation,common_exact_state,1,0,1,0,20
2,0.5,0,backpropagation,own_state,1,0,1,0,20
2,0.5,0,correct_path,common_exact_state,1,0,1,0,20
2,0.5,0,correct_path,own_state,1,0,1,0,20
2,0.5,0,gated_point_emulation,common_exact_state,1,0,1,0,20
2,0.5,0,gated_point_emulation,own_state,1,0,1,0,20
2,0.5,0,neuron_shared_k1,common_exact_state,0.997631558776,0.00160956314979,0.500325374305,0,20
2,0.5,0,neuron_shared_k1,own_state,0.997631558776,0.00160956314979,0.500325374305,0,20
2,0.5,0,within_neuron_deranged,common_exact_state,0.0302502953214,0.25675315874,0.000650750999193,9,20
2,0.5,0,within_neuron_deranged,own_state,0.0302502953214,0.25675315874,0.000650750999193,9,20
2,0.5,1,backpropagation,common_exact_state,1,0,1,0,20
2,0.5,1,backpropagation,own_state,1,0,1,0,20
2,0.5,1,correct_path,common_exact_state,1,0,1,0,20
2,0.5,1,correct_path,own_state,1,0,1,0,20
2,0.5,1,gated_point_emulation,common_exact_state,1,0,1,0,20
2,0.5,1,gated_point_emulation,own_state,1,0,1,0,20
2,0.5,1,neuron_shared_k1,common_exact_state,0.997612425685,0.00160568795048,0.494151470065,0,20
2,0.5,1,neuron_shared_k1,own_state,0.997619649768,0.00162315416861,0.497169008851,0,20
2,0.5,1,within_neuron_deranged,common_exact_state,-0.15441616904,0.248995150001,-0.0116970531177,16,20
2,0.5,1,within_neuron_deranged,own_state,0.0257035379763,0.254169645094,0.000157412479169,10,20
2,0.5,10,backpropagation,common_exact_state,1,0,1,0,20
2,0.5,10,backpropagation,own_state,1,0,1,0,20
2,0.5,10,correct_path,common_exact_state,1,0,1,0,20
2,0.5,10,correct_path,own_state,1,0,1,0,20
2,0.5,10,gated_point_emulation,common_exact_state,1,0,1,0,20
2,0.5,10,gated_point_emulation,own_state,1,0,1,0,20
2,0.5,10,neuron_shared_k1,common_exact_state,0.993760976195,0.00358518538649,0.434171287715,0,20
2,0.5,10,neuron_shared_k1,own_state,0.996923875809,0.00208165415076,0.468794864416,0,20
2,0.5,10,within_neuron_deranged,common_exact_state,-0.818029269576,0.0675780008452,-0.131657432392,20,20
2,0.5,10,within_neuron_deranged,own_state,-0.0202464382164,0.227216908284,-0.00505265044922,10,20
2,0.5,50,backpropagation,common_exact_state,1,0,1,0,20
2,0.5,50,backpropagation,own_state,1,0,1,0,20
2,0.5,50,correct_path,common_exact_state,1,0,1,0,20
2,0.5,50,correct_path,own_state,1,0,1,0,20
2,0.5,50,gated_point_emulation,common_exact_state,1,0,1,0,20
2,0.5,50,gated_point_emulation,own_state,1,0,1,0,20
2,0.5,50,neuron_shared_k1,common_exact_state,0.516171362996,0.0596461192984,0.154226692766,0,20
2,0.5,50,neuron_shared_k1,own_state,0.978000304103,0.00639139631139,0.353138688207,0,20
2,0.5,50,within_neuron_deranged,common_exact_state,-0.80287759304,0.0268835587952,-0.691546621919,20,20
2,0.5,50,within_neuron_deranged,own_state,-0.411620167643,0.244064710918,-0.122380846954,20,20
2,0.5,100,backpropagation,common_exact_state,1,0,1,0,20
2,0.5,100,backpropagation,own_state,1,0,1,0,20
2,0.5,100,correct_path,common_exact_state,1,0,1,0,20
2,0.5,100,correct_path,own_state,1,0,1,0,20
2,0.5,100,gated_point_emulation,common_exact_state,1,0,1,0,20
2,0.5,100,gated_point_emulation,own_state,1,0,1,0,20
2,0.5,100,neuron_shared_k1,common_exact_state,-0.182685337216,0.0341949895604,-0.123302667961,20,20
2,0.5,100,neuron_shared_k1,own_state,0.911133950949,0.0143596233924,0.242849494517,0,20
2,0.5,100,within_neuron_deranged,common_exact_state,-0.684503343701,0.0264923670047,-1.24660534263,20,20
2,0.5,100,within_neuron_deranged,own_state,-0.797891250998,0.18673081522,-0.345630823355,20,20
2,0.5,250,backpropagation,common_exact_state,1,0,1,0,20
2,0.5,250,backpropagation,own_state,1,0,1,0,20
2,0.5,250,correct_path,common_exact_state,1,0,1,0,20
2,0.5,250,correct_path,own_state,1,0,1,0,20
2,0.5,250,gated_point_emulation,common_exact_state,1,0,1,0,20
2,0.5,250,gated_point_emulation,own_state,1,0,1,0,20
2,0.5,250,neuron_shared_k1,common_exact_state,-0.142053378746,0.0308796011703,-0.278750820458,20,20
2,0.5,250,neuron_shared_k1,own_state,0.577195325494,0.0258124382482,0.0872242771089,0,20
2,0.5,250,within_neuron_deranged,common_exact_state,-0.37227537483,0.0280145441248,-1.55750164986,20,20
2,0.5,250,within_neuron_deranged,own_state,-0.895228996873,0.00829898039614,-0.411889819801,20,20
2,0.571428571429,0,backpropagation,common_exact_state,1,0,1,0,20
2,0.571428571429,0,backpropagation,own_state,1,0,1,0,20
2,0.571428571429,0,correct_path,common_exact_state,1,0,1,0,20
2,0.571428571429,0,correct_path,own_state,1,0,1,0,20
2,0.571428571429,0,gated_point_emulation,common_exact_state,1,0,1,0,20
2,0.571428571429,0,gated_point_emulation,own_state,1,0,1,0,20
2,0.571428571429,0,neuron_shared_k1,common_exact_state,0.997068285942,0.00177123953929,0.428849110007,0,20
2,0.571428571429,0,neuron_shared_k1,own_state,0.997068285942,0.00177123953929,0.428849110007,0,20
2,0.571428571429,0,within_neuron_deranged,common_exact_state,-0.909074023366,0.0446915559237,-0.14230177477,20,20
2,0.571428571429,0,within_neuron_deranged,own_state,-0.909074023366,0.0446915559237,-0.14230177477,20,20
2,0.571428571429,1,backpropagation,common_exact_state,1,0,1,0,20
2,0.571428571429,1,backpropagation,own_state,1,0,1,0,20
2,0.571428571429,1,correct_path,common_exact_state,1,0,1,0,20
2,0.571428571429,1,correct_path,own_state,1,0,1,0,20
2,0.571428571429,1,gated_point_emulation,common_exact_state,1,0,1,0,20
2,0.571428571429,1,gated_point_emulation,own_state,1,0,1,0,20
2,0.571428571429,1,neuron_shared_k1,common_exact_state,0.996948176623,0.00188264835466,0.421758982539,0,20
2,0.571428571429,1,neuron_shared_k1,own_state,0.997066193819,0.00177955560668,0.425776110589,0,20
2,0.571428571429,1,within_neuron_deranged,common_exact_state,-0.923687958717,0.0349411988388,-0.156482034922,20,20
2,0.571428571429,1,within_neuron_deranged,own_state,-0.909449261427,0.0433574228312,-0.140729326382,20,20
2,0.571428571429,10,backpropagation,common_exact_state,1,0,1,0,20
2,0.571428571429,10,backpropagation,own_state,1,0,1,0,20
2,0.571428571429,10,correct_path,common_exact_state,1,0,1,0,20
2,0.571428571429,10,correct_path,own_state,1,0,1,0,20
2,0.571428571429,10,gated_point_emulation,common_exact_state,1,0,1,0,20
2,0.571428571429,10,gated_point_emulation,own_state,1,0,1,0,20
2,0.571428571429,10,neuron_shared_k1,common_exact_state,0.988862207532,0.00637635535558,0.353132687509,0,20
2,0.571428571429,10,neuron_shared_k1,own_state,0.99629009068,0.0022951783698,0.398429523408,0,20
2,0.571428571429,10,within_neuron_deranged,common_exact_state,-0.943476596475,0.0269320172141,-0.293734627962,20,20
2,0.571428571429,10,within_neuron_deranged,own_state,-0.900522628427,0.0437272039297,-0.128118308633,20,20
2,0.571428571429,50,backpropagation,common_exact_state,1,0,1,0,20
2,0.571428571429,50,backpropagation,own_state,1,0,1,0,20
2,0.571428571429,50,correct_path,common_exact_state,1,0,1,0,20
2,0.571428571429,50,correct_path,own_state,1,0,1,0,20
2,0.571428571429,50,gated_point_emulation,common_exact_state,1,0,1,0,20
2,0.571428571429,50,gated_point_emulation,own_state,1,0,1,0,20
2,0.571428571429,50,neuron_shared_k1,common_exact_state,0.117755085882,0.0577972617109,0.033972093719,0,20
2,0.571428571429,50,neuron_shared_k1,own_state,0.974706208706,0.00672988650521,0.290143968165,0,20
2,0.571428571429,50,within_neuron_deranged,common_exact_state,-0.847118112445,0.0208424950092,-0.932055804133,20,20
2,0.571428571429,50,within_neuron_deranged,own_state,-0.76446723938,0.0824879741278,-0.13452552408,20,20
2,0.571428571429,100,backpropagation,common_exact_state,1,0,1,0,20
2,0.571428571429,100,backpropagation,own_state,1,0,1,0,20
2,0.571428571429,100,correct_path,common_exact_state,1,0,1,0,20
2,0.571428571429,100,correct_path,own_state,1,0,1,0,20
2,0.571428571429,100,gated_point_emulation,common_exact_state,1,0,1,0,20
2,0.571428571429,100,gated_point_emulation,own_state,1,0,1,0,20
2,0.571428571429,100,neuron_shared_k1,common_exact_state,-0.349986039102,0.0330348730597,-0.28229624629,20,20
2,0.571428571429,100,neuron_shared_k1,own_state,0.901880273223,0.01400774805,0.191514075547,0,20
2,0.571428571429,100,within_neuron_deranged,common_exact_state,-0.718983700872,0.0234938982636,-1.56459249258,20,20
2,0.571428571429,100,within_neuron_deranged,own_state,-0.819206491113,0.101059412454,-0.255294374376,20,20
2,0.571428571429,250,backpropagation,common_exact_state,1,0,1,0,20
2,0.571428571429,250,backpropagation,own_state,1,0,1,0,20
