seed,branches,epoch,state_comparison,interpolated_zero_alignment,no_observed_positive_to_negative_crossing
11003,4,250,own_state,0.666906538834,False
11003,8,0,common_exact_state,0.57357643898,False
11003,8,0,own_state,0.57357643898,False
11003,8,1,common_exact_state,0.571926925301,False
11003,8,1,own_state,0.573567573203,False
11003,8,10,common_exact_state,0.556628148725,False
11003,8,10,own_state,0.573490467804,False
11003,8,50,common_exact_state,0.493584185152,False
11003,8,50,own_state,0.573194673902,False
11003,8,100,common_exact_state,0.430034769598,False
11003,8,100,own_state,0.57289585287,False
11003,8,250,common_exact_state,0.311303350599,False
11003,8,250,own_state,0.572196976235,False
11004,2,0,common_exact_state,0.993392071071,False
11004,2,0,own_state,0.993392071071,False
11004,2,1,common_exact_state,0.981336390926,False
11004,2,1,own_state,0.993355448745,False
11004,2,10,common_exact_state,0.877628665933,False
11004,2,10,own_state,0.993402861506,False
11004,2,50,common_exact_state,0.591483653666,False
11004,2,50,own_state,0.997914948577,False
11004,2,100,common_exact_state,0.44949784376,False
11004,2,100,own_state,,True
11004,2,250,common_exact_state,0.406240970352,False
11004,2,250,own_state,,True
11004,4,0,common_exact_state,0.671682456783,False
11004,4,0,own_state,0.671682456783,False
11004,4,1,common_exact_state,0.667323247032,False
11004,4,1,own_state,0.671554705349,False
11004,4,10,common_exact_state,0.631350622941,False
11004,4,10,own_state,0.670566425065,False
11004,4,50,common_exact_state,0.499583092433,False
11004,4,50,own_state,0.668217979866,False
11004,4,100,common_exact_state,0.397893753724,False
11004,4,100,own_state,0.667074328631,False
11004,4,250,common_exact_state,0.268783178331,False
11004,4,250,own_state,0.66459612916,False
11004,8,0,common_exact_state,0.566769722268,False
11004,8,0,own_state,0.566769722268,False
11004,8,1,common_exact_state,0.564995674237,False
11004,8,1,own_state,0.566739126857,False
11004,8,10,common_exact_state,0.549256697074,False
11004,8,10,own_state,0.566474469213,False
11004,8,50,common_exact_state,0.486071861909,False
11004,8,50,own_state,0.565481125899,False
11004,8,100,common_exact_state,0.423216718479,False
11004,8,100,own_state,0.56449975899,False
11004,8,250,common_exact_state,0.306903379548,False
11004,8,250,own_state,0.5621413063,False
11005,2,0,common_exact_state,,True
11005,2,0,own_state,,True
11005,2,1,common_exact_state,0.994580503366,False
11005,2,1,own_state,,True
11005,2,10,common_exact_state,0.892703938196,False
11005,2,10,own_state,,True
11005,2,50,common_exact_state,0.605568735757,False
11005,2,50,own_state,,True
11005,2,100,common_exact_state,0.451476330045,False
11005,2,100,own_state,,True
11005,2,250,common_exact_state,0.381396488179,False
11005,2,250,own_state,,True
11005,4,0,common_exact_state,0.659875242081,False
11005,4,0,own_state,0.659875242081,False
11005,4,1,common_exact_state,0.655795700776,False
11005,4,1,own_state,0.659833071963,False
11005,4,10,common_exact_state,0.620125676266,False
11005,4,10,own_state,0.659480459638,False
11005,4,50,common_exact_state,0.495366367919,False
11005,4,50,own_state,0.658359324624,False
11005,4,100,common_exact_state,0.395069758579,False
11005,4,100,own_state,0.657615058078,False
11005,4,250,common_exact_state,0.278297103411,False
11005,4,250,own_state,0.65736632263,False
11005,8,0,common_exact_state,0.567504344547,False
11005,8,0,own_state,0.567504344547,False
11005,8,1,common_exact_state,0.565880388241,False
11005,8,1,own_state,0.567487715158,False
11005,8,10,common_exact_state,0.551327371383,False
11005,8,10,own_state,0.567337008334,False
11005,8,50,common_exact_state,0.490671082824,False
11005,8,50,own_state,0.566643665539,False
11005,8,100,common_exact_state,0.427681281513,False
11005,8,100,own_state,0.565720125773,False
11005,8,250,common_exact_state,0.3105323843,False
11005,8,250,own_state,0.562568455008,False
11006,2,0,common_exact_state,,True
11006,2,0,own_state,,True
11006,2,1,common_exact_state,,True
11006,2,1,own_state,,True
11006,2,10,common_exact_state,0.896568951191,False
11006,2,10,own_state,,True
11006,2,50,common_exact_state,0.595186752942,False
11006,2,50,own_state,,True
11006,2,100,common_exact_state,0.440851727148,False
11006,2,100,own_state,,True
11006,2,250,common_exact_state,0.380732831119,False
11006,2,250,own_state,,True
11006,4,0,common_exact_state,0.666117508077,False
11006,4,0,own_state,0.666117508077,False
11006,4,1,common_exact_state,0.662340002355,False
11006,4,1,own_state,0.666087228553,False
11006,4,10,common_exact_state,0.628556284121,False
11006,4,10,own_state,0.665894819996,False
11006,4,50,common_exact_state,0.504696971644,False
11006,4,50,own_state,0.665875344048,False
11006,4,100,common_exact_state,0.401910086642,False
11006,4,100,own_state,0.666178580148,False
11006,4,250,common_exact_state,0.270619515446,False
11006,4,250,own_state,0.666491765401,False
11006,8,0,common_exact_state,0.573261547028,False
11006,8,0,own_state,0.573261547028,False
11006,8,1,common_exact_state,0.571453748587,False
11006,8,1,own_state,0.573239957435,False
11006,8,10,common_exact_state,0.555442162845,False
11006,8,10,own_state,0.573049854705,False
11006,8,50,common_exact_state,0.490591295268,False
11006,8,50,own_state,0.572283350308,False
11006,8,100,common_exact_state,0.426194269438,False
11006,8,100,own_state,0.571461660858,False
11006,8,250,common_exact_state,0.310815497213,False
11006,8,250,own_state,0.568083122301,False
11007,2,0,common_exact_state,0.982644023694,False
11007,2,0,own_state,0.982644023694,False
11007,2,1,common_exact_state,0.970776801325,False
11007,2,1,own_state,0.982396928421,False
11007,2,10,common_exact_state,0.869394734228,False
