branches,epoch,state_comparison,conflict_probability,mean_cosine,ci95_low,ci95_high,n_seeds
2,0,common_exact_state,0.0,0.9977481722832,0.9967675057053663,0.9986361404508936,20
2,0,common_exact_state,0.25,0.9980979382990501,0.9973968323318861,0.9987126769869313,20
2,0,common_exact_state,0.5,0.9976315587757499,0.9969371104238022,0.998279181718735,20
2,0,common_exact_state,0.571428571429,0.9970682859420499,0.9962651065736936,0.9977525033056102,20
2,0,common_exact_state,0.6,0.9969734519719502,0.9961172375827112,0.9976707661150886,20
2,0,common_exact_state,0.666666666667,0.9954198181628501,0.9942763934283337,0.9963685946166287,20
2,0,common_exact_state,0.75,0.990532207489,0.9880580260603665,0.9925757227091039,20
2,0,common_exact_state,1.0,-0.02432606844227999,-0.13597319406921696,0.08580180457803158,20
2,50,common_exact_state,0.0,0.9975555658340001,0.9971761755645039,0.9979093614966326,20
2,50,common_exact_state,0.25,0.9723495185374501,0.9694651834666738,0.9750778226553302,20
2,50,common_exact_state,0.5,0.5161713629960499,0.4913905749842688,0.5414543877169675,20
2,50,common_exact_state,0.571428571429,0.11775508588185502,0.09440555852842075,0.14396845849710924,20
2,50,common_exact_state,0.6,-0.0447165383956925,-0.06615680456619107,-0.021076920081383444,20
2,50,common_exact_state,0.666666666667,-0.34818097203965004,-0.3678803903608563,-0.32965567532929624,20
2,50,common_exact_state,0.75,-0.57417931258675,-0.5913069855422213,-0.5582727547734887,20
2,50,common_exact_state,1.0,-0.8036152243614,-0.8125614789873326,-0.7946560115367137,20
2,250,common_exact_state,0.0,0.9842391520739,0.9820256403834988,0.9862073932587949,20
2,250,common_exact_state,0.25,0.33180279731744994,0.31469181030978494,0.3484692130237662,20
2,250,common_exact_state,0.5,-0.142053378745915,-0.15502791740005462,-0.1285305793024401,20
2,250,common_exact_state,0.571428571429,-0.20284872800125,-0.21507121440033253,-0.1903453392164525,20
2,250,common_exact_state,0.6,-0.2223750337959,-0.23506421606991623,-0.20972838571294125,20
2,250,common_exact_state,0.666666666667,-0.2594546325503,-0.27161062063627245,-0.2476505387014125,20
2,250,common_exact_state,0.75,-0.29735667407515004,-0.3093338526412875,-0.2851773798093175,20
2,250,common_exact_state,1.0,-0.3665482565761001,-0.3768919347226675,-0.3562722091749076,20
2,250,own_state,0.0,0.8269838452339,0.7775991023332626,0.8732449125497711,20
2,250,own_state,0.25,0.7113483190536,0.6826635375618487,0.7329615493863937,20
2,250,own_state,0.5,0.5771953254937501,0.5664321756363312,0.5887810537217987,20
2,250,own_state,0.571428571429,0.5473336398600999,0.5380411107837524,0.5571520680934425,20
2,250,own_state,0.6,0.536055290699,0.5275269524007562,0.5447394187747436,20
2,250,own_state,0.666666666667,0.51142784655095,0.5032797795160813,0.5195648210124099,20
2,250,own_state,0.75,0.48192679286005,0.4732472697646637,0.4902530332281876,20
2,250,own_state,1.0,-0.031434494159295195,-0.05526252980100016,-0.007622277623453867,20
4,0,common_exact_state,0.0,0.9950207203626498,0.9936502052097801,0.99626467496165,20
4,0,common_exact_state,0.25,0.9950878947973001,0.9939404740185139,0.9960952255128563,20
4,0,common_exact_state,0.5,0.9872275084257,0.9844853720068576,0.9894505726546088,20
4,0,common_exact_state,0.571428571429,0.9630193561315001,0.9559103773534998,0.9690507365017036,20
4,0,common_exact_state,0.6,0.9253423303365,0.9111568413674412,0.9377822741121736,20
4,0,common_exact_state,0.666666666667,0.07476584706464,-0.03366989793240801,0.17313104094023274,20
4,0,common_exact_state,0.75,-0.9083585053683001,-0.9222564473749836,-0.8937982492149825,20
4,0,common_exact_state,1.0,-0.9830912977458001,-0.9858904691041336,-0.9800106490405074,20
4,50,common_exact_state,0.0,0.9966993898152499,0.9964088152350011,0.9969596923887349,20
4,50,common_exact_state,0.25,0.9821694225073502,0.9800213037432052,0.9842068206519438,20
4,50,common_exact_state,0.5,0.0201247662538225,-0.01776147296015493,0.056693090796425934,20
4,50,common_exact_state,0.571428571429,-0.6111947789789001,-0.6300108792632051,-0.5904080182314811,20
4,50,common_exact_state,0.6,-0.717649281025,-0.7343101711571887,-0.6994547142089501,20
4,50,common_exact_state,0.666666666667,-0.8390221387147999,-0.8492440490425625,-0.8287360987811876,20
4,50,common_exact_state,0.75,-0.8972518593073,-0.9040502867101788,-0.8908365564792863,20
4,50,common_exact_state,1.0,-0.9492171078919999,-0.9523673600702849,-0.9461954854429288,20
4,250,common_exact_state,0.0,0.9774516791105,0.9757138135283961,0.9791383191198189,20
4,250,common_exact_state,0.25,0.13642537035054997,0.1223501197063349,0.15198155901409963,20
4,250,common_exact_state,0.5,-0.5193912401794,-0.5337216044588763,-0.5060084193197639,20
4,250,common_exact_state,0.571428571429,-0.5746123224496998,-0.5875007660687298,-0.5617402088641962,20
4,250,common_exact_state,0.6,-0.5907155424356498,-0.6034016199410087,-0.5780815555901425,20
4,250,common_exact_state,0.666666666667,-0.6207815021276001,-0.6328668513148425,-0.6088893228768626,20
4,250,common_exact_state,0.75,-0.6480171620847,-0.6593462136388912,-0.6372120001168414,20
4,250,common_exact_state,1.0,-0.6970460444689499,-0.7061106134207049,-0.6883284429459525,20
4,250,own_state,0.0,0.8539653092623499,0.8301877449453585,0.8778438211233762,20
4,250,own_state,0.25,0.8156295806169,0.795206229984695,0.8344276791811064,20
4,250,own_state,0.5,0.77752870023255,0.7655234570800987,0.7897012072802452,20
4,250,own_state,0.571428571429,0.7211730003357502,0.7072290860116663,0.7346028359979613,20
4,250,own_state,0.6,0.6535824298859,0.6347129514813288,0.6718589650095224,20
4,250,own_state,0.666666666667,-0.009354303649052504,-0.059916107155244626,0.04092967517577423,20
4,250,own_state,0.75,-0.8279244929552998,-0.8384820569307926,-0.8183324421198912,20
4,250,own_state,1.0,-0.96458038091655,-0.9665993610023751,-0.9624201191215827,20
8,0,common_exact_state,0.0,0.9924315333367002,0.9909367423505125,0.993536414429575,20
8,0,common_exact_state,0.25,0.9921005159616,0.9907204164563399,0.993136810585835,20
8,0,common_exact_state,0.5,0.95189104378225,0.9429351945967661,0.9597281607240551,20
8,0,common_exact_state,0.571428571429,0.0670585294079995,-0.035455109546783256,0.16771073975462747,20
8,0,common_exact_state,0.6,-0.7149847745895,-0.7533276934921612,-0.67212100766597,20
8,0,common_exact_state,0.666666666667,-0.9488367706538,-0.9557384257020427,-0.9400136666745236,20
8,0,common_exact_state,0.75,-0.9761493593455002,-0.979361965358355,-0.9718973428756676,20
8,0,common_exact_state,1.0,-0.9871280074119998,-0.9890626642108838,-0.9844581052660699,20
8,50,common_exact_state,0.0,0.99437510073185,0.9939072460682561,0.9947773828356822,20
8,50,common_exact_state,0.25,0.9891491323709001,0.9882477065175325,0.990032855868375,20
8,50,common_exact_state,0.5,-0.18024414665997,-0.21888531358897748,-0.14186980385330628,20
8,50,common_exact_state,0.571428571429,-0.8436495184897999,-0.8534339170901275,-0.8343546777216889,20
8,50,common_exact_state,0.6,-0.8943933159113,-0.9007468929141512,-0.8883353626727337,20
8,50,common_exact_state,0.666666666667,-0.9435774058103,-0.9470508632808087,-0.9401938004046801,20
8,50,common_exact_state,0.75,-0.96438178718085,-0.9665700321644238,-0.9622435115277275,20
8,50,common_exact_state,1.0,-0.9807216882705501,-0.9818450693786464,-0.9796105807273976,20
8,250,common_exact_state,0.0,0.9782970815897001,0.9769872745126089,0.9795355659722764,20
8,250,common_exact_state,0.25,0.53340281099075,0.5194522992520325,0.5465223332494437,20
8,250,common_exact_state,0.5,-0.7011833637952001,-0.707703208178115,-0.6943776571748325,20
8,250,common_exact_state,0.571428571429,-0.7632554262875499,-0.7688887533544676,-0.7574547845125037,20
8,250,common_exact_state,0.6,-0.77926683723935,-0.7846150048822588,-0.7738914600760036,20
8,250,common_exact_state,0.666666666667,-0.8071404755115001,-0.8120940006524899,-0.8021062972396977,20
8,250,common_exact_state,0.75,-0.82999806106105,-0.8343293232472888,-0.8256212658435574,20
8,250,common_exact_state,1.0,-0.8654958069323999,-0.8689659687876724,-0.8619874007999774,20
8,250,own_state,0.0,0.9128832012415501,0.8988261856138261,0.9246282374115813,20
8,250,own_state,0.25,0.9266597807406999,0.9171654610334223,0.9353473404050063,20
8,250,own_state,0.5,0.81702392399315,0.7959400591254875,0.8360755870491124,20
8,250,own_state,0.571428571429,-0.030573879741135002,-0.09493039916037962,0.03390281654664274,20
8,250,own_state,0.6,-0.64369584023955,-0.6785266277940224,-0.605184463858625,20
8,250,own_state,0.666666666667,-0.9214037328958999,-0.929068908989451,-0.9131780199707974,20
8,250,own_state,0.75,-0.9592800676823501,-0.962673597112275,-0.9553473646195387,20
8,250,own_state,1.0,-0.9756654202938002,-0.9769308601320786,-0.9742936487496228,20
