dataset,core,depth,seed,exact_accuracy,backpropagation_accuracy,exact_minus_backpropagation_accuracy,absolute_accuracy_difference
mnist,additive,1,42,0.9656999707221985,0.963699996471405,0.001999974250793457,0.001999974250793457
mnist,additive,1,43,0.960599958896637,0.9602999687194824,0.000299990177154541,0.000299990177154541
mnist,additive,1,44,0.9639999866485596,0.9651999473571777,-0.001199960708618164,0.001199960708618164
mnist,additive,1,45,0.9657999873161316,0.9626999497413635,0.0031000375747680664,0.0031000375747680664
mnist,additive,1,46,0.9634999632835388,0.962399959564209,0.001100003719329834,0.001100003719329834
mnist,additive,1,47,0.9662999510765076,0.9628999829292297,0.003399968147277832,0.003399968147277832
mnist,additive,1,48,0.9649999737739563,0.965399980545044,-0.0004000067710876465,0.0004000067710876465
mnist,additive,1,49,0.962399959564209,0.9630999565124512,-0.0006999969482421875,0.0006999969482421875
mnist,additive,1,50,0.9632999897003174,0.9637999534606934,-0.0004999637603759766,0.0004999637603759766
mnist,additive,1,51,0.9632999897003174,0.961899995803833,0.001399993896484375,0.001399993896484375
mnist,additive,2,42,0.9684999585151672,0.971299946308136,-0.00279998779296875,0.00279998779296875
mnist,additive,2,43,0.9684000015258789,0.9669999480247498,0.0014000535011291504,0.0014000535011291504
mnist,additive,2,44,0.9693999886512756,0.9684999585151672,0.0009000301361083984,0.0009000301361083984
mnist,additive,2,45,0.9692999720573425,0.9699999690055847,-0.0006999969482421875,0.0006999969482421875
mnist,additive,2,46,0.9697999954223633,0.9693999886512756,0.0004000067710876465,0.0004000067710876465
mnist,additive,2,47,0.9718999862670898,0.9695000052452087,0.0023999810218811035,0.0023999810218811035
mnist,additive,2,48,0.9708999991416931,0.9680999517440796,0.0028000473976135254,0.0028000473976135254
mnist,additive,2,49,0.9715999960899353,0.9696999788284302,0.001900017261505127,0.001900017261505127
mnist,additive,2,50,0.9700999855995178,0.9697999954223633,0.000299990177154541,0.000299990177154541
mnist,additive,2,51,0.9684000015258789,0.9688999652862549,-0.0004999637603759766,0.0004999637603759766
mnist,additive,3,42,0.971299946308136,0.9736999869346619,-0.002400040626525879,0.002400040626525879
mnist,additive,3,43,0.9708999991416931,0.9728999733924866,-0.001999974250793457,0.001999974250793457
mnist,additive,3,44,0.9704999923706055,0.971299946308136,-0.0007999539375305176,0.0007999539375305176
mnist,additive,3,45,0.9715999960899353,0.9711999893188477,0.0004000067710876465,0.0004000067710876465
mnist,additive,3,46,0.9724999666213989,0.9727999567985535,-0.000299990177154541,0.000299990177154541
mnist,additive,3,47,0.9726999998092651,0.9727999567985535,-9.995698928833008e-05,9.995698928833008e-05
mnist,additive,3,48,0.9711999893188477,0.972599983215332,-0.001399993896484375,0.001399993896484375
mnist,additive,3,49,0.9734999537467957,0.9731999635696411,0.000299990177154541,0.000299990177154541
mnist,additive,3,50,0.9739999771118164,0.9722999930381775,0.001699984073638916,0.001699984073638916
mnist,additive,3,51,0.972000002861023,0.9727999567985535,-0.0007999539375305176,0.0007999539375305176
mnist,additive,4,42,0.975600004196167,0.9759999513626099,-0.0003999471664428711,0.0003999471664428711
mnist,additive,4,43,0.9739999771118164,0.9751999974250793,-0.0012000203132629395,0.0012000203132629395
mnist,additive,4,44,0.9756999611854553,0.9751999974250793,0.0004999637603759766,0.0004999637603759766
mnist,additive,4,45,0.97489994764328,0.9758999943733215,-0.001000046730041504,0.001000046730041504
mnist,additive,4,46,0.9750999808311462,0.9763999581336975,-0.0012999773025512695,0.0012999773025512695
mnist,additive,4,47,0.9739999771118164,0.9745000004768372,-0.000500023365020752,0.000500023365020752
mnist,additive,4,48,0.9745999574661255,0.9750999808311462,-0.000500023365020752,0.000500023365020752
mnist,additive,4,49,0.9741999506950378,0.976699948310852,-0.002499997615814209,0.002499997615814209
