method,dataset,core,depth,n_seeds,mean_test_accuracy,sample_sd_test_accuracy,ci95_low,ci95_high
backpropagation,mnist,additive,1,10,0.9631399691104889,0.0015093756479552997,0.9622399747371674,0.9639999687671661
backpropagation,mnist,additive,2,10,0.969219970703125,0.0011745506152349508,0.9685199677944183,0.9698899745941162
backpropagation,mnist,additive,3,10,0.9725599706172943,0.0007820208801618539,0.9720899581909179,0.972989970445633
backpropagation,mnist,additive,4,10,0.9754099786281586,0.0008006111148541187,0.9749599874019623,0.9758899688720704
backpropagation,mnist,shunting,1,10,0.9669699847698212,0.0014802787059124912,0.9660997277498246,0.9678199887275696
backpropagation,mnist,shunting,2,10,0.97008997797966,0.0009515448044886737,0.9695199847221374,0.9706499695777893
backpropagation,mnist,shunting,3,10,0.9705899775028228,0.0005915187317227591,0.9702599763870239,0.9709499835968017
backpropagation,mnist,shunting,4,10,0.9712699830532074,0.0010667145329662363,0.9706599831581115,0.9718999862670898
backpropagation,noise_resilience,additive,1,10,0.3276000201702118,0.014307725570354712,0.3192000210285187,0.3359025233238933
backpropagation,noise_resilience,additive,2,10,0.33770001828670504,0.018469496917255024,0.326800012588501,0.34820002019405366
backpropagation,noise_resilience,additive,3,10,0.3362000107765198,0.011914508036751882,0.32990001142024994,0.34390000700950624
backpropagation,noise_resilience,additive,4,10,0.3381000131368637,0.01623062647553754,0.328600013256073,0.3477000117301941
backpropagation,noise_resilience,shunting,1,10,0.3430000126361847,0.01857716678436731,0.33180001080036164,0.3535000115633011
backpropagation,noise_resilience,shunting,2,10,0.35560002028942106,0.029383295569034504,0.33670001924037934,0.37080002427101133
backpropagation,noise_resilience,shunting,3,10,0.382800018787384,0.02462518918695927,0.36730002164840697,0.3959000170230865
backpropagation,noise_resilience,shunting,4,10,0.390100023150444,0.023421029644551675,0.37580002248287203,0.4033000260591507
exact_transport,mnist,additive,1,10,0.9639899730682373,0.0017565447890018227,0.9629299700260162,0.9649899721145629
exact_transport,mnist,additive,2,10,0.9698299884796142,0.0012893176907114124,0.9691099821031094,0.9706099927425385
exact_transport,mnist,additive,3,10,0.9720199823379516,0.0011419215420384451,0.9713799834251404,0.9726999819278717
exact_transport,mnist,additive,4,10,0.974679970741272,0.0008257046350368382,0.974189966917038,0.9751499772071839
exact_transport,mnist,shunting,1,10,0.9661499738693238,0.0009789545628823336,0.9655799686908721,0.9667299807071685
exact_transport,mnist,shunting,2,10,0.9699899733066559,0.0014487108641270676,0.9691199779510498,0.9708299696445465
exact_transport,mnist,shunting,3,10,0.9705799758434296,0.0014604406156990511,0.9697399735450745,0.9714399695396423
exact_transport,mnist,shunting,4,10,0.9716899693012238,0.0009982789440027631,0.971079969406128,0.9722599744796753
exact_transport,noise_resilience,additive,1,10,0.3299000203609467,0.014850737452224356,0.3214000194519758,0.33890001781284806
exact_transport,noise_resilience,additive,2,10,0.33650001883506775,0.01952918132084171,0.3251000224798918,0.34780001938343047
exact_transport,noise_resilience,additive,3,10,0.3360000133514404,0.013808210522943135,0.3285000115633011,0.3445000112056732
exact_transport,noise_resilience,additive,4,10,0.3327000141143799,0.013687390464530356,0.3250000089406967,0.3410000175237656
exact_transport,noise_resilience,shunting,1,10,0.34470002055168153,0.024221433538489705,0.3295000195503235,0.35780002176761627
exact_transport,noise_resilience,shunting,2,10,0.34910001456737516,0.024555832786768254,0.333200016617775,0.36200001239776614
exact_transport,noise_resilience,shunting,3,10,0.38710001707077024,0.028013689971023045,0.3694975113123655,0.40230001509189606
exact_transport,noise_resilience,shunting,4,10,0.3867000162601471,0.03600015881939171,0.36310001015663146,0.4041000187397003
