cohort,config_index,method,dataset,core,core_type,depth,seed,test_accuracy,test_categorical_loglikelihood,best_epoch,checkpoint_tensor_count,checkpoint_bytes,checkpoint_sha256,config_sha256,latest_log_critical_count,used_streaming_evaluation
exact_mnist_additive,8,exact_transport,mnist,additive,dendritic_additive,1,50,0.9632999897003174,-0.12434789538383484,44,15,1622346,b345d64a49ac47485c55a7c46736231d2be5df9facfb1d170cca29ae6e8ad2c1,439fed38a93505217f355a751870e33c3c68939b2b389c62855944db8f54f197,0,False
bp_mnist_additive,9,backpropagation,mnist,additive,dendritic_additive,1,51,0.961899995803833,-0.12155502289533615,45,15,1622346,8878946fb330fce2734fb9a68866aaf0e2dfabe3bbb3f1e7af2f237bf74fb974,c7d835bcce3b6c9c82c59609d81b409543c1f66831ffcc18f2355a13fec242fa,0,False
exact_mnist_additive,9,exact_transport,mnist,additive,dendritic_additive,1,51,0.9632999897003174,-0.1270074099302292,56,15,1622346,03aaa6dc2a81df679955c1aba3127af71ce858c55353d5cbb26804ad61f23320,dcd11fde6d929ebdd7188243e274c32f70394e70014cd7b340eeab155da5733f,0,False
bp_mnist_additive,10,backpropagation,mnist,additive,dendritic_additive,2,42,0.971299946308136,-0.1042223870754242,37,23,4842834,0d92c86c25e21157dbfada1342bef987e7d0244029be872cfdab7e17c7e452d6,991558b44dacc06b42cc7a71191c4fe46288441026c3dcddd8728674ebdcf723,0,False
exact_mnist_additive,10,exact_transport,mnist,additive,dendritic_additive,2,42,0.9684999585151672,-0.10293973237276077,33,23,4842834,4c24cd5d5865be00f1a5fa6e6db01f1eee0ad157d9b3dfeb0338d7f12b23be93,8b10dfb158ddff257362476705e3f7ef8e2146ef7a13b7048293041b5afcd176,0,False
bp_mnist_additive,11,backpropagation,mnist,additive,dendritic_additive,2,43,0.9669999480247498,-0.10506437718868256,27,23,4842834,75d58f3d24e23e418e6a6a366752754b0db4cfded9ba98fc3b6a9a79f01da5e5,e4afa6d1cb783aebd99bb272a4b94392fd0e3e2989378f8d3abdf64a098140ec,0,False
exact_mnist_additive,11,exact_transport,mnist,additive,dendritic_additive,2,43,0.9684000015258789,-0.10371723026037216,30,23,4842834,5ff84d0829b08d3de9b0f6fbde394a4915bb1ef08284288d7b5d657a40c7a02e,480731ee31e5c7ffe103d6f54e480c9bc36cb37fd2b97152a4a58e06a041e819,0,False
bp_mnist_additive,12,backpropagation,mnist,additive,dendritic_additive,2,44,0.9684999585151672,-0.10027927160263062,28,23,4842834,ce37e520e1d0c6680168c43c99972b9ece4dbcc25661c68b7c94cdcd58c441b7,d89f7075d75f6d7b08718ca6a344c8ba5437b6cfb8268c8005615dc66a457745,0,False
exact_mnist_additive,12,exact_transport,mnist,additive,dendritic_additive,2,44,0.9693999886512756,-0.10324204713106155,30,23,4842834,b983f629a78fdf156d731134be9d83c9aeaa9c9eb10a937f6652f0621dc9f658,9d0c03b3a1cc87aac3327a66c2405c942ca3aec2ecd3bdfeed540ef2a597de13,0,False
bp_mnist_additive,13,backpropagation,mnist,additive,dendritic_additive,2,45,0.9699999690055847,-0.09946320205926895,28,23,4842834,1bd3c45f4db3cfc5c111494a0eb13d5f0721930cd1917b7d68977e06d525a365,21a2010ab8042c15d04757b84fff6a3c077d59e7bd21252974e1bd15c2779633,0,False
exact_mnist_additive,13,exact_transport,mnist,additive,dendritic_additive,2,45,0.9692999720573425,-0.1039808914065361,28,23,4842834,c79cb74d0d814dcb38f1af7785f925125d71353a07cb70d1161b7add85435190,7c4536c85026444c35fe3f747bfd281b02b82bb91a94c180fbcc730295995a05,0,False
bp_mnist_additive,14,backpropagation,mnist,additive,dendritic_additive,2,46,0.9693999886512756,-0.10300160944461823,27,23,4842834,0661c540d636d787c599b3e6aa572d0221c566498720b6da4cf50dd3f7b2d650,2e7340dba9f55b840342dbc3c3b5b99373da76021119128385e22bcd6e536aba,0,False
exact_mnist_additive,14,exact_transport,mnist,additive,dendritic_additive,2,46,0.9697999954223633,-0.09975723922252655,26,23,4842834,28389ab85f60b0335bd9fca391f8f1572f11a401962341082d44a1bbb73670e8,7420abdf8f5eb95e1ec640051bde03e62a1fbbc95dc74650447e068ee1bdc5c7,0,False
bp_mnist_additive,15,backpropagation,mnist,additive,dendritic_additive,2,47,0.9695000052452087,-0.10668278485536575,30,23,4842834,f9fc12e5ff04dde5db39c55e6d477c234804e564dc32708a1e1d0d0193c7d649,f77363a58e9b23a4f4e0fc7f7ab28b6a9fe00408140f284c0e3fb76a9ba424bf,0,False
exact_mnist_additive,15,exact_transport,mnist,additive,dendritic_additive,2,47,0.9718999862670898,-0.10011120140552521,31,23,4842834,6e589383299e3c27597f6b22dfb032fed3abf160e559261a92e0ed216cb9a775,bc9cf624a6a70919ca26b28dc652af7b66ecc955aba667b1641609571d1aaeb8,0,False
bp_mnist_additive,16,backpropagation,mnist,additive,dendritic_additive,2,48,0.9680999517440796,-0.1000155657529831,25,23,4842834,89b1c520a62b011141140f1a6b7240c370c6e7c9eaa87d29d3aa90779ff6dc9b,ca49e8dc4837a9aad65d889c81f03b1f95f73623c96f651dec745de1a6e796a2,0,False
exact_mnist_additive,16,exact_transport,mnist,additive,dendritic_additive,2,48,0.9708999991416931,-0.10413699597120285,38,23,4842834,07f783ba52332a1fcddd268a7cb0fd93d85230d3bce41080804ce6db897cc10b,d4b7d66ebd8db087a8da104fb99604af362e1eb46da84e028ee8b034934e2a83,0,False
bp_mnist_additive,17,backpropagation,mnist,additive,dendritic_additive,2,49,0.9696999788284302,-0.09895099699497223,28,23,4842834,fd7e91da1ae1d5d6961bfee60e46dc02a7e39768f07389a843cc86a004a0ce2d,975659c8f7ba25b949b8f7db12c5fb7dbaace8d75482b7158244ba62a9447e50,0,False
exact_mnist_additive,17,exact_transport,mnist,additive,dendritic_additive,2,49,0.9715999960899353,-0.09769803285598755,33,23,4842834,6b34ee3e9a89d7c552a12a1d0aedef00f7d5617a0e2df59f313d3b7a245e6260,e62427f3eca25db43967769672b09b610569856cf50ed05ab8199a810108b83b,0,False
bp_mnist_additive,18,backpropagation,mnist,additive,dendritic_additive,2,50,0.9697999954223633,-0.10226873308420181,30,23,4842834,e827c677e6c64785d91bb481eb626e216840f5907a897d5b190ad55cbd1998bd,51b77f36b77696d81d898a3709357f75f21beef73ec229c482df1dad510ff181,0,False
exact_mnist_additive,18,exact_transport,mnist,additive,dendritic_additive,2,50,0.9700999855995178,-0.09866279363632202,32,23,4842834,68181c2a09b4b1b50aae00a33f564c7b57c3f2af52d596788b2199b27f3d3c53,346fef3861b71fab6f1abf7d961441afc920795f488cbef35505c03f2a88efee,0,False
