seed,task_group,student_group,compatible,quadrature_order,population_target_mean,population_target_variance,additive_subtree_mse_lower_bound,additive_subtree_nmse_lower_bound,first_hermite_mse_lower_bound,first_hermite_nmse_lower_bound,n_omitted_interaction_terms
15400,0,0,True,32,0.2562592400262735,0.004237073844750245,0.0,0.0,0.0,0.0,0
15400,0,0,True,64,0.2562592400270638,0.004237073846676312,0.0,0.0,0.0,0.0,0
15400,0,0,True,128,0.2562592400270638,0.004237073846676318,0.0,0.0,0.0,0.0,0
15400,0,1,False,32,0.2562592400262735,0.004237073844750245,6.073736347522237e-05,0.014334742725920687,5.232314887015276e-05,0.012348887649192472,2
15400,0,1,False,64,0.2562592400270638,0.004237073846676312,6.07373635409735e-05,0.014334742734922527,5.232314887532052e-05,0.012348887644798632,2
15400,0,1,False,128,0.2562592400270638,0.004237073846676318,6.0737363540973676e-05,0.014334742734922547,5.232314887532061e-05,0.012348887644798636,2
15400,0,2,False,32,0.2562592400262735,0.004237073844750245,4.82401570234377e-05,0.011385252839812432,4.188959225156304e-05,0.009886443754919318,2
15400,0,2,False,64,0.2562592400270638,0.004237073846676312,4.824015707789306e-05,0.011385252847489096,4.188959225630228e-05,0.009886443751543707,2
15400,0,2,False,128,0.2562592400270638,0.004237073846676318,4.824015707789312e-05,0.011385252847489095,4.1889592256302355e-05,0.009886443751543711,2
15400,1,0,False,32,0.2562592400262735,0.004237073844750245,6.073736347522237e-05,0.014334742725920687,5.232314887015276e-05,0.012348887649192472,2
15400,1,0,False,64,0.2562592400270638,0.004237073846676312,6.07373635409735e-05,0.014334742734922527,5.232314887532052e-05,0.012348887644798632,2
15400,1,0,False,128,0.2562592400270638,0.004237073846676318,6.0737363540973676e-05,0.014334742734922547,5.232314887532061e-05,0.012348887644798636,2
15400,1,1,True,32,0.2562592400262735,0.004237073844750245,0.0,0.0,0.0,0.0,0
15400,1,1,True,64,0.2562592400270638,0.004237073846676312,0.0,0.0,0.0,0.0,0
15400,1,1,True,128,0.2562592400270638,0.004237073846676318,0.0,0.0,0.0,0.0,0
15400,1,2,False,32,0.2562592400262735,0.004237073844750245,4.82401570234377e-05,0.011385252839812432,4.188959225156304e-05,0.009886443754919318,2
15400,1,2,False,64,0.2562592400270638,0.004237073846676312,4.824015707789306e-05,0.011385252847489096,4.188959225630228e-05,0.009886443751543707,2
