seed,task_group,student_group,compatible,quadrature_order,population_target_mean,population_target_variance,additive_subtree_mse_lower_bound,additive_subtree_nmse_lower_bound,first_hermite_mse_lower_bound,first_hermite_nmse_lower_bound,n_omitted_interaction_terms
15400,0,0,True,128,0.2562592400270638,0.004237073846676318,0.0,0.0,0.0,0.0,0
15400,0,1,False,128,0.2562592400270638,0.004237073846676318,6.0737363540973676e-05,0.014334742734922547,5.232314887532061e-05,0.012348887644798636,2
15400,0,2,False,128,0.2562592400270638,0.004237073846676318,4.824015707789312e-05,0.011385252847489095,4.1889592256302355e-05,0.009886443751543711,2
15400,1,0,False,128,0.2562592400270638,0.004237073846676318,6.0737363540973676e-05,0.014334742734922547,5.232314887532061e-05,0.012348887644798636,2
15400,1,1,True,128,0.2562592400270638,0.004237073846676318,0.0,0.0,0.0,0.0,0
15400,1,2,False,128,0.2562592400270638,0.004237073846676318,4.824015707789312e-05,0.011385252847489095,4.1889592256302355e-05,0.009886443751543711,2
15400,2,0,False,128,0.2562592400270638,0.004237073846676318,6.0737363540973676e-05,0.014334742734922547,5.232314887532061e-05,0.012348887644798636,2
15400,2,1,False,128,0.2562592400270638,0.004237073846676318,4.824015707789312e-05,0.011385252847489095,4.1889592256302355e-05,0.009886443751543711,2
15400,2,2,True,128,0.2562592400270638,0.004237073846676318,0.0,0.0,0.0,0.0,0
15401,0,0,True,128,0.3418943435676549,0.006066747095235178,0.0,0.0,0.0,0.0,0
15401,0,1,False,128,0.3418943435676549,0.006066747095235178,0.00010494671588531198,0.017298679875371283,9.212559692977861e-05,0.015185336636520424,2
15401,0,2,False,128,0.3418943435676549,0.006066747095235178,6.530709888279685e-05,0.010764763695867433,5.6448459523843685e-05,0.009304567775402785,2
15401,1,0,False,128,0.3418943435676549,0.006066747095235178,0.00010494671588531198,0.017298679875371283,9.212559692977861e-05,0.015185336636520424,2
15401,1,1,True,128,0.3418943435676549,0.006066747095235178,0.0,0.0,0.0,0.0,0
15401,1,2,False,128,0.3418943435676549,0.006066747095235178,6.530709888279685e-05,0.010764763695867433,5.6448459523843685e-05,0.009304567775402785,2
15401,2,0,False,128,0.3418943435676549,0.006066747095235178,0.00010494671588531198,0.017298679875371283,9.212559692977861e-05,0.015185336636520424,2
15401,2,1,False,128,0.3418943435676549,0.006066747095235178,6.530709888279685e-05,0.010764763695867433,5.6448459523843685e-05,0.009304567775402785,2
