seed,task_group,student_group,terminal_input,target_parent,student_parent,component_variance
15400,0,1,1,0,1,2.7310252071278358e-05
15400,0,1,2,1,0,3.3427111469695315e-05
15400,0,2,1,0,1,2.7310252071278358e-05
15400,0,2,3,1,0,2.092990500661476e-05
15400,1,0,2,0,1,2.7310252071278358e-05
15400,1,0,1,1,0,3.3427111469695315e-05
15400,1,2,2,0,1,2.7310252071278358e-05
15400,1,2,3,1,0,2.092990500661476e-05
15400,2,0,3,0,1,2.7310252071278358e-05
15400,2,0,1,1,0,3.3427111469695315e-05
15400,2,1,3,0,1,2.7310252071278358e-05
15400,2,1,2,1,0,2.092990500661476e-05
15401,0,1,1,0,1,4.870041544204715e-05
15401,0,1,2,1,0,5.624630044326483e-05
15401,0,2,1,0,1,4.870041544204715e-05
15401,0,2,3,1,0,1.6606683440749706e-05
15401,1,0,2,0,1,4.870041544204715e-05
15401,1,0,1,1,0,5.624630044326483e-05
15401,1,2,2,0,1,4.870041544204715e-05
15401,1,2,3,1,0,1.6606683440749706e-05
15401,2,0,3,0,1,4.870041544204715e-05
15401,2,0,1,1,0,5.624630044326483e-05
15401,2,1,3,0,1,4.870041544204715e-05
15401,2,1,2,1,0,1.6606683440749706e-05
15402,0,1,1,0,1,1.774817778991972e-05
15402,0,1,2,1,0,4.973362006176649e-05
15402,0,2,1,0,1,1.774817778991972e-05
15402,0,2,3,1,0,3.351569030103953e-05
15402,1,0,2,0,1,1.774817778991972e-05
15402,1,0,1,1,0,4.973362006176649e-05
15402,1,2,2,0,1,1.774817778991972e-05
15402,1,2,3,1,0,3.351569030103953e-05
15402,2,0,3,0,1,1.774817778991972e-05
15402,2,0,1,1,0,4.973362006176649e-05
15402,2,1,3,0,1,1.774817778991972e-05
15402,2,1,2,1,0,3.351569030103953e-05
15403,0,1,1,0,1,4.5807143463344954e-05
15403,0,1,2,1,0,2.1099934939762713e-05
15403,0,2,1,0,1,4.5807143463344954e-05
15403,0,2,3,1,0,1.2395171640252562e-05
15403,1,0,2,0,1,4.5807143463344954e-05
15403,1,0,1,1,0,2.1099934939762713e-05
15403,1,2,2,0,1,4.5807143463344954e-05
15403,1,2,3,1,0,1.2395171640252562e-05
15403,2,0,3,0,1,4.5807143463344954e-05
15403,2,0,1,1,0,2.1099934939762713e-05
15403,2,1,3,0,1,4.5807143463344954e-05
15403,2,1,2,1,0,1.2395171640252562e-05
15404,0,1,1,0,1,8.731872874716334e-05
15404,0,1,2,1,0,1.5613085185154318e-05
15404,0,2,1,0,1,8.731872874716334e-05
