error_broadcast_mode,use_path_propagation,test_accuracy_mean,test_accuracy_std,mi_E_I_C_mean,mi_E_I_C_std,mi_V_C_mean,mi_V_C_std
per_soma,False,0.38191999197006227,0.036743194278020294,0.6201706889254384,0.12282411726913832,0.43587980221328254,0.0790968632210142
per_soma,True,0.37895998954772947,0.024011416992497054,0.6374883958789973,0.12514390858702776,0.441731157895333,0.0788579726370632
scalar,False,0.3512999951839447,0.026724797199808303,0.6043794508416642,0.10898453043684819,0.4222708105530427,0.0771837253038666
scalar,True,0.3632999897003174,0.018768583850336962,0.6085334028094611,0.11048876428553452,0.4227942906996054,0.07806812760316129
