run_dir,run_name,seed,dataset,network_type,split,batch_size,population,perturbed_stage,descendant_stage,delta_g,n_descendants,n_sisters,measured_delta_log_gain_mean,exact_delta_log_gain_mean,first_order_delta_log_gain_mean,relative_error_exact,relative_error_first_order,correlation_exact,max_abs_sister_change,max_abs_inhibited_compartment_change,selected_g_total_mean,selected_input_resistance_mean,selected_g_inhibitory_mean,selected_inhibitory_fraction_mean
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_10,config_10,42,mnist,dendritic_shunting,test,256,0,1,0,0.01,98304,196608,-0.0002952176728285849,-0.00029521615942940116,-0.00029528618324548006,0.00021936856501270086,0.0003228328423574567,0.9999978542327881,0.0,0.0,34.33430480957031,0.02952861785888672,2.1273438930511475,0.051254790276288986
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_10,config_10,42,mnist,dendritic_shunting,test,256,0,1,0,0.1,98304,196608,-0.0029484357219189405,-0.002948436886072159,-0.0029528620652854443,2.186156234529335e-05,0.0015193329891189933,1.0000001192092896,0.0,0.0,34.33430480957031,0.02952861785888672,2.1273438930511475,0.051254790276288986
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_10,config_10,42,mnist,dendritic_shunting,test,256,0,1,0,1.0,98304,196608,-0.029096178710460663,-0.029096178710460663,-0.02952861599624157,2.2540266400028486e-06,0.014851105399429798,1.0,0.0,0.0,34.33430480957031,0.02952861785888672,2.1273438930511475,0.051254790276288986
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_10,config_10,42,mnist,dendritic_shunting,test,256,0,1,0,10.0,98304,196608,-0.25841912627220154,-0.25841912627220154,-0.2952861785888672,2.621972896577063e-07,0.12632720172405243,0.9999999403953552,0.0,0.0,34.33430480957031,0.02952861785888672,2.1273438930511475,0.051254790276288986
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_11,config_11,43,mnist,dendritic_shunting,test,256,0,1,0,0.01,98304,196608,-0.00029323584749363363,-0.0002932342467829585,-0.0002933042123913765,0.00022636288485955447,0.0003272355243097991,0.9999979138374329,0.0,0.0,34.59431457519531,0.0293304193764925,2.2725586891174316,0.05506821349263191
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_11,config_11,43,mnist,dendritic_shunting,test,256,0,1,0,0.1,98304,196608,-0.002928672358393669,-0.0029286730568856,-0.002933042123913765,2.217833934992086e-05,0.0015118650626391172,1.0,0.0,0.0,34.59431457519531,0.0293304193764925,2.2725586891174316,0.05506821349263191
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_11,config_11,43,mnist,dendritic_shunting,test,256,0,1,0,1.0,98304,196608,-0.028903357684612274,-0.028903355821967125,-0.02933042123913765,2.2622646156378323e-06,0.014783455058932304,1.0000001192092896,0.0,0.0,34.59431457519531,0.0293304193764925,2.2725586891174316,0.05506821349263191
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_11,config_11,43,mnist,dendritic_shunting,test,256,0,1,0,10.0,98304,196608,-0.25686895847320557,-0.25686895847320557,-0.2933042049407959,2.683136131054198e-07,0.12581831216812134,1.0000001192092896,0.0,0.0,34.59431457519531,0.0293304193764925,2.2725586891174316,0.05506821349263191
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_12,config_12,44,mnist,dendritic_shunting,test,256,0,1,0,0.01,98304,196608,-0.0002939777332358062,-0.00029397732578217983,-0.00029404976521618664,0.0002251812838949263,0.0003360834380146116,0.9999978542327881,0.0,0.0,34.44316864013672,0.029404979199171066,1.8605751991271973,0.04473131150007248
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_12,config_12,44,mnist,dendritic_shunting,test,256,0,1,0,0.1,98304,196608,-0.002936112228780985,-0.0029361105989664793,-0.002940497826784849,2.243822018499486e-05,0.0015100575983524323,1.0000001192092896,0.0,0.0,34.44316864013672,0.029404979199171066,1.8605751991271973,0.04473131150007248
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_12,config_12,44,mnist,dendritic_shunting,test,256,0,1,0,1.0,98304,196608,-0.02897651121020317,-0.02897651121020317,-0.029404979199171066,2.2569597604160663e-06,0.014759273268282413,1.0,0.0,0.0,34.44316864013672,0.029404979199171066,1.8605751991271973,0.04473131150007248
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_12,config_12,44,mnist,dendritic_shunting,test,256,0,1,0,10.0,98304,196608,-0.2574912905693054,-0.2574912905693054,-0.29404979944229126,2.6543412445789727e-07,0.12567390501499176,1.0000001192092896,0.0,0.0,34.44316864013672,0.029404979199171066,1.8605751991271973,0.04473131150007248
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_13,config_13,45,mnist,dendritic_shunting,test,256,0,1,0,0.01,98304,196608,-0.00028846957138739526,-0.00028846808709204197,-0.0002885409048758447,0.00022491499839816242,0.0003350950719323009,0.9999982118606567,0.0,0.0,35.202903747558594,0.028854090720415115,2.5655062198638916,0.06141993775963783
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_13,config_13,45,mnist,dendritic_shunting,test,256,0,1,0,0.1,98304,196608,-0.0028811697848141193,-0.0028811716474592686,-0.0028854093980044127,2.2515774617204443e-05,0.0014933516504243016,0.9999999403953552,0.0,0.0,35.202903747558594,0.028854090720415115,2.5655062198638916,0.06141993775963783
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_13,config_13,45,mnist,dendritic_shunting,test,256,0,1,0,1.0,98304,196608,-0.028440233319997787,-0.028440233319997787,-0.028854092583060265,2.3290795070352033e-06,0.014583990909159184,0.9999998807907104,0.0,0.0,35.202903747558594,0.028854090720415115,2.5655062198638916,0.06141993775963783
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_13,config_13,45,mnist,dendritic_shunting,test,256,0,1,0,10.0,98304,196608,-0.2531605362892151,-0.2531605660915375,-0.28854092955589294,2.730730841449258e-07,0.12434554100036621,1.0000001192092896,0.0,0.0,35.202903747558594,0.028854090720415115,2.5655062198638916,0.06141993775963783
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_14,config_14,46,mnist,dendritic_shunting,test,256,0,1,0,0.01,98304,196608,-0.00029628619085997343,-0.0002962869475595653,-0.00029635647661052644,0.00022204018023330718,0.0003273281909059733,0.9999983310699463,0.0,0.0,34.3586311340332,0.02963564731180668,2.427755355834961,0.056857842952013016
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_14,config_14,46,mnist,dendritic_shunting,test,256,0,1,0,0.1,98304,196608,-0.0029590975027531385,-0.0029590963385999203,-0.0029635648243129253,2.2965230527915992e-05,0.001532535650767386,1.0,0.0,0.0,34.3586311340332,0.02963564731180668,2.427755355834961,0.056857842952013016
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_14,config_14,46,mnist,dendritic_shunting,test,256,0,1,0,1.0,98304,196608,-0.029198795557022095,-0.029198795557022095,-0.029635649174451828,2.3557131498819217e-06,0.014993971213698387,1.0000001192092896,0.0,0.0,34.3586311340332,0.02963564731180668,2.427755355834961,0.056857842952013016
/n/holylabs/kempner_dev/Users/hsafaai/Code/dendritic-modeling/drafts/dendritic-local-learning/local_sweep_runs/gradient_fidelity_vs_ie_nonnegativeinput_fix_20260409164042/results/config_14,config_14,46,mnist,dendritic_shunting,test,256,0,1,0,10.0,98304,196608,-0.2591586709022522,-0.2591586709022522,-0.2963564991950989,2.626373429848172e-07,0.1273290067911148,0.9999998807907104,0.0,0.0,34.3586311340332,0.02963564731180668,2.427755355834961,0.056857842952013016
