source,dataset,network_type,strategy,branch_factors,ie_value,population,test_accuracy_mean,test_accuracy_std,test_accuracy_count,nominal_depth_mean,nominal_depth_std,nominal_depth_count,active_stage_count_mean,active_stage_count_std,active_stage_count_count,effective_depth_from_soma_mean,effective_depth_from_soma_std,effective_depth_from_soma_count,minimum_stage_median_mean,minimum_stage_median_std,minimum_stage_median_count,minimum_stage_q05_mean,minimum_stage_q05_std,minimum_stage_q05_count,log10_product_stage_medians_mean,log10_product_stage_medians_std,log10_product_stage_medians_count,activity_threshold_mean,activity_threshold_std,activity_threshold_count
depth_scaling,mnist,dendritic_additive,local_ca,"[3, 3, 3, 3]",10,0,0.2972799926996231,0.10477712304632797,5,4.0,0.0,5,4.0,0.0,5,4.0,0.0,5,1.404039239883423,0.5107029621511463,5,0.2766009449958801,0.10530409975516677,5,1.2095167749589577,0.5458795808930884,5,0.001,0.0,5
depth_scaling,mnist,dendritic_additive,local_ca,"[3, 3, 3]",10,0,0.36335999369621275,0.09463037363617258,5,3.0,0.0,5,3.0,0.0,5,3.0,0.0,5,1.2968673586845398,0.510461580444466,5,0.23387911468744277,0.1038386729350441,5,0.728373304220562,0.38781732147101455,5,0.001,0.0,5
depth_scaling,mnist,dendritic_additive,local_ca,"[3, 3]",10,0,0.46511998772621155,0.05233228057572416,5,2.0,0.0,5,2.0,0.0,5,2.0,0.0,5,1.6387486219406129,0.47701223429152395,5,0.13592509403824807,0.06221984026534695,5,0.6126636256193215,0.24510095769701823,5,0.001,0.0,5
depth_scaling,mnist,dendritic_additive,local_ca,[9],10,0,0.5491999864578248,0.054160553284196625,5,1.0,0.0,5,1.0,0.0,5,1.0,0.0,5,2.3405869007110596,0.7441291905132068,5,0.05873385965824127,0.014332907246463973,5,0.3506765293237495,0.1447602552501284,5,0.001,0.0,5
depth_scaling,mnist,dendritic_additive,standard,"[3, 3, 3, 3]",10,0,0.910099983215332,0.003163060196035406,5,4.0,0.0,5,4.0,0.0,5,4.0,0.0,5,0.8183351516723633,0.01062498177231848,5,0.5045000612735748,0.021789830159254103,5,0.5521809079196928,0.013856283314067663,5,0.001,0.0,5
depth_scaling,mnist,dendritic_additive,standard,"[3, 3, 3]",10,0,0.9055999755859375,0.003633870311053519,5,3.0,0.0,5,3.0,0.0,5,3.0,0.0,5,1.3431297540664673,0.010823825434928474,5,0.6725579619407653,0.03586505462511628,5,0.7289155815225005,0.008036794887332204,5,0.001,0.0,5
depth_scaling,mnist,dendritic_additive,standard,"[3, 3]",10,0,0.897499966621399,0.002432086917257954,5,2.0,0.0,5,2.0,0.0,5,2.0,0.0,5,1.729114842414856,0.03968933948368482,5,0.958353066444397,0.07603488152364897,5,0.5537493025794309,0.00879837684587707,5,0.001,0.0,5
depth_scaling,mnist,dendritic_additive,standard,[9],10,0,0.9036199808120727,0.005749960093867324,5,1.0,0.0,5,1.0,0.0,5,1.0,0.0,5,1.5036962747573852,0.023043989127161563,5,0.7280089378356933,0.047397159110491534,5,0.17711969960531676,0.00660972309438233,5,0.001,0.0,5
depth_scaling,mnist,dendritic_shunting,local_ca,"[3, 3, 3, 3]",10,0,0.5738399744033813,0.04189501856616093,5,4.0,0.0,5,4.0,0.0,5,4.0,0.0,5,15.909941864013671,0.0842642987624736,5,13.242564582824707,0.643968259892035,5,4.8245565331748095,0.009462045328377541,5,0.001,0.0,5
depth_scaling,mnist,dendritic_shunting,local_ca,"[3, 3, 3]",10,0,0.5821199893951416,0.029715244994727795,5,3.0,0.0,5,3.0,0.0,5,3.0,0.0,5,15.838802528381347,0.11042548680869671,5,12.037125396728516,0.7442504063164637,5,3.6098926173755217,0.004536960539389462,5,0.001,0.0,5
