dataset,decoder_update_mode,mean,std
cifar10,backprop,0.16713999211788172,0.003727330895240662
cifar10,local,0.16689999699592586,0.003974291239238734
cifar10,none,0.0999999940395355,0.0
mnist,backprop,0.37877998948097225,0.023897011131687414
mnist,local,0.37895998954772947,0.024011416992497054
mnist,none,0.17561999559402458,0.0449678444836728
